,file,risk measure,OHR,copula
0,0.csv,ERM k=10,1.0803710937500002,Gaussian
1,0.csv,ERM k=10,1.05712890625,t_Copula
2,0.csv,ERM k=10,1.05712890625,t_Copula_Capped
3,0.csv,ERM k=10,0.9004882812499999,Clayton
4,0.csv,ERM k=10,1.0613281250000002,Frank
5,0.csv,ERM k=10,1.1667968750000006,Gumbel
6,0.csv,ERM k=10,1.01357421875,Plackett
7,0.csv,ERM k=10,1.04345703125,Gauss Mix Indep
8,0.csv,ERM k=10,0.98837890625,rotGumbel
9,0.csv,ERM k=10,1.1392034555087778,NIG
10,0.csv,ES q=0.01,1.487304687500001,Gaussian
11,0.csv,ES q=0.01,1.4807617187500015,t_Copula
12,0.csv,ES q=0.01,1.4807617187500015,t_Copula_Capped
13,0.csv,ES q=0.01,0.98359375,Clayton
14,0.csv,ES q=0.01,1.346875000000001,Frank
15,0.csv,ES q=0.01,1.725390625000002,Gumbel
16,0.csv,ES q=0.01,1.3064453125000008,Plackett
17,0.csv,ES q=0.01,1.3950195312500009,Gauss Mix Indep
18,0.csv,ES q=0.01,1.2251953125000006,rotGumbel
19,0.csv,ES q=0.01,1.2863192447087295,NIG
20,0.csv,ES q=0.05,1.2007812500000006,Gaussian
21,0.csv,ES q=0.05,1.1664062500000003,t_Copula
22,0.csv,ES q=0.05,1.1664062500000003,t_Copula_Capped
23,0.csv,ES q=0.05,0.91591796875,Clayton
24,0.csv,ES q=0.05,1.1140625000000002,Frank
25,0.csv,ES q=0.05,1.3699218750000006,Gumbel
26,0.csv,ES q=0.05,1.0544921875,Plackett
27,0.csv,ES q=0.05,1.1420898437500004,Gauss Mix Indep
28,0.csv,ES q=0.05,1.0295898437500002,rotGumbel
29,0.csv,ES q=0.05,1.0174668082583624,NIG
30,0.csv,VaR q=0.01,1.2125000000000006,Gaussian
31,0.csv,VaR q=0.01,1.13916015625,t_Copula
32,0.csv,VaR q=0.01,1.13916015625,t_Copula_Capped
33,0.csv,VaR q=0.01,0.7918945312499999,Clayton
34,0.csv,VaR q=0.01,1.12578125,Frank
35,0.csv,VaR q=0.01,1.5799804687500014,Gumbel
36,0.csv,VaR q=0.01,1.02529296875,Plackett
37,0.csv,VaR q=0.01,1.0396484375,Gauss Mix Indep
38,0.csv,VaR q=0.01,0.9966796875,rotGumbel
39,0.csv,VaR q=0.01,0.89040375549105,NIG
40,0.csv,VaR q=0.05,0.987109375,Gaussian
41,0.csv,VaR q=0.05,0.976953125,t_Copula
42,0.csv,VaR q=0.05,0.976953125,t_Copula_Capped
43,0.csv,VaR q=0.05,0.871875,Clayton
44,0.csv,VaR q=0.05,0.9609375,Frank
45,0.csv,VaR q=0.05,1.1091796875,Gumbel
46,0.csv,VaR q=0.05,0.975,Plackett
47,0.csv,VaR q=0.05,1.012109375,Gauss Mix Indep
48,0.csv,VaR q=0.05,0.9345703124999998,rotGumbel
49,0.csv,VaR q=0.05,1.0281962666314832,NIG
50,0.csv,Variance,1.13486328125,Gaussian
51,0.csv,Variance,1.10703125,t_Copula
52,0.csv,Variance,1.10703125,t_Copula_Capped
53,0.csv,Variance,1.06875,Clayton
54,0.csv,Variance,1.1426757812500004,Frank
55,0.csv,Variance,1.09970703125,Gumbel
56,0.csv,Variance,1.0852539062500002,Plackett
57,0.csv,Variance,1.08349609375,Gauss Mix Indep
58,0.csv,Variance,1.115625,rotGumbel
59,0.csv,Variance,1.085070932978693,NIG
60,1.csv,ERM k=10,1.0540039062500002,Gaussian
61,1.csv,ERM k=10,1.0339843750000002,t_Copula
62,1.csv,ERM k=10,1.0339843750000002,t_Copula_Capped
63,1.csv,ERM k=10,0.90771484375,Clayton
64,1.csv,ERM k=10,1.0485351562499998,Frank
65,1.csv,ERM k=10,1.14541015625,Gumbel
66,1.csv,ERM k=10,1.0013671875,Plackett
67,1.csv,ERM k=10,1.0134765625,Gauss Mix Indep
68,1.csv,ERM k=10,0.975390625,rotGumbel
69,1.csv,ERM k=10,1.0504976950649776,NIG
70,1.csv,ES q=0.01,1.343066406250001,Gaussian
71,1.csv,ES q=0.01,1.2645507812500003,t_Copula
72,1.csv,ES q=0.01,1.2645507812500003,t_Copula_Capped
73,1.csv,ES q=0.01,0.8951171874999999,Clayton
74,1.csv,ES q=0.01,1.3387695312500003,Frank
75,1.csv,ES q=0.01,1.635644531250002,Gumbel
76,1.csv,ES q=0.01,1.2314453125000009,Plackett
77,1.csv,ES q=0.01,1.07509765625,Gauss Mix Indep
78,1.csv,ES q=0.01,1.0447265625000002,rotGumbel
79,1.csv,ES q=0.01,0.9305849708342164,NIG
80,1.csv,ES q=0.05,1.1619140625000006,Gaussian
81,1.csv,ES q=0.05,1.1259765625000002,t_Copula
82,1.csv,ES q=0.05,1.1259765625000002,t_Copula_Capped
83,1.csv,ES q=0.05,0.92392578125,Clayton
84,1.csv,ES q=0.05,1.0969726562500002,Frank
85,1.csv,ES q=0.05,1.3428710937500008,Gumbel
86,1.csv,ES q=0.05,1.0439453125000002,Plackett
87,1.csv,ES q=0.05,1.0884765625,Gauss Mix Indep
88,1.csv,ES q=0.05,0.993359375,rotGumbel
89,1.csv,ES q=0.05,1.0092793075529072,NIG
90,1.csv,VaR q=0.01,1.2521484375000005,Gaussian
91,1.csv,VaR q=0.01,1.2354492187500008,t_Copula
92,1.csv,VaR q=0.01,1.2354492187500008,t_Copula_Capped
93,1.csv,VaR q=0.01,0.8871093749999999,Clayton
94,1.csv,VaR q=0.01,1.1710937500000005,Frank
95,1.csv,VaR q=0.01,1.5129882812500015,Gumbel
96,1.csv,VaR q=0.01,1.1277343750000002,Plackett
97,1.csv,VaR q=0.01,1.2131835937500006,Gauss Mix Indep
98,1.csv,VaR q=0.01,1.0232421875,rotGumbel
99,1.csv,VaR q=0.01,0.9395681306912892,NIG
