,date,open,high,low,close,volume,tradesDone,volumeNotional
0,2018-06-01T00:00:00+00:00,7486.717228,7527.42866,7482.466485,7506.372858,1192.040974,3901,8947904.009
1,2018-06-01T01:00:00+00:00,7505.491288,7506.745019,7475.620079,7496.06624,603.218935,3234,4521769.094
2,2018-06-01T02:00:00+00:00,7493.293813,7526.219763,7486.627226,7490.095104,1168.772435,4013,8754216.692
3,2018-06-01T03:00:00+00:00,7488.917642,7504.664564,7441.911794,7487.6644,1369.434923,4656,10253869.13
4,2018-06-01T04:00:00+00:00,7492.731333,7493.530839,7463.207616,7480.800601,778.6102366,3598,5824627.926
5,2018-06-01T05:00:00+00:00,7483.913794,7500.19251,7481.732448,7491.031821,804.6028467,3240,6027305.528
6,2018-06-01T06:00:00+00:00,7489.671927,7574.036553,7468.62944,7546.08915,2201.376889,5560,16611786.26
7,2018-06-01T07:00:00+00:00,7544.02609,7608.229272,7541.945135,7574.994392,3420.439497,11194,25909810.01
8,2018-06-01T08:00:00+00:00,7575.803954,7599.610271,7556.338997,7596.675135,1126.148353,4296,8554983.191
9,2018-06-01T09:00:00+00:00,7595.62469,7596.928998,7523.797795,7528.522506,1364.898703,4872,10275670.6
10,2018-06-01T10:00:00+00:00,7530.43757,7555.879892,7516.57515,7544.484443,763.4278922,3427,5759669.856
11,2018-06-01T11:00:00+00:00,7546.536932,7568.968219,7338.475666,7350.203712,4953.640187,11445,36410264.49
12,2018-06-01T12:00:00+00:00,7349.909793,7417.220071,7345.834485,7403.715977,2858.233453,9211,21161548.69
13,2018-06-01T13:00:00+00:00,7404.566264,7432.216514,7394.864716,7415.103174,1082.12894,5278,8024097.74
14,2018-06-01T14:00:00+00:00,7417.50383,7479.697625,7408.406931,7422.930543,1438.713166,6043,10679467.9
15,2018-06-01T15:00:00+00:00,7419.003765,7450.334742,7390.5985,7438.280232,1470.478899,5390,10937834.12
16,2018-06-01T16:00:00+00:00,7437.829058,7480.431092,7412.043795,7440.357074,940.6968531,4833,6999120.486
17,2018-06-01T17:00:00+00:00,7441.88182,7449.497477,7400.411412,7425.822619,1117.387661,5137,8297522.565
18,2018-06-01T18:00:00+00:00,7422.192207,7456.611951,7391.027187,7400.003173,1067.15892,4210,7896979.396
19,2018-06-01T19:00:00+00:00,7400.407425,7452.953915,7392.780171,7440.05233,861.5463494,3943,6409949.924
20,2018-06-01T20:00:00+00:00,7437.297565,7448.005906,7401.268818,7434.849686,972.6438389,4324,7231460.74
21,2018-06-01T21:00:00+00:00,7436.297058,7455.459716,7428.290504,7433.213721,488.6900875,3597,3632537.864
22,2018-06-01T22:00:00+00:00,7437.29233,7523.338837,7436.585381,7511.984393,707.5546558,4117,5315139.532
23,2018-06-01T23:00:00+00:00,7514.068515,7542.166777,7504.332879,7514.915356,613.3282563,4134,4609109.931
24,2018-06-02T00:00:00+00:00,7520.493767,7530.215961,7441.274052,7469.446646,965.9429804,5082,7215059.555
25,2018-06-02T01:00:00+00:00,7469.891657,7497.80849,7461.776335,7487.722653,360.3468025,3624,2698176.916
26,2018-06-02T02:00:00+00:00,7486.817401,7505.805846,7480.999485,7491.517869,382.6156784,2104,2866372.192
27,2018-06-02T03:00:00+00:00,7492.373376,7515.263997,7481.626527,7485.685627,443.0878375,2636,3316816.257
28,2018-06-02T04:00:00+00:00,7492.820169,7498.000922,7477.89974,7487.146028,404.1940436,4048,3026259.828
29,2018-06-02T05:00:00+00:00,7483.807247,7532.229248,7475.669217,7521.101985,1091.569959,4390,8209808.982
30,2018-06-02T06:00:00+00:00,7527.204641,7686.182421,7460.298849,7657.470233,5512.07623,11667,42208559.65
31,2018-06-02T07:00:00+00:00,7652.969996,7689.212827,7631.645987,7645.610325,2231.762939,8687,17063189.77
32,2018-06-02T08:00:00+00:00,7646.465451,7696.28931,7642.873162,7653.874246,1516.405791,6702,11606379.23
33,2018-06-02T09:00:00+00:00,7652.255799,7681.436999,7620.930485,7665.204052,1044.452897,5074,8005944.577
34,2018-06-02T10:00:00+00:00,7663.164672,7678.47957,7642.95137,7648.079578,983.111444,5163,7518914.558
35,2018-06-02T11:00:00+00:00,7651.759271,7657.191647,7608.92762,7645.013453,909.9376131,4907,6956485.293
36,2018-06-02T12:00:00+00:00,7644.320472,7658.07039,7624.255405,7639.347931,1015.387122,4653,7756895.511
37,2018-06-02T13:00:00+00:00,7641.304786,7652.173972,7624.128968,7632.844649,583.7081894,3972,4455353.93
38,2018-06-02T14:00:00+00:00,7633.053901,7646.063705,7618.461712,7642.971335,755.129137,4171,5771430.348
39,2018-06-02T15:00:00+00:00,7641.390014,7693.118857,7586.191602,7619.287366,2221.721238,8405,16927932.56
40,2018-06-02T16:00:00+00:00,7620.113339,7637.932534,7597.54876,7630.425257,741.3908651,4718,5657127.583
