,ERM,ES1,ES5,VaR1,VaR5,Var
copula,0.005823931133479258,0.017774070090908266,0.010284162709424578,0.01147312471084781,0.006049839787033599,1.550185342269026e-05
cross hedge,0.005620755817790954,0.016612166716059633,0.00993859093370338,0.010839976087683442,0.006016710560918849,1.4952537718275554e-05
% relative diff,3.6147330052162894,6.994291561770663,3.477070120164686,5.840867341799424,0.5506202397359565,3.6737289332720526
spot,0.06660769736025993,0.19045136620335426,0.11561775095490891,0.1367462703721483,0.06321970342124342,0.002197478486181586
