;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
Tu;11/2/2020;10585;10110;678;10725;9975;;;;
Mo;10/2/2020;10100;10415;387;10485;9870;;;;
;;0;;;;;;;;
Fr;7/2/2020;9980;9935;343;10170;9910;;;;
Th;6/2/2020;10025;9915;703;10130;9810;;;;
We;5/2/2020;9940;9340;498;10020;9335;;;;
Tu;4/2/2020;9360;9450;199;9490;9240;;;;
Mo;3/2/2020;9510;9565;274;9895;9400;;;;
;;0;;;;;;;;
Fr;01/31/2020;9535;9780;177;9785;9430;;;;
Th;01/30/2020;9815;9490;274;9825;9420;;;;
We;01/29/2020;9620;9315;344;9670;9315;;;;
Tu;01/28/2020;9275;9090;352;9405;9090;;;;
Mo;01/27/2020;9175;8740;324;9160;8730;;;;
;;0;;;;;;;;
Fr;01/24/2020;8615;8515;152;8650;8385;;;;
Th;01/23/2020;8485;8830;235;8830;8410;;;;
We;01/22/2020;8825;8905;100;8975;8765;;;;
Tu;01/21/2020;8865;8810;266;8940;8635;;;;
;;0;;;;;;;;
Fr;01/17/2020;9075;8920;150;9210;8915;;;;
Th;01/16/2020;8930;8970;142;8975;8790;;;;
We;01/15/2020;9045;9135;259;9175;8835;;;;
Tu;01/14/2020;8935;8415;458;9125;8415;;;;
Mo;01/13/2020;8330;8350;100;8365;8235;;;;
;;0;;;;;;;;
Fr;10/1/2020;8235;7980;138;8295;7850;;;;
Th;9/1/2020;7985;8210;42;8210;7910;;;;
We;8/1/2020;8225;8350;166;8665;8055;;;;
Tu;7/1/2020;8350;7910;315;8365;7910;;;;
Mo;6/1/2020;7710;7510;349;7750;7480;;;;
;;0;;;;;;;;
Fr;3/1/2020;7455;7050;119;7550;6955;;;;
Th;2/1/2020;7040;7280;60;7280;7020;;;;
Tu;12/31/2019;7285;7345;72;7420;7260;;;;
Mo;12/30/2019;7385;7490;47;7545;7350;;;;
;;0;;;;;;;;
Fr;12/27/2019;7204;7195;614;7245;7055;;;;
Th;12/26/2019;7250;7220;4302;7445;7170;;;;
Tu;12/24/2019;7235;7330;3521;7430;7215;;;;
Mo;12/23/2019;7410;7420;7852;7715;7290;;;;
;;0;;;;;;;;
Fr;12/20/2019;7230;7160;2478;7235;7085;;;;
Th;12/19/2019;7165;7280;4596;7440;7055;;;;
We;12/18/2019;7135;6575;11821;7235;6420;;;;
Tu;12/17/2019;6580;6880;5979;6940;6560;;;;
Mo;12/16/2019;6860;7120;7720;7145;6790;;;;
;;0;;;;;;;;
Fr;12/13/2019;7265;7215;3653;7335;7200;;;;
Th;12/12/2019;7265;7210;4522;7370;7070;;;;
We;11/12/2019;7175;7250;2979;7290;7130;;;;
Tu;10/12/2019;7215;7345;3362;7410;7165;;;;
Mo;9/12/2019;7320;7570;3527;7705;7290;;;;
;;0;;;;;;;;
Fr;6/12/2019;7460;7435;3514;7655;7335;;;;
Th;5/12/2019;7420;7255;4442;7525;7180;;;;
We;4/12/2019;7220;7335;8673;7965;7085;;;;
Tu;3/12/2019;7340;7370;1711;7445;7260;;;;
Mo;2/12/2019;7335;7465;4334;7555;7195;;;;
;;0;;;;;;;;
Fr;11/29/2019;7800;7540;4898;7930;7365;;;;
We;11/27/2019;7625;7170;2970;7745;6845;;;;
Tu;11/26/2019;7125;7220;721;7365;7040;;;;
Mo;11/25/2019;7190;7035;1227;7390;6530;;;;
;;0;;;;;;;;
Fr;11/22/2019;7355;7655;1318;7755;6810;;;;
Th;11/21/2019;7615;8150;606;8175;7425;;;;
We;11/20/2019;8150;8155;564;8295;8080;;;;
Tu;11/19/2019;8150;8255;371;8265;8080;;;;
Mo;11/18/2019;8260;8590;601;8595;8095;;;;
;;0;;;;;;;;
Fr;11/15/2019;8545;8690;359;8855;8425;;;;
Th;11/14/2019;8740;8870;109;8870;8685;;;;
We;11/13/2019;8850;8875;39;8905;8785;;;;
Tu;12/11/2019;8890;8735;138;8960;8630;;;;
Mo;11/11/2019;8805;9185;222;9195;8675;;;;
;;0;;;;;;;;
Fr;8/11/2019;8910;9370;310;9380;8785;;;;
Th;7/11/2019;9305;9530;141;9535;9210;;;;
We;6/11/2019;9445;9520;37;9600;9410;;;;
Tu;5/11/2019;9515;9600;228;9660;9015;;;;
Mo;4/11/2019;9650;9320;366;9860;9270;;;;
;;0;;;;;;;;
Fr;1/11/2019;9325;9250;125;9435;9210;;;;
Th;10/31/2019;9375;9305;82;9560;9105;;;;
We;10/30/2019;9340;9610;108;9610;9150;;;;
Tu;10/29/2019;9405;9665;234;9740;9245;;;;
Mo;10/28/2019;9595;9740;738;10115;9430;;;;
;;0;;;;;;;;
