;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
Tu;11/12/2018;3320;3380;1989;3405;3265;;;;
Mo;10/12/2018;3375;3495;1918;3580;3330;;;;
;;0;;;;;;;;
Fr;7/12/2018;3300;3575;6081;3595;3135;;;;
Th;6/12/2018;3600;3670;5768;3960;3360;;;;
We;5/12/2018;3705;3950;2734;3950;3590;;;;
Tu;4/12/2018;3840;3905;3059;4015;3690;;;;
Mo;3/12/2018;3800;4090;3383;4130;3690;;;;
;;0;;;;;;;;
Fr;11/30/2018;3930;4205;5068;4265;3835;;;;
Th;11/29/2018;4175;4165;1123;4365;4060;;;;
We;11/28/2018;4285;3775;1334;4345;3770;;;;
Tu;11/27/2018;3700;3730;645;3770;3550;;;;
Mo;11/26/2018;3605;3975;1470;4025;3505;;;;
;;0;;;;;;;;
Fr;11/23/2018;4175;4485;448;4550;4085;;;;
We;11/21/2018;4375;4205;827;4595;4170;;;;
Tu;11/20/2018;4225;4720;1463;4860;4010;;;;
Mo;11/19/2018;4815;5475;931;5475;4660;;;;
;;0;;;;;;;;
Fr;11/16/2018;5425;5420;99;5495;5370;;;;
Th;11/15/2018;5405;5470;320;5510;5155;;;;
We;11/14/2018;5355;6270;740;6270;5260;;;;
Tu;11/13/2018;6280;6260;80;6300;6230;;;;
Mo;12/11/2018;6320;6360;138;6365;6290;;;;
;;0;;;;;;;;
Fr;9/11/2018;6330;6400;132;6405;6280;;;;
Th;8/11/2018;6410;6505;199;6505;6380;;;;
We;7/11/2018;6500;6430;232;6525;6425;;;;
Tu;6/11/2018;6410;6385;133;6465;6385;;;;
Mo;5/11/2018;6385;6405;52;6425;6360;;;;
;;0;;;;;;;;
Fr;2/11/2018;6345;6335;98;6360;6315;;;;
Th;1/11/2018;6305;6285;28;6330;6285;;;;
We;10/31/2018;6290;6240;250;6330;6170;;;;
Tu;10/30/2018;6245;6255;105;6260;6235;;;;
Mo;10/29/2018;6235;6390;195;6425;6190;;;;
;;0;;;;;;;;
Fr;10/26/2018;6390;6395;37;6440;6370;;;;
Th;10/25/2018;6400;6380;41;6400;6355;;;;
We;10/24/2018;6415;6405;69;6455;6405;;;;
Tu;10/23/2018;6395;6410;42;6410;6350;;;;
Mo;10/22/2018;6385;6405;44;6415;6370;;;;
;;0;;;;;;;;
Fr;10/19/2018;6380;6395;17;6395;6350;;;;
Th;10/18/2018;6385;6445;33;6445;6345;;;;
We;10/17/2018;6420;6440;12;6440;6405;;;;
Tu;10/16/2018;6420;6425;37;6450;6405;;;;
Mo;10/15/2018;6380;6160;213;6695;6150;;;;
;;0;;;;;;;;
Fr;12/10/2018;6175;6185;35;6205;6175;;;;
Th;11/10/2018;6165;6525;114;6525;6100;;;;
We;10/10/2018;6535;6535;41;6540;6465;;;;
Tu;9/10/2018;6580;6600;17;6600;6555;;;;
Mo;8/10/2018;6630;6535;63;6640;6510;;;;
;;0;;;;;;;;
Fr;5/10/2018;6540;6520;19;6540;6510;;;;
Th;4/10/2018;6555;6440;15;6590;6440;;;;
We;3/10/2018;6410;6450;21;6455;6370;;;;
Tu;2/10/2018;6505;6540;16;6555;6450;;;;
Mo;1/10/2018;6535;6570;25;6610;6460;;;;
;;0;;;;;;;;
Fr;09/28/2018;6648;6720;855;6800;6570;;;;
Th;09/27/2018;6655;6460;3087;6745;6415;;;;
We;09/26/2018;6485;6385;3381;6535;6365;;;;
Tu;09/25/2018;6355;6605;3388;6605;6315;;;;
Mo;09/24/2018;6610;6665;2081;6720;6555;;;;
;;0;;;;;;;;
Fr;09/21/2018;6740;6470;3627;6775;6455;;;;
Th;09/20/2018;6400;6365;1373;6435;6310;;;;
We;09/19/2018;6375;6305;3037;6535;6035;;;;
Tu;09/18/2018;6275;6210;1108;6370;6180;;;;
Mo;09/17/2018;6230;6470;2337;6525;6165;;;;
;;0;;;;;;;;
Fr;09/14/2018;6525;6450;2085;6575;6330;;;;
Th;09/13/2018;6435;6295;2350;6525;6295;;;;
We;12/9/2018;6290;6270;1581;6335;6175;;;;
Tu;11/9/2018;6230;6260;1857;6385;6120;;;;
Mo;10/9/2018;6265;6340;1936;6350;6175;;;;
;;0;;;;;;;;
Fr;7/9/2018;6390;6410;2475;6505;6280;;;;
Th;6/9/2018;6430;6925;5796;6925;6215;;;;
We;5/9/2018;6900;7355;4585;7395;6840;;;;
Tu;4/9/2018;7350;7260;5305;7410;7190;;;;
;;0;;;;;;;;
Fr;08/31/2018;7045;6950;4632;7090;6865;;;;
Th;08/30/2018;6805;7040;752;7045;6785;;;;
We;08/29/2018;6995;7060;853;7100;6890;;;;
Tu;08/28/2018;7080;6705;738;7105;6705;;;;
Mo;08/27/2018;6715;6650;379;6730;6650;;;;
;;0;;;;;;;;
Fr;08/24/2018;6595;6380;240;6600;6380;;;;
Th;08/23/2018;6395;6255;183;6460;6255;;;;
We;08/22/2018;6405;6480;177;6850;6280;;;;
Tu;08/21/2018;6420;6305;48;6445;6210;;;;
Mo;08/20/2018;6430;6480;92;6485;6380;;;;
;;0;;;;;;;;
Fr;08/17/2018;6480;6265;129;6530;6255;;;;
Th;08/16/2018;6410;6425;77;6455;6185;;;;
We;08/15/2018;6370;6155;198;6590;6155;;;;
Tu;08/14/2018;6075;6270;120;6275;5860;;;;
Mo;08/13/2018;6230;6350;182;6540;6170;;;;
;;0;;;;;;;;
Fr;10/8/2018;6395;6570;66;6570;6255;;;;
Th;9/8/2018;6465;6285;234;6530;6255;;;;
We;8/8/2018;6330;6800;172;6800;6100;;;;
Tu;7/8/2018;6975;6890;189;7120;6890;;;;
Mo;6/8/2018;6925;7050;152;7120;6880;;;;
;;0;;;;;;;;
Fr;3/8/2018;7365;7495;170;7520;7315;;;;
Th;2/8/2018;7525;7525;161;7680;7460;;;;
We;1/8/2018;7540;7625;137;7705;7465;;;;
Tu;07/31/2018;7725;8170;327;8170;7655;;;;
Mo;07/30/2018;8100;8180;698;8260;7860;;;;
;;0;;;;;;;;
Fr;07/27/2018;8215;7975;201;8200;7825;;;;
Th;07/26/2018;8285;8275;119;8325;8200;;;;
We;07/25/2018;8160;8335;115;8490;8055;;;;
Tu;07/24/2018;8290;7800;122;8385;7740;;;;
Mo;07/23/2018;7790;7425;113;7845;7425;;;;
;;0;;;;;;;;
Fr;07/20/2018;7365;7485;215;7725;7345;;;;
Th;07/19/2018;7480;7390;26;7515;7345;;;;
We;07/18/2018;7415;7395;162;7600;7315;;;;
Tu;07/17/2018;7325;6695;97;7420;6695;;;;
Mo;07/16/2018;6680;6375;48;6710;6340;;;;
;;0;;;;;;;;
Fr;07/13/2018;6175;6240;48;6335;6125;;;;
Th;12/7/2018;6165;6365;26;6370;6140;;;;
We;11/7/2018;6345;6365;17;6370;6290;;;;
Tu;10/7/2018;6370;6710;41;6710;6350;;;;
Mo;9/7/2018;6710;6745;40;6755;6690;;;;
;;0;;;;;;;;
Fr;6/7/2018;6575;;;;;;;;
Th;5/7/2018;6520;6540;16;6750;6500;;;;
Tu;3/7/2018;6590;6660;5;6675;6565;;;;
Mo;2/7/2018;6635;6290;47;6670;6290;;;;
;;0;;;;;;;;
Fr;06/29/2018;5886;5915;860;5945;5805;;;;
Th;06/28/2018;6085;6140;1962;6180;6025;;;;
We;06/27/2018;6160;6210;3229;6210;5975;;;;
Tu;06/26/2018;6160;6255;3173;6275;6120;;;;
Mo;06/25/2018;6245;6150;4762;6345;6065;;;;
;;0;;;;;;;;
Fr;06/22/2018;6165;6705;3832;6735;5960;;;;
Th;06/21/2018;6710;6705;1135;6780;6670;;;;
We;06/20/2018;6745;6705;2108;6815;6545;;;;
Tu;06/19/2018;6735;6710;1563;6840;6650;;;;
Mo;06/18/2018;6695;6495;2794;6785;6340;;;;
;;0;;;;;;;;
Fr;06/15/2018;6530;6670;2485;6670;6440;;;;
Th;06/14/2018;6635;6275;4461;6705;6250;;;;
We;06/13/2018;6270;6470;5146;6620;6100;;;;
Tu;12/6/2018;6500;6770;3875;6890;6425;;;;
Mo;11/6/2018;6750;7120;3861;7120;6610;;;;
;;0;;;;;;;;
Fr;8/6/2018;7655;7670;1301;7705;7540;;;;
Th;7/6/2018;7705;7695;1437;7780;7640;;;;
We;6/6/2018;7540;7605;1450;7695;7485;;;;
Tu;5/6/2018;7625;7515;2069;7670;7360;;;;
Mo;4/6/2018;7500;7715;1625;7900;7460;;;;
;;0;;;;;;;;
Fr;1/6/2018;7440;7550;2197;7620;7300;;;;
Th;05/31/2018;7545;7335;2102;7660;7335;;;;
We;05/30/2018;7320;7505;2471;7620;7270;;;;
Tu;05/29/2018;7495;7365;5052;7580;7050;;;;
;;0;;;;;;;;
Fr;05/25/2018;7440;7525;2069;7675;7330;;;;
Th;05/24/2018;7600;7500;713;7730;7275;;;;
We;05/23/2018;7600;8075;672;8075;7445;;;;
Tu;05/22/2018;8185;8380;514;8430;8100;;;;
Mo;05/21/2018;8390;8570;583;8605;8350;;;;
;;0;;;;;;;;
Fr;05/18/2018;8250;8040;445;8275;7980;;;;
Th;05/17/2018;8200;8365;200;8480;8185;;;;
We;05/16/2018;8300;8470;186;8485;8150;;;;
Tu;05/15/2018;8580;8770;163;8855;8470;;;;
Mo;05/14/2018;8780;8750;138;8875;8300;;;;
;;0;;;;;;;;
Fr;11/5/2018;8650;9130;180;9135;8445;;;;
Th;10/5/2018;9110;9380;111;9425;9100;;;;
We;9/5/2018;9300;9160;91;9345;8990;;;;
Tu;8/5/2018;9260;9345;94;9505;9070;;;;
Mo;7/5/2018;9470;9650;133;9720;9215;;;;
;;0;;;;;;;;
Fr;4/5/2018;9690;9680;87;9850;9575;;;;
Th;3/5/2018;9685;9250;190;9800;9215;;;;
We;2/5/2018;9160;9045;58;9200;8995;;;;
Tu;1/5/2018;8990;9275;59;9275;8835;;;;
Mo;04/30/2018;9365;9430;59;9440;9165;;;;
;;0;;;;;;;;
Fr;04/27/2018;9095;9195;92;9415;8970;;;;
Th;04/26/2018;8905;8825;48;9190;8785;;;;
We;04/25/2018;9010;9695;58;9695;8920;;;;
Tu;04/24/2018;9475;8980;66;9460;8980;;;;
Mo;04/23/2018;8860;8895;64;8995;8800;;;;
;;0;;;;;;;;
Fr;04/20/2018;8530;8450;19;8560;8450;;;;
Th;04/19/2018;8260;8130;13;8320;8130;;;;
We;04/18/2018;8130;7900;46;8185;7885;;;;
Tu;04/17/2018;7880;8120;38;8140;7840;;;;
Mo;04/16/2018;7980;7995;25;8430;7940;;;;
;;0;;;;;;;;
Fr;04/13/2018;8115;7780;30;8200;7780;;;;
Th;12/4/2018;7690;6950;162;7785;6725;;;;
We;11/4/2018;6920;;;;;;;;
Tu;10/4/2018;6845;6720;4;6810;6720;;;;
Mo;9/4/2018;6680;7090;26;7165;6635;;;;
;;0;;;;;;;;
Fr;6/4/2018;6630;6825;24;6825;6530;;;;
Th;5/4/2018;6765;6600;24;6850;6600;;;;
We;4/4/2018;6875;7310;24;7310;6760;;;;
Tu;3/4/2018;7475;7210;16;7510;7210;;;;
Mo;2/4/2018;6995;7020;6;7030;6960;;;;
;;0;;;;;;;;
Th;03/29/2018;7390;7885;1097;7995;7345;;;;
We;03/28/2018;7875;8010;3252;8100;7735;;;;
Tu;03/27/2018;7895;7880;3738;8270;7760;;;;
Mo;03/26/2018;7910;8650;2433;8650;7840;;;;
;;0;;;;;;;;
Fr;03/23/2018;8615;8650;2895;8770;8270;;;;
Th;03/22/2018;8630;8905;2123;9095;8500;;;;
We;03/21/2018;8890;8990;1829;9185;8775;;;;
Tu;03/20/2018;8945;8420;2050;9025;8320;;;;
Mo;03/19/2018;8400;8275;2746;8720;8100;;;;
;;0;;;;;;;;
Fr;03/16/2018;8555;8340;3065;8640;7885;;;;
Th;03/15/2018;8235;8005;3093;8450;7700;;;;
We;03/14/2018;8275;8905;2638;9395;8185;;;;
Tu;03/13/2018;9070;9165;3375;9515;8825;;;;
Mo;12/3/2018;8910;9490;2732;9940;8735;;;;
;;0;;;;;;;;
Fr;9/3/2018;9015;9350;2742;9445;8390;;;;
Th;8/3/2018;9400;9970;2524;10100;9105;;;;
We;7/3/2018;9790;10735;1888;10880;9385;;;;
Tu;6/3/2018;10650;11595;1580;11655;10570;;;;
Mo;5/3/2018;11615;11350;990;11700;11340;;;;
;;0;;;;;;;;
Fr;2/3/2018;11060;11035;748;11215;10760;;;;
Th;1/3/2018;11065;10450;1345;11100;10220;;;;
We;02/28/2018;10645;10665;1130;11005;10330;;;;
Tu;02/27/2018;10660;10285;761;10875;10100;;;;
Mo;02/26/2018;10250;9680;745;10390;9270;;;;
;;0;;;;;;;;
Fr;02/23/2018;9950;9880;1473;10340;9530;;;;
Th;02/22/2018;10095;10500;530;10865;9760;;;;
We;02/21/2018;10370;11220;623;11280;10260;;;;
Tu;02/20/2018;11750;10500;662;11785;10390;;;;
;;0;;;;;;;;
Fr;02/16/2018;10070;10095;292;10335;9790;;;;
Th;02/15/2018;10135;9450;372;10220;9450;;;;
We;02/14/2018;9350;8520;178;9440;8520;;;;
Tu;02/13/2018;8730;9005;129;9005;8400;;;;
Mo;12/2/2018;8885;8510;177;8870;8135;;;;
;;0;;;;;;;;
Fr;9/2/2018;8600;8265;90;8755;7720;;;;
Th;8/2/2018;8315;7765;160;8605;7750;;;;
We;7/2/2018;8205;7645;192;8465;7250;;;;
Tu;6/2/2018;7540;6990;262;7885;5980;;;;
Mo;5/2/2018;7230;8260;278;8280;6865;;;;
;;0;;;;;;;;
Fr;2/2/2018;8580;8770;324;9055;7750;;;;
Th;1/2/2018;9085;10105;224;10105;8505;;;;
We;01/31/2018;10010;9980;109;10195;9495;;;;
Tu;01/30/2018;9990;11120;189;11120;9725;;;;
Mo;01/29/2018;11215;11780;59;11820;11085;;;;
;;0;;;;;;;;
Fr;01/26/2018;10985;11230;75;11550;10300;;;;
Th;01/25/2018;11250;11260;72;11710;10900;;;;
We;01/24/2018;11195;11130;70;11450;10550;;;;
Tu;01/23/2018;11185;10725;146;11400;9990;;;;
Mo;01/22/2018;10425;11420;94;11745;10225;;;;
;;0;;;;;;;;
Fr;01/19/2018;11485;11200;63;12160;11175;;;;
Th;01/18/2018;11895;11145;45;12165;11140;;;;
We;01/17/2018;11040;11200;170;11820;9375;;;;
Tu;01/16/2018;11220;13700;158;14270;11200;;;;
;;0;;;;;;;;
Fr;12/1/2018;13975;13390;38;13965;13365;;;;
Th;11/1/2018;13425;14780;82;14890;12830;;;;
We;10/1/2018;14530;14530;65;14800;13705;;;;
Tu;9/1/2018;14855;15260;78;15390;14405;;;;
Mo;8/1/2018;15030;16415;99;16415;14150;;;;
;;0;;;;;;;;
Fr;5/1/2018;16660;15250;67;16780;15140;;;;
Th;4/1/2018;15050;15475;55;15475;14570;;;;
We;3/1/2018;15110;14930;50;15450;14915;;;;
Tu;2/1/2018;15060;13930;64;15360;13180;;;;
;;0;;;;;;;;
Fr;12/29/2017;14535;14205;64;15120;14205;;;;
Th;12/28/2017;13970;15515;67;15525;13565;;;;
We;12/27/2017;14940;16060;63;16770;14805;;;;
Tu;12/26/2017;16035;15000;52;16315;14720;;;;
;;0;;;;;;;;
Fr;12/22/2017;14415;15695;97;15695;12525;;;;
Th;12/21/2017;15595;16680;85;17600;15530;;;;
We;12/20/2017;17300;18280;38;18445;16805;;;;
Tu;12/19/2017;18415;19300;22;19300;17990;;;;
Mo;12/18/2017;19270;20030;14;20030;19000;;;;
