,ERM,ES1,ES5,VaR1,VaR5,Var
copula,0.04575260066416997,0.1161539068584237,0.07193295893822364,0.07684302284084196,0.04914795074364134,0.001345526648477255
cross hedge,0.04966159869916773,0.13084139769387818,0.07832809268453642,0.08542864360372934,0.05091633593110472,0.0014421988082208386
% relative diff,-7.871269023530788,-11.225415727993008,-8.164546750894274,-10.050049258317593,-3.4731194912693595,-6.703109113149431
spot,0.08321290883408222,0.2283282256152218,0.14212882844759814,0.17426765188292753,0.09016398334290493,0.0034463593431940122
