,file,risk measure,OHR,copula
96,1.csv,VaR q=0.01,0.9003906249999999,Plackett
97,1.csv,VaR q=0.01,0.8369140625,Gauss Mix Indep
98,1.csv,VaR q=0.01,0.925390625,rotGumbel
99,1.csv,VaR q=0.01,0.8050600740656043,NIG
100,1.csv,VaR q=0.05,0.9501953124999998,Gaussian
101,1.csv,VaR q=0.05,0.95,t_Copula
102,1.csv,VaR q=0.05,0.95947265625,t_Copula_Capped
103,1.csv,VaR q=0.05,0.8590820312499998,Clayton
104,1.csv,VaR q=0.05,1.03212890625,Frank
105,1.csv,VaR q=0.05,1.05,Gumbel
106,1.csv,VaR q=0.05,0.9294921875,Plackett
107,1.csv,VaR q=0.05,1.0482421875,Gauss Mix Indep
108,1.csv,VaR q=0.05,0.8624999999999998,rotGumbel
109,1.csv,VaR q=0.05,0.9146371078359514,NIG
110,1.csv,Variance,1.0404296875,Gaussian
111,1.csv,Variance,0.99267578125,t_Copula
112,1.csv,Variance,0.996484375,t_Copula_Capped
113,1.csv,Variance,0.9833984375,Clayton
114,1.csv,Variance,1.025390625,Frank
115,1.csv,Variance,1.0172851562499998,Gumbel
116,1.csv,Variance,0.98349609375,Plackett
117,1.csv,Variance,0.9602539062499998,Gauss Mix Indep
118,1.csv,Variance,1.0208984375,rotGumbel
119,1.csv,Variance,0.960864693128208,NIG
120,10.csv,ERM k=10,0.96572265625,Gaussian
121,10.csv,ERM k=10,0.95986328125,t_Copula
122,10.csv,ERM k=10,0.96064453125,t_Copula_Capped
123,10.csv,ERM k=10,0.8091796874999997,Clayton
124,10.csv,ERM k=10,0.97646484375,Frank
125,10.csv,ERM k=10,1.0613281250000002,Gumbel
126,10.csv,ERM k=10,0.91494140625,Plackett
127,10.csv,ERM k=10,0.9546875,Gauss Mix Indep
128,10.csv,ERM k=10,0.8692382812499999,rotGumbel
129,10.csv,ERM k=10,1.0705254184125528,NIG
130,10.csv,ES q=0.01,1.1861328125000006,Gaussian
131,10.csv,ES q=0.01,1.1712890625000003,t_Copula
132,10.csv,ES q=0.01,1.1738281250000004,t_Copula_Capped
133,10.csv,ES q=0.01,0.7983398437499998,Clayton
134,10.csv,ES q=0.01,1.12587890625,Frank
135,10.csv,ES q=0.01,1.458496093750001,Gumbel
136,10.csv,ES q=0.01,1.0246093749999998,Plackett
137,10.csv,ES q=0.01,1.1392578125,Gauss Mix Indep
138,10.csv,ES q=0.01,0.8861328124999999,rotGumbel
139,10.csv,ES q=0.01,1.1881194093345766,NIG
140,10.csv,ES q=0.05,1.0302734375,Gaussian
141,10.csv,ES q=0.05,1.0231445312499998,t_Copula
