,Date,CRIX,future,log return CRIX,log return future
475,2019-03-19 00:00:00+00:00,10518.16491,3970.0,0.0007340884477309693,0.0012602396122877732
476,2019-03-18 00:00:00+00:00,10510.44648,3965.0,0.031326305252554275,0.029432706787118408
477,2019-03-15 00:00:00+00:00,10186.29674,3850.0,0.004193104169096756,0.0026007817000574403
478,2019-03-14 00:00:00+00:00,10143.67396,3840.0,-0.0033116939911014003,-0.003898640415657309
479,2019-03-13 00:00:00+00:00,10177.32239,3855.0,0.007690839114150135,0.002597404057685471
480,2019-03-12 00:00:00+00:00,10099.35046,3845.0,-0.016169541559693624,-0.01034938086200352
481,2019-03-11 00:00:00+00:00,10263.97973,3885.0,0.01247992183487514,-0.005134799472038528
482,2019-03-08 00:00:00+00:00,10136.68205,3905.0,0.0018562358611238815,0.01288677627635643
483,2019-03-07 00:00:00+00:00,10117.88343,3855.0,0.004217794304795019,0.005201572196073408
484,2019-03-06 00:00:00+00:00,10075.29815,3835.0,0.04709068680472374,0.042616302154419514
485,2019-03-05 00:00:00+00:00,9611.843285,3675.0,-0.029087224407155905,-0.028170876966696335
486,2019-03-04 00:00:00+00:00,9895.53097,3780.0,-0.005388158758917958,-0.0013218772579158245
487,2019-03-01 00:00:00+00:00,9948.993565,3785.0,-7.346292348035848e-05,0.005298025637555194
488,2019-02-28 00:00:00+00:00,9949.724474,3765.0,0.0006761145666316403,-0.003976148379639406
489,2019-02-27 00:00:00+00:00,9942.999594,3780.0,-0.0088804328282315,-0.006591981682152837
490,2019-02-26 00:00:00+00:00,10031.69096,3805.0,0.023923805379054287,0.009240989853729654
491,2019-02-25 00:00:00+00:00,9794.542792,3770.0,-0.048575792327185056,-0.03261867786279223
492,2019-02-22 00:00:00+00:00,10282.06551,3895.0,-0.019958650168440787,-0.01021720254665494
493,2019-02-21 00:00:00+00:00,10489.34327,3935.0,0.024874194350781222,0.005095552426600095
494,2019-02-20 00:00:00+00:00,10231.64758,3915.0,0.007274465087167938,0.09085015329679551
495,2019-02-19 00:00:00+00:00,10157.48788,3575.0,0.0966766637888561,0.00701757265864654
496,2019-02-15 00:00:00+00:00,9221.470286,3550.0,-0.007291085992777648,-0.005617992304223261
497,2019-02-14 00:00:00+00:00,9288.950522,3570.0,-0.008219531938088751,0.0014015419252884772
498,2019-02-13 00:00:00+00:00,9365.615993,3565.0,0.004231832319376193,-0.004198746546349716
499,2019-02-12 00:00:00+00:00,9326.06602,3580.0,-0.014742267051901126,-0.0069589703243034574
500,2019-02-11 00:00:00+00:00,9464.571812,3605.0,0.09428527515347754,0.08235698780851518
501,2019-02-08 00:00:00+00:00,8612.979153,3320.0,0.0006609223868314129,-0.004507896439189817
502,2019-02-07 00:00:00+00:00,8607.288523,3335.0,-0.021361096063922794,-0.010440064996683285
503,2019-02-06 00:00:00+00:00,8793.127435,3370.0,0.0009337150970726184,0.0
504,2019-02-05 00:00:00+00:00,8784.920991,3370.0,0.002067263281057207,-0.002962965130657072
505,2019-02-04 00:00:00+00:00,8766.779005,3380.0,0.004639931384257301,0.0029629651306570487
506,2019-02-01 00:00:00+00:00,8726.195976,3370.0,0.006197366821155111,-0.014727806710243398
507,2019-01-31 00:00:00+00:00,8672.283768,3420.0,0.02867449158021524,0.017699577099400857
508,2019-01-30 00:00:00+00:00,8427.141896,3360.0,-0.007235893129185228,-0.005934735519814578
509,2019-01-29 00:00:00+00:00,8488.340942,3380.0,-0.04622426108773042,-0.030592334717559812
510,2019-01-28 00:00:00+00:00,8889.918031,3485.0,-0.010146185544034146,-0.007147993265287284
511,2019-01-25 00:00:00+00:00,8980.575927,3510.0,0.0035882675689453093,0.005714301263438635
512,2019-01-24 00:00:00+00:00,8948.408964,3490.0,-0.005696714101980344,-0.012811563134200279
513,2019-01-23 00:00:00+00:00,8999.530967,3535.0,0.011952733474178766,0.015681005562153075
514,2019-01-22 00:00:00+00:00,8892.60229,3480.0,-0.028447903907541133,-0.01568100556215309
515,2019-01-18 00:00:00+00:00,9149.210868,3535.0,0.004553018100958201,0.0014154284033307597
516,2019-01-17 00:00:00+00:00,9107.649033,3530.0,0.013890995113647102,-0.0028288562004777137
517,2019-01-16 00:00:00+00:00,8982.009375,3540.0,-0.029102054689732825,-0.026482383839799617
518,2019-01-15 00:00:00+00:00,9247.245035,3635.0,0.057363394810087946,0.043576817199099706
519,2019-01-14 00:00:00+00:00,8731.71918,3480.0,-0.05287380095172102,-0.028330506626225996
520,2019-01-11 00:00:00+00:00,9205.821717,3580.0,-0.11043241385710717,-0.10717451182956941
521,2019-01-10 00:00:00+00:00,10280.70146,3985.0,0.007415511460434127,0.003771217543079324
522,2019-01-09 00:00:00+00:00,10204.74677,3970.0,0.000601754005021223,0.013950765256332593
523,2019-01-08 00:00:00+00:00,10198.60787,3915.0,-0.011659785902255958,-0.0038240964384033942
524,2019-01-07 00:00:00+00:00,10318.21741,3930.0,0.05816324261682757,0.05223119222544573
525,2019-01-04 00:00:00+00:00,9735.195988,3730.0,-0.0337708971833887,-0.01859283307661586
526,2019-01-03 00:00:00+00:00,10069.57668,3800.0,0.03666118605689701,-0.020834086902842025
527,2019-01-02 00:00:00+00:00,9707.099083,3880.0,0.005701878369198759,0.030087292383325148
528,2018-12-31 00:00:00+00:00,9651.907881,3765.0,0.08024201199331929,0.05598731638791787
529,2018-12-28 00:00:00+00:00,8907.677913,3560.0,-0.07329434867127148,-0.06524052186840097
530,2018-12-27 00:00:00+00:00,9585.082085,3800.0,0.010538115602954088,0.006600684031352093
