coin,weight
0xbtc,3.2236914799978855e-06
1337,1.7581731708854394e-06
1sg,6.87588811738761e-07
1st,3.776904600327492e-05
1wo,2.024901631736612e-06
1x2,1.079867917326245e-06
42,3.730519129605213e-06
a,2.290568999640719e-06
aac,7.538115837405563e-06
abet,7.253582994519393e-07
abl,9.43506196445336e-06
abt,7.192540004652821e-05
abx,8.435088288100425e-07
abyss,1.1326006965474751e-05
ac3,3.1673860916459588e-06
acat,2.8239094359348684e-06
acm,2.1940295136548017e-06
act,2.8363814582189596e-05
ad,2.7440219781817138e-06
ada,0.005646734692369723
adb,1.6065036599273366e-06
adh,1.0491729658699618e-06
adi,8.315308632107218e-07
adm,6.7219039973442265e-06
ads,1.0051179361607883e-05
adt,1.069780608049435e-05
adx,2.7881239385087585e-05
ae,0.0002598637876398201
aem,1.0606860777018592e-06
aer,1.5727724540183012e-06
aergo,3.1058163310577226e-05
agi,7.16629498270979e-05
aid,2.2867697601625938e-06
aidoc,6.773871319983425e-06
aion,0.00010174325842307983
ait,5.5923765677323754e-06
akro,2.1153110841481917e-05
algo,0.0004599058022663275
ali,1.3170710491463933e-06
alv,5.561538167045857e-06
amb,1.0296340731048756e-05
amlt,6.374296325936551e-06
amn,2.371774876092973e-06
amp,1.8210160396847296e-06
ampl,6.8593669390290485e-06
ankr,4.610810409077366e-05
anon,8.290300445223968e-07
ant,9.407018267485137e-05
aoa,0.00018528465067609818
aph,6.594096236849436e-07
apis,9.393010990027039e-06
apl,5.67955497913079e-05
appc,1.5629892970491942e-05
ardr,0.00022811788624725095
ark,0.00012034053396060681
arm,2.1177785894157454e-06
arn,1.4974042168283228e-05
aro,7.026743619052928e-07
arq,1.076028440985148e-06
arrr,1.7279605882823206e-05
ast,1.73066546417672e-05
at,8.07046082454577e-06
atl,2.5542397094200983e-06
atn,7.030949407023831e-06
atom,0.0025624999680743826
aur,1.8087861477105456e-06
auto,2.536649749372485e-05
aux,7.748512751693204e-07
ava,1.8125195266390964e-05
axe,2.4802544741062728e-05
axn,7.293045923974802e-07
axpr,8.535012592701333e-06
b2b,4.407311848864515e-05
b2n,1.0241273353738114e-05
baas,1.3258655598687377e-05
ban,2.8757386034308423e-06
banca,2.6195099706426244e-06
bat,0.0009501040964078937
bax,6.9301404427551755e-06
bay,9.438768957193432e-06
