coin,weight
0xbtc,2.5416925981165765e-06
1337,2.648597315855901e-06
1st,2.751716667892457e-05
1up,4.21532366585158e-07
1wo,3.039799221262376e-05
1x2,1.1671476038884086e-06
42,3.4585305159045497e-06
a,3.4535918020696015e-06
aac,3.876883295498142e-06
abet,3.3904801630860413e-07
abl,6.801806918542142e-06
abt,5.635367061412872e-05
abx,4.911351991760333e-07
abyss,8.993722905033478e-06
acat,3.584226508794477e-06
acm,2.3933087495776882e-06
act,2.2780790732386828e-05
ad,4.517075356484375e-06
ada,0.00588249195373739
adb,1.6042313914464646e-06
adh,4.25185686437016e-07
adi,4.6980651859811973e-07
adm,4.265909687691638e-06
ads,6.0199476455945524e-06
adt,8.036911521264231e-06
adx,3.473325737486006e-05
ae,0.00023666166153647587
aem,7.938675910272988e-07
aergo,1.32001209505034e-05
agi,6.084504442606368e-05
aid,2.1819443065312407e-06
aidoc,8.027518184440706e-06
aion,0.00011454128297327674
ait,2.6276766852254047e-06
akro,3.6974238170965925e-06
algo,0.0005928951488763958
alv,1.3868797226904601e-06
amb,9.785510582038624e-06
amlt,1.0861982258614017e-05
amn,3.0625316506892372e-06
amp,6.977227966323833e-07
ampl,7.6160718528930715e-06
ams,5.917203520698729e-07
ankr,2.4477379434219412e-05
anon,5.550908651087268e-07
ant,8.333218544011038e-05
aoa,3.157110063246885e-05
apis,9.218750520126746e-06
apl,4.177802573381274e-05
appc,1.4014718403644331e-05
arct,3.370080372563465e-07
ardr,0.00019225618961441022
ark,9.894690155414488e-05
arm,1.8183654157712744e-06
arms,4.01205429097495e-07
arn,1.1427538354053613e-05
aro,4.6352795975734574e-07
arq,3.291302010589191e-07
arrr,2.1516242794653728e-05
asafe,9.019231676849319e-07
ast,1.4630959132194805e-05
at,1.0045351198946972e-05
atl,4.402823922832893e-06
atn,3.0596177931781136e-06
atom,0.003801962600782919
aur,2.0319044348387377e-06
auto,9.146348227764783e-06
aux,9.687049225915246e-07
ava,1.8093205204943984e-05
axe,1.14932049352793e-05
axel,7.052606761986059e-05
axpr,3.2225293283103e-06
b2b,4.262997381231629e-05
baas,2.1314272813279633e-05
ban,2.05071014243613e-06
banca,1.7268793422955376e-06
band,1.938199813224823e-05
bat,0.001323741652724162
bax,4.2232401267381185e-05
