Date,t_Copula
2019-05-01,-0.005297049265614634
2019-05-02,0.002494861169364688
2019-05-03,0.028185843064722535
2019-05-06,-0.02803227106953543
2019-05-07,0.020995343254202988
2019-05-08,-0.006618340369303647
2019-05-09,0.004416707784235169
2019-05-10,0.002579682775580988
2019-05-13,0.0025485137279483427
2019-05-14,0.09824005218175766
2019-05-15,-0.056477922786306645
2019-05-16,0.029224713078252116
2019-05-17,-0.02838164044541372
2019-05-20,0.007874366882325123
2019-05-21,0.002064117921612464
2019-05-22,0.0026448499421703646
2019-05-23,-0.006611044884846382
2019-05-24,0.01273336053985422
2019-05-28,0.025434891597577294
2019-05-29,0.005140116127918088
2019-05-30,0.00618377779503665
2019-05-31,-0.019323119177439486
2019-06-03,-0.01361139402553076
2019-06-04,0.027819135103977356
2019-06-05,-0.049068100096816454
2019-06-06,0.014360199652354655
2019-06-07,-0.00023860117529671265
2019-06-10,-0.0013174611957866
2019-06-11,-0.01250719386852392
2019-06-12,0.002181640129917801
2019-06-13,0.011478684815398718
2019-06-14,0.016207079438696398
2019-06-17,0.027928082115841912
2019-06-18,0.0007718888397993499
2019-06-19,-0.011970904135830289
2019-06-20,-0.006405236077074147
2019-06-21,0.020574263689722157
2019-06-24,0.03964123737026372
2019-06-25,0.009561472941487476
2019-06-26,-0.01731925174767429
2019-06-27,0.07825895165036427
2019-06-28,-0.04793615447371798
2019-07-01,-0.024308566706742196
2019-07-02,-0.06980392976822652
2019-07-03,0.08356671997141721
2019-07-05,0.0008164791625688466
2019-07-08,-0.0165561558099519
2019-07-09,0.022764598461080636
2019-07-10,0.06484447895911721
2019-07-11,-0.06117063402636476
2019-07-12,-0.0026465792636922
2019-07-15,-0.05699527735762364
2019-07-16,0.06983196110174633
2019-07-17,-0.0875818615110777
2019-07-18,-0.03813968800768659
2019-07-19,0.0670166814354272
2019-07-22,0.026688513975539212
2019-07-23,-0.0453647191354426
2019-07-24,0.018130757108916037
2019-07-25,0.004529442774421685
2019-07-26,-0.0157760950963149
2019-07-29,-0.0085962530246309
2019-07-30,-0.010219247033336546
2019-07-31,0.0169567524393482
2019-08-01,-0.018001542598728992
2019-08-02,0.04231938942536888
2019-08-05,0.034214194704101225
2019-08-06,0.0005004023886815544
2019-08-07,0.024080077902180277
2019-08-08,-0.020450037312249297
2019-08-09,-0.00962492727031387
2019-08-12,-0.010411081455152037
2019-08-13,0.0017074887808863695
2019-08-14,0.005229219659763827
2019-08-15,-0.04314878152440092
2019-08-16,-0.016028119838172608
2019-08-19,0.04342682330593596
2019-08-20,-0.010972975646882996
2019-08-21,-0.01705760147012248
2019-08-22,0.004096912446535412
2019-08-23,0.01243029882166587
2019-08-26,0.001377778411449396
2019-08-27,-0.00558422971834383
2019-08-28,0.03829215297199372
2019-08-29,-0.06681564012105268
2019-08-30,0.010211699965155658
2019-09-03,0.030084308908238197
2019-09-04,-0.02901938231441079
2019-09-05,0.026734326001266174
2019-09-06,0.03943681606499777
2019-09-09,-0.04501630022665847
2019-09-10,0.00824713871103346
2019-09-11,-0.024071785397387878
2019-09-12,0.010084648441658017
2019-09-13,0.009354700277257233
2019-09-16,-0.007835785836490588
2019-09-17,-0.005477107343621164
2019-09-18,0.0048926856101818945
2019-09-19,-0.028493317091747662
2019-09-20,0.02915339700690176
2019-09-23,-0.006853017080899866
2019-09-24,0.06836349093081462
2019-09-25,-0.12340925511448901
2019-09-26,-0.0024549507300447894
2019-09-27,-0.020102838756911195
2019-09-30,-0.008182393944143492
2019-10-01,0.02624139176182456
2019-10-02,-0.011068535461844511
2019-10-03,-0.0019278032172961035
2019-10-04,-0.002824537119110816
2019-10-07,-0.003670209048993882
2019-10-08,0.01169233997956819
2019-10-09,-0.01435547525825475
2019-10-10,0.018551221355072017
2019-10-11,-0.003061138320852825
2019-10-14,-0.0055704344498536
2019-10-15,0.01679525984029693
2019-10-16,-0.022200854596962537
2019-10-17,0.0013109150752743885
2019-10-18,-0.008278469126150113
2019-10-21,0.02097099513204304
2019-10-22,0.0004941784865043993
2019-10-23,-0.038232672097093
2019-10-24,-0.00016768294266986182
2019-10-25,0.009375367891327951
2019-10-28,0.054499444324302565
2019-10-29,0.01247921353350842
2019-10-30,-0.02764718559383922
2019-10-31,0.016622958839223524
2019-11-01,-0.0060114978892600686
2019-11-04,-0.005623464423694338
2019-11-05,0.01643315525233007
2019-11-06,0.0021533542031108672
2019-11-07,-0.005246118534095701
2019-11-08,-0.023668533466561264
2019-11-11,0.003260757169692469
2019-11-12,-0.013641956008239302
2019-11-13,0.012979048929920627
2019-11-14,-0.0054547707143293885
2019-11-15,-0.004996667530703014
2019-11-18,0.018622228183319767
2019-11-19,-0.032273692705041254
2019-11-20,0.0028609037218794
2019-11-21,-0.02329191512554267
2019-11-22,-0.043266344680702076
2019-11-25,0.032455721715201606
2019-11-26,-0.016582509509366454
2019-11-27,-0.012796826922352532
2019-11-29,0.04947968644765842
2019-12-02,-0.02393624660063018
2019-12-03,0.0037388607653644737
2019-12-04,0.0276343863325515
2019-12-05,-0.03281858620328375
2019-12-06,0.0020123937667833585
2019-12-09,0.02629689231375803
2019-12-10,-0.023070752845547434
2019-12-11,-0.007785051017180564
2019-12-12,-0.010921495958589442
2019-12-13,0.0110363627766432
2019-12-16,0.013754256239896009
2019-12-17,-0.026213429257993373
2019-12-18,-0.04057466406790203
2019-12-19,0.046847427537131794
2019-12-20,-0.0014639026277072503
2019-12-23,0.03999882801192049
2019-12-24,-0.02620817229645929
2019-12-26,-0.009752480961887694
2019-12-27,0.0027342695156315393
