;Date;Open;High ;Low;Close;;
Mo;11/16/2020;16035;16935;15915;16895;7626;6746
;;;;;;;
Fr;11/13/2020;16350;16585;16025;16270;7442;6724
Th;11/12/2020;16000;16300;15520;16240;7781;6756
We;11/11/2020;15450;16090;15350;15805;7975;6794
Tu;11/10/2020;15435;15595;15130;15355;7721;6843
Mo;11/09/2020;15665;16005;14880;15450;7901;6868
;;;;;;;
Fr;11/06/2020;15685;16155;15350;15630;8722;6870
Th;11/05/2020;14165;15505;14165;15260;8937;6720
We;11/04/2020;13925;14420;13635;14200;8591;6598
Tu;11/03/2020;13730;13950;13390;13845;8523;6489
Mo;11/02/2020;13955;14065;13370;13790;8394;6377
;;;;;;;
Fr;10/30/2020;13530;13660;13150;13479;1349;6303
Th;10/29/2020;13200;13665;12995;13505;1637;6634
We;10/28/2020;13680;13870;12885;13175;3257;6937
Tu;10/27/2020;13050;13780;13025;13685;5332;7084
Mo;10/26/2020;13100;13300;12805;13045;7298;7088
;;;;;;;
Fr;10/23/2020;13220;13260;12775;12970;7928;6952
Th;10/22/2020;12965;13285;12725;13155;8351;6723
We;10/21/2020;11995;13005;11960;12755;8699;6502
Tu;10/20/2020;11795;12110;11740;11970;8105;6284
Mo;10/19/2020;11505;11910;11470;11755;7925;6095
;;;;;;;
Fr;10/16/2020;11610;11610;11225;11360;6475;5941
Th;10/15/2020;11440;11695;11315;11595;7108;5611
We;10/14/2020;11500;11630;11340;11410;6950;5261
Tu;10/13/2020;11760;11805;11355;11440;6843;4999
Mo;10/12/2020;11360;11700;11280;11630;7285;4872
;;;;;;;
Fr;10/09/2020;10950;11205;10910;11110;6312;4760
Th;10/08/2020;10735;11065;10580;10955;6188;4764
We;10/07/2020;10600;10760;10595;10720;5467;4780
Tu;10/06/2020;10815;10890;10565;10630;5393;4875
Mo;10/05/2020;10700;10865;10670;10815;5254;4967
;;;;;;;
Fr;10/02/2020;10615;10705;10410;10550;4485;5088
Th;10/01/2020;10835;11060;10430;10645;5041;5220
We;09/30/2020;10850;10940;10725;10770;5426;5355
Tu;09/29/2020;10970;10990;10680;10815;5270;5390
Mo;09/28/2020;10800;11080;10795;10960;5611;5436
;;;;;;;
Fr;09/25/2020;10630;10805;10560;10607;1528;5485
Th;09/24/2020;10240;10750;10190;10670;1856;5823
We;09/23/2020;10545;10550;10140;10280;3021;6201
Tu;09/22/2020;10485;10525;10350;10495;4946;6582
Mo;09/21/2020;10885;11005;10265;10485;5595;6803
;;;;;;;
Fr;09/18/2020;10975;11075;10815;10880;6380;6530
Th;09/17/2020;11045;11075;10755;10950;6430;6252
We;09/16/2020;10890;11150;10690;11015;6894;6078
Tu;09/15/2020;10750;10975;10645;10815;6775;5934
Mo;09/14/2020;10315;10805;10270;10705;7058;5890
;;;;;;;
Fr;09/11/2020;10370;10420;10215;10340;6472;5876
Th;09/10/2020;10285;10565;10215;10315;7063;5955
We;09/09/2020;10060;10385;9850;10320;5947;5993
Tu;09/08/2020;10425;10475;9890;10015;5966;6196
;;;;;;;
Fr;09/04/2020;10780;10785;9905;10620;6348;6477
Th;09/03/2020;11440;11530;10460;10720;6589;6699
We;09/02/2020;12135;12175;11165;11460;7528;6857
Tu;09/01/2020;11755;12200;11625;12075;8739;6973
Mo;08/31/2020;11735;11915;11705;11835;8266;6980
;;;;;;;
Fr;08/28/2020;11335;11525;11280;11449;1494;7099
Th;08/27/2020;11495;11610;11125;11270;2217;7624
We;08/26/2020;11300;11570;11260;11480;3821;8174
Tu;08/25/2020;11765;11810;11115;11310;4727;8615
Mo;08/24/2020;11695;11865;11595;11770;6119;8939
;;;;;;;
Fr;08/21/2020;12125;12125;11600;11695;6846;9205
Th;08/20/2020;11740;11950;11710;11895;7659;8838
We;08/19/2020;12100;12150;11580;11690;7625;8447
Tu;08/18/2020;12470;12555;11850;12035;8995;8166
Mo;08/17/2020;11950;12635;11905;12485;10186;7882
;;;;;;;
Fr;08/14/2020;11765;12000;11740;11935;9673;7579
Th;08/13/2020;11600;11760;11340;11590;8965;7291
We;08/12/2020;11340;11745;11220;11665;9257;7075
Tu;08/11/2020;12005;12090;11190;11435;8847;6817
Mo;08/10/2020;11800;12220;11645;12015;10047;6585
;;;;;;;
Fr;08/07/2020;11990;12085;11395;11575;9372;6222
Th;08/06/2020;11930;12085;11705;12040;10475;5905
We;08/05/2020;11385;11975;11190;11850;10430;5525
Tu;08/04/2020;11560;11600;11125;11370;9590;5163
Mo;08/03/2020;11350;11720;11180;11620;10112;4861
;;;;;;;
Fr;07/31/2020;11155;11245;10985;11208;1344;4524
Th;07/30/2020;11350;11405;10835;11145;1786;4762
We;07/29/2020;11060;11350;10890;11240;3409;4985
Tu;07/28/2020;11080;11540;10635;11035;4734;5147
Mo;07/27/2020;9925;11055;9925;10895;5638;5175
;;;;;;;
Fr;07/24/2020;9665;9665;9505;9615;5363;5154
Th;07/23/2020;9425;9735;9425;9650;5718;5144
We;07/22/2020;9415;9435;9295;9425;5396;5128
Tu;07/21/2020;9205;9480;9175;9395;5367;5107
Mo;07/20/2020;9200;9280;9155;9190;4590;5084
;;;;;;;
Fr;07/17/2020;9130;9220;9095;9195;4627;4812
Th;07/16/2020;9240;9265;9040;9145;4768;4559
We;07/15/2020;9295;9320;9165;9190;5010;4387
Tu;07/14/2020;9275;9320;9135;9310;5051;4360
Mo;07/13/2020;9290;9410;9240;9270;5061;4404
;;;;;;;
Fr;07/10/2020;9275;9285;9145;9275;4906;4454
Th;07/09/2020;9505;9545;9190;9255;5136;4517
We;07/08/2020;9310;9570;9285;9510;5835;4564
Tu;07/07/2020;9350;9455;9250;9290;5166;4598
Mo;07/06/2020;9100;9435;9060;9355;5320;4675
;;;;;;;
Th;07/02/2020;9280;9335;8950;9060;5209;4764
We;07/01/2020;9200;9390;9140;9325;5473;4872
Tu;06/30/2020;9255;9295;9100;9185;5081;5043
Mo;06/29/2020;9175;9240;9050;9200;5032;5210
;;;;;;;
Fr;06/26/2020;9285;9300;9055;9084;504;5388
Th;06/25/2020;9245;9315;8985;9280;835;5862
We;06/24/2020;9665;9685;9180;9285;2182;6305
Tu;06/23/2020;9725;9755;9600;9660;4605;6640
Mo;06/22/2020;9350;9700;9280;9585;5708;6807
;;;;;;;
Fr;06/19/2020;9385;9465;9245;9315;5821;6909
Th;06/18/2020;9425;9515;9320;9410;5853;6553
We;06/17/2020;9540;9600;9255;9325;5843;6207
Tu;06/16/2020;9475;9630;9415;9530;6334;5987
Mo;06/15/2020;9370;9525;8930;9440;6321;5797
;;;;;;;
Fr;06/12/2020;9380;9610;9265;9465;6664;5688
Th;06/11/2020;9945;10060;9090;9300;6831;5593
We;06/10/2020;9905;10130;9720;9935;8025;5562
Tu;06/09/2020;9630;9985;9620;9805;7599;5471
Mo;06/08/2020;9810;9900;9720;9780;7699;5411
;;;;;;;
Fr;06/05/2020;9865;9950;9675;9800;7617;5342
Th;06/04/2020;9665;9985;9535;9895;7472;5300
We;06/03/2020;9580;9730;9465;9655;7202;5260
Tu;06/02/2020;9745;10565;9335;9580;7115;5201
Mo;06/01/2020;9530;9775;9465;9650;7233;5102
;;;;;;;
Fr;05/29/2020;9460;9610;9350;9443;494;5036
Th;05/28/2020;9095;9555;9055;9450;654;5436
We;05/27/2020;8850;9265;8810;9170;2551;5777
Tu;05/26/2020;9050;9065;8630;8785;3473;5946
;;;;;;;
Fr;05/22/2020;9185;9285;8945;9175;4694;6052
Th;05/21/2020;9585;9610;8815;9075;5236;6087
We;05/20/2020;9755;9895;9330;9570;6364;6024
Tu;05/19/2020;9745;9955;9505;9680;6668;5900
Mo;05/18/2020;9795;10035;9515;9745;6689;5719
;;;;;;;
Fr;05/15/2020;9855;9930;9170;9395;6671;5525
Th;05/14/2020;9400;10070;9355;9725;6981;5125
We;05/13/2020;8845;9430;8830;9270;6873;4737
Tu;05/12/2020;8680;9050;8560;8870;6322;4459
Mo;05/11/2020;8820;9275;8220;8795;5633;4242
;;;;;;;
Fr;05/08/2020;10010;10220;9820;10030;6234;4096
Th;05/07/2020;9370;10115;9105;10010;6492;3920
We;05/06/2020;9035;9515;8980;9340;5777;3730
Tu;05/05/2020;9055;9225;8835;8985;5084;3565
Mo;05/04/2020;8965;9060;8600;8935;5063;3448
;;;;;;;
Fr;05/01/2020;8850;9145;8655;8840;5225;3321
Th;04/30/2020;8940;9560;8480;8930;4291;3176
We;04/29/2020;7800;9065;7780;8825;4496;3099
Tu;04/28/2020;7845;7875;7735;7780;3953;3040
Mo;04/27/2020;7665;7905;7645;7780;3783;3014
;;;;;;;
Fr;04/24/2020;7610;7620;7400;7461;668;2990
Th;04/23/2020;7115;7805;7045;7540;1159;3182
We;04/22/2020;6920;7195;6830;7115;2699;3298
Tu;04/21/2020;6875;6960;6780;6890;3071;3290
Mo;04/20/2020;7200;7255;6765;6795;3445;3253
;;;;;;;
Fr;04/17/2020;7105;7235;7010;7080;3600;3045
Th;04/16/2020;6735;7205;6465;7105;3640;2840
We;04/15/2020;6895;6950;6685;6740;3293;2668
Tu;04/14/2020;6855;7010;6785;6950;3339;2541
Mo;04/13/2020;7160;7160;6555;6810;3148;2421
;;;;;;;
Th;04/09/2020;7335;7415;7090;7290;3058;2331
We;04/08/2020;7195;7475;7160;7335;3132;2287
Tu;04/07/2020;7350;7515;7105;7330;3609;2254
Mo;04/06/2020;6820;7375;6785;7330;3564;2205
;;;;;;;
Fr;04/03/2020;6890;7100;6625;6800;3419;2174
Th;04/02/2020;6400;7345;6380;6865;3550;2170
We;04/01/2020;6455;6465;6155;6210;2906;2147
Tu;03/31/2020;6505;6660;6340;6475;2576;2158
Mo;03/30/2020;6045;6535;5835;6380;2509;2198
;;;;;;;
Fr;03/27/2020;6755;6855;6570;6648;328;2275
Th;03/26/2020;6600;6805;6520;6675;531;2502
We;03/25/2020;6740;6995;6465;6630;1054;2718
Tu;03/24/2020;6450;6885;6395;6725;1399;2900
Mo;03/23/2020;6060;6650;5685;6300;1535;3064
;;;;;;;
Fr;03/20/2020;6275;6950;5665;6210;1791;3224
Th;03/19/2020;5380;6410;5275;6240;2399;3126
We;03/18/2020;5440;5475;4990;5340;2635;3001
Tu;03/17/2020;4975;5525;4835;5380;2877;2911
Mo;03/16/2020;5850;5850;4390;4930;3098;2845
;;;;;;;
Fr;03/13/2020;5775;5935;4210;5330;3366;2803
Th;03/12/2020;7840;8000;5595;6010;3200;2823
We;03/11/2020;7990;8025;7610;7855;3078;2854
Tu;03/10/2020;7835;8175;7755;7995;3175;2917
Mo;03/09/2020;8265;8280;7640;7850;3666;2976
;;;;;;;
Fr;03/06/2020;9140;9250;9060;9165;3731;3011
Th;03/05/2020;8805;9250;8795;9195;3769;3023
We;03/04/2020;8830;8910;8700;8760;3788;3034
Tu;03/03/2020;8990;8995;8740;8770;3848;3057
Mo;03/02/2020;8645;9030;8540;8975;3932;3032
;;;;;;;
Fr;02/28/2020;8825;8905;8430;8663;327;3006
Th;02/27/2020;8780;8980;8520;8890;527;3228
We;02/26/2020;9385;9395;8595;8780;1277;3434
Tu;02/25/2020;9640;9695;9240;9320;1887;3539
Mo;02/24/2020;9935;10075;9480;9600;2475;3591
;;;;;;;
Fr;02/21/2020;9650;9830;9600;9740;3665;3461
Th;02/20/2020;9735;9735;9405;9615;3672;3277
We;02/19/2020;10280;10545;9245;10225;4023;3164
Tu;02/18/2020;9980;10365;9505;10250;4060;3036
;;;;;;;
Fr;02/14/2020;10305;10635;10210;10495;4180;2936
Th;02/13/2020;10505;10670;10160;10305;3908;2808
We;02/12/2020;10325;10620;10315;10525;3945;2707
Tu;02/11/2020;9930;10570;9790;10405;4123;2644
Mo;02/10/2020;10200;10360;9510;9935;3485;2579
;;;;;;;
Fr;02/07/2020;9805;10030;9740;9845;3538;2570
Th;02/06/2020;9800;10010;9685;9895;3650;2552
We;02/05/2020;9245;9945;9225;9830;3619;2540
Tu;02/04/2020;9355;9440;9130;9255;2858;2544
Mo;02/03/2020;9495;9790;9270;9410;2660;2581
;;;;;;;
Fr;01/31/2020;9555;9555;9180;9278;535;2645
Th;01/30/2020;9335;9570;9160;9555;892;2836
We;01/29/2020;9040;9480;9040;9390;1991;3015
Tu;01/28/2020;8935;9215;8895;9060;2095;3141
Mo;01/27/2020;8595;9020;8575;8995;2563;3201
;;;;;;;
Fr;01/24/2020;8410;8540;8235;8495;2257;3207
Th;01/23/2020;8665;8705;8290;8370;2387;3233
We;01/22/2020;8775;8865;8600;8680;3003;3221
Tu;01/21/2020;8720;8825;8515;8750;3156;3164
;;;;;;;
Fr;01/17/2020;8765;9085;8720;8925;3344;2984
Th;01/16/2020;8925;8955;8615;8790;3264;2812
We;01/15/2020;8810;8995;8635;8880;3471;2688
Tu;01/14/2020;8165;8955;8150;8750;3683;2569
Mo;01/13/2020;8235;8300;8100;8200;3407;2455
;;;;;;;
Fr;01/10/2020;7855;8220;7700;8135;3622;2364
Th;01/09/2020;8120;8170;7800;7885;3400;2264
We;01/08/2020;8165;8595;7915;8110;3578;2226
Tu;01/07/2020;7725;8300;7725;8280;3885;2156
Mo;01/06/2020;7435;7685;7385;7615;2996;2063
;;;;;;;
Fr;01/03/2020;6960;7500;6860;7385;2655;2034
Th;01/02/2020;7225;7225;6900;6940;2643;2033
Tu;12/31/2019;7295;7350;7160;7210;2214;2037
Mo;12/30/2019;7445;7480;7245;7285;2140;2063
;;;;;;;
Fr;12/27/2019;7195;7245;7055;7204;460;2086
Th;12/26/2019;7220;7445;7170;7250;763;2219
Tu;12/24/2019;7330;7430;7215;7235;1405;2339
Mo;12/23/2019;7420;7715;7290;7410;1680;2415
;;;;;;;
Fr;12/20/2019;7160;7235;7085;7230;1977;2473
Th;12/19/2019;7280;7440;7055;7165;2048;2385
We;12/18/2019;6575;7235;6420;7135;2113;2305
Tu;12/17/2019;6880;6940;6560;6580;2833;2243
Mo;12/16/2019;7120;7145;6790;6860;2524;2143
;;;;;;;
Fr;12/13/2019;7215;7335;7200;7265;2496;2066
Th;12/12/2019;7210;7370;7070;7265;2562;2000
We;12/11/2019;7250;7290;7130;7175;2636;1932
Tu;12/10/2019;7345;7410;7165;7215;2699;1860
Mo;12/09/2019;7570;7705;7290;7320;2606;1790
;;;;;;;
Fr;12/06/2019;7435;7655;7335;7460;2495;1720
Th;12/05/2019;7255;7525;7180;7420;2450;1670
We;12/04/2019;7335;7965;7085;7220;2563;1619
Tu;12/03/2019;7370;7445;7260;7340;2536;1559
Mo;12/02/2019;7465;7555;7195;7335;2558;1503
;;;;;;;
Fr;11/29/2019;7530;7800;7365;7776;654;1453
We;11/27/2019;7150;7700;6835;7570;852;1543
Tu;11/26/2019;7205;7345;7015;7115;1181;1621
Mo;11/25/2019;7050;7375;6510;7165;1332;1681
;;;;;;;
Fr;11/22/2019;7620;7735;6775;7330;1367;1745
Th;11/21/2019;8110;8140;7360;7580;1506;1782
We;11/20/2019;8145;8275;8045;8110;1543;1812
Tu;11/19/2019;8200;8215;8005;8110;1556;1840
Mo;11/18/2019;8550;8565;8005;8205;1648;1859
;;;;;;;
Fr;11/15/2019;8680;8820;8355;8505;1562;1863
Th;11/14/2019;8805;8830;8590;8675;1742;1775
We;11/13/2019;8815;8880;8730;8785;1684;1691
Tu;11/12/2019;8735;8915;8555;8835;1666;1675
Mo;11/11/2019;9100;9135;8585;8750;1698;1652
;;;;;;;
Fr;11/08/2019;9260;9305;8680;8845;1801;1643
Th;11/07/2019;9425;9460;9125;9220;2001;1646
We;11/06/2019;9405;9515;9325;9360;2026;1643
Tu;11/05/2019;9480;9580;8360;9420;2084;1673
Mo;11/04/2019;9270;9790;9170;9565;2294;1681
;;;;;;;
Fr;11/01/2019;9230;9360;9120;9235;1912;1674
Th;10/31/2019;9225;9510;9000;9305;1966;1693
We;10/30/2019;9540;9565;9060;9270;1964;1726
Tu;10/29/2019;9585;9655;9155;9315;1835;1766
Mo;10/28/2019;9700;10050;9330;9530;1707;1785
;;;;;;;
Fr;10/25/2019;7450;7720;7400;7678;251;1814
Th;10/24/2019;7420;7515;7355;7490;471;1943
We;10/23/2019;8080;8110;7245;7475;1442;2064
Tu;10/22/2019;8230;8330;8065;8165;1321;2111
Mo;10/21/2019;8255;8380;8160;8205;1567;2166
;;;;;;;
Fr;10/18/2019;8065;8130;7805;7960;1850;2204
Th;10/17/2019;7975;8150;7935;8060;1955;2098
We;10/16/2019;8150;8195;7900;7950;2472;1996
Tu;10/15/2019;8340;8435;8085;8170;2206;1909
Mo;10/14/2019;8255;8435;8220;8355;2184;1889
;;;;;;;
Fr;10/11/2019;8595;8850;8285;8355;2205;1900
Th;10/10/2019;8605;8670;8445;8595;2457;1954
We;10/09/2019;8185;8780;8125;8645;2560;1991
Tu;10/08/2019;8260;8365;8095;8170;2126;2036
Mo;10/07/2019;7900;8350;7745;8255;2144;2106
;;;;;;;
Fr;10/04/2019;8165;8310;8020;8225;2180;2179
Th;10/03/2019;8285;8435;8075;8160;2289;2254
We;10/02/2019;8330;8400;8185;8270;2147;2336
Tu;10/01/2019;8360;8560;8235;8325;2142;2406
Mo;09/30/2019;8090;8415;7710;8335;2142;2482
;;;;;;;
Fr;09/27/2019;8085;8140;7940;8004;257;2571
Th;09/26/2019;8515;8670;7710;8145;426;2795
We;09/25/2019;8670;8785;8205;8350;1172;2999
Tu;09/24/2019;9770;9780;7995;8380;1909;3166
Mo;09/23/2019;10125;10125;9690;9805;2338;3290
;;;;;;;
Fr;09/20/2019;10155;10355;10095;10180;3014;3151
Th;09/19/2019;10315;10450;9605;10155;3015;2977
We;09/18/2019;10250;10310;10120;10205;3236;2844
Tu;09/17/2019;10305;10405;10185;10305;3182;2744
Mo;09/16/2019;10335;10430;10105;10135;3232;2685
;;;;;;;
Fr;09/13/2019;10480;10560;10205;10265;3310;2641
Th;09/12/2019;10160;10470;10085;10410;3513;2586
We;09/11/2019;10145;10345;9900;10125;3197;2521
Tu;09/10/2019;10360;10455;9945;10060;3294;2493
Mo;09/09/2019;10490;10620;10115;10370;3477;2457
;;;;;;;
Fr;09/06/2019;10635;11130;10230;10460;3612;2408
Th;09/05/2019;10790;10810;10530;10625;3482;2353
We;09/04/2019;10840;10965;10470;10835;3682;2319
Tu;09/03/2019;9795;10925;9795;10800;3768;2278
;;;;;;;
Fr;08/30/2019;9500;9630;9385;9584;257;2241
Th;08/29/2019;9695;9730;9305;9505;392;2436
We;08/28/2019;10150;10320;9470;9645;1025;2611
Tu;08/27/2019;10305;10410;10030;10165;1736;2749
Mo;08/26/2019;10030;10730;9970;10330;2294;2835
;;;;;;;
Fr;08/23/2019;10205;10535;10050;10460;2576;2890
Th;08/22/2019;10040;10255;9765;10185;2479;2921
We;08/21/2019;10815;10890;9850;10115;2542;2961
Tu;08/20/2019;10765;11015;10590;10775;2772;2987
Mo;08/19/2019;10445;10890;10305;10745;2765;2987
;;;;;;;
Fr;08/16/2019;10400;10590;9765;10515;2742;2971
Th;08/15/2019;10240;10440;9500;10130;2790;2822
We;08/14/2019;10930;10955;10070;10160;2966;2707
Tu;08/13/2019;11505;11570;10800;10945;3065;2626
Mo;08/12/2019;11675;11695;11340;11560;3212;2593
;;;;;;;
Fr;08/09/2019;11855;12235;11795;11945;3184;2589
Th;08/08/2019;12075;12205;11600;11690;3019;2614
We;08/07/2019;11600;12330;11325;11885;3087;2664
Tu;08/06/2019;11925;12505;11700;11830;3025;2715
Mo;08/05/2019;11070;12130;11070;11910;3128;2770
;;;;;;;
Fr;08/02/2019;10595;10870;10490;10600;3036;2827
Th;08/01/2019;10160;10665;10015;10450;3088;2891
We;07/31/2019;9725;10295;9685;10115;2929;2956
Tu;07/30/2019;9565;9930;9470;9735;2766;3038
Mo;07/29/2019;9575;9850;9195;9530;2535;3147
;;;;;;;
Fr;07/26/2019;9875;9955;9645;9763;497;3264
Th;07/25/2019;9780;10215;9735;9865;1073;3502
We;07/24/2019;10155;10155;9485;9640;1748;3704
Tu;07/23/2019;10290;10370;9860;10150;2563;3872
Mo;07/22/2019;10630;10720;10070;10145;3153;3983
;;;;;;;
