;Date;Open;High ;Low;Close;;
Fr;05/21/2021;40720;42370;39165;40900;;
Th;05/20/2021;38925;42420;34950;40320;6426;5736
We;05/19/2021;42915;43530;30205;39340;6340;5378
Tu;05/18/2021;43500;45755;42280;43150;6443;5058
Mo;05/17/2021;45295;46620;42050;44060;6080;4802
;;;;;;;
Fr;05/14/2021;49215;51475;48370;50190;6021;4636
Th;05/13/2021;54545;54605;46395;48365;6191;4519
We;05/12/2021;56735;58140;53355;54445;6161;4430
Tu;05/11/2021;55690;57075;54375;56805;5966;4373
Mo;05/10/2021;58200;59900;53595;55705;5897;4334
;;;;;;;
Fr;05/07/2021;56350;58845;55340;57760;5813;4320
Th;05/06/2021;56950;58600;55255;56180;5902;4339
We;05/05/2021;54365;58110;52830;57295;5966;4365
Tu;05/04/2021;57390;57755;53220;54515;6228;4382
Mo;05/03/2021;56985;59305;56380;57765;5960;4403
;;;;;;;
Fr;04/30/2021;53255;56565;53125;56127;640;4435
Th;04/29/2021;54725;55205;52335;52900;1068;4799
We;04/28/2021;55265;56500;53905;55410;1541;5130
Tu;04/27/2021;53370;55420;52925;54790;2602;5436
Mo;04/26/2021;47440;54410;47440;54070;3589;5717
;;;;;;;
Fr;04/23/2021;51505;52150;47395;50845;4256;5944
Th;04/22/2021;54825;55645;51365;52860;4860;6138
We;04/21/2021;56900;57160;54325;55610;5300;6288
Tu;04/20/2021;56335;57155;53430;56715;5384;6404
Mo;04/19/2021;57120;57750;54450;56045;5692;6481
;;;;;;;
Fr;04/16/2021;63765;64000;60165;61980;6091;6531
Th;04/15/2021;62795;64030;62375;63840;6303;6183
We;04/14/2021;63885;65520;61565;62400;6214;5846
Tu;04/13/2021;60500;64450;60300;63685;6543;5594
Mo;04/12/2021;60000;61945;59915;60545;6448;5409
;;;;;;;
Fr;04/09/2021;58010;59405;58000;58760;6091;5293
Th;04/08/2021;56310;58655;55910;58155;6030;5251
We;04/07/2021;58300;59080;55675;56310;6144;5224
Tu;04/06/2021;59415;60350;57750;58735;6809;5217
Mo;04/05/2021;58550;60100;57155;59840;6994;5181
;;;;;;;
Fr;04/02/2021;59455;61000;59110;59615;7161;5148
Th;04/01/2021;59580;60345;58595;59615;7122;5121
We;03/31/2021;59360;60540;57380;59285;7039;5092
Tu;03/30/2021;57940;60065;57585;59705;6527;5080
Mo;03/29/2021;55360;59000;55110;58210;6444;5102
;;;;;;;
Fr;03/26/2021;52425;53765;51305;53346;882;5106
Th;03/25/2021;53665;53665;50360;52195;1242;5458
We;03/24/2021;54580;57225;53135;54645;2431;5813
Tu;03/23/2021;54665;55895;52915;54985;3769;6099
Mo;03/22/2021;58195;58460;54105;55605;4703;6285
;;;;;;;
Fr;03/19/2021;57950;59575;56315;58975;5469;6421
Th;03/18/2021;58500;60280;57090;57365;5625;6198
We;03/17/2021;56695;58490;54285;57980;6033;5978
Tu;03/16/2021;57005;57175;53475;55910;6269;5806
Mo;03/15/2021;58755;61255;54915;56900;6507;5675
;;;;;;;
Fr;03/12/2021;58365;58725;55380;57075;6750;5617
Th;03/11/2021;56980;58390;54685;57955;6683;5617
We;03/10/2021;54530;57815;53430;56620;6864;5638
Tu;03/09/2021;51995;55265;51895;54720;6853;5666
Mo;03/08/2021;50580;52425;49500;52145;6507;5688
;;;;;;;
Fr;03/05/2021;48125;49745;46295;49555;6164;5752
Th;03/04/2021;50970;52190;47425;48310;6570;5841
We;03/03/2021;48035;53000;47955;50900;6719;5886
Tu;03/02/2021;49425;50550;47245;47820;6554;5931
Mo;03/01/2021;45500;49985;45150;48870;6745;6003
;;;;;;;
Fr;02/26/2021;48165;48300;44270;47002;2134;6008
Th;02/25/2021;48810;52040;48010;49120;2314;6305
We;02/24/2021;48450;51310;47010;49135;3458;6582
Tu;02/23/2021;54515;54515;44900;47660;4301;6757
Mo;02/22/2021;57450;57790;48320;53720;5646;6874
;;;;;;;
Fr;02/19/2021;52035;56575;50695;55530;6748;6572
Th;02/18/2021;52680;53080;51250;52340;6989;6232
We;02/17/2021;49300;53210;49115;52785;7287;5987
Tu;02/16/2021;49415;51065;45950;48925;7188;5785
;;;;;;;
Fr;02/12/2021;48000;49500;46500;48040;7465;5638
Th;02/11/2021;45615;49215;44345;47525;7495;5510
We;02/10/2021;47500;48060;43950;44915;7254;5451
Tu;02/09/2021;45210;48885;45175;47765;7394;5438
Mo;02/08/2021;39025;45500;38305;44755;7628;5457
;;;;;;;
Fr;02/05/2021;37700;38755;36895;38015;6825;5473
Th;02/04/2021;37660;39200;36435;37915;6577;5546
We;02/03/2021;36015;37790;35740;37390;6479;5657
Tu;02/02/2021;33680;36370;33605;36170;6074;5782
Mo;02/01/2021;33315;35005;32530;34000;6056;5948
;;;;;;;
Fr;01/29/2021;33515;38755;32000;37242;1117;6063
Th;01/28/2021;30640;33355;29860;32650;1652;6524
We;01/27/2021;32655;32925;29075;31475;3317;6952
Tu;01/26/2021;32665;32845;30800;31950;4253;7280
Mo;01/25/2021;32300;34930;32035;33440;4982;7536
;;;;;;;
Fr;01/22/2021;30825;33860;28900;33580;5540;7722
Th;01/21/2021;35200;35740;30930;31920;6620;7887
We;01/20/2021;36700;36845;33435;35035;7059;7963
Tu;01/19/2021;36250;38155;34890;36595;7669;8015
;;;;;;;
Fr;01/15/2021;39205;39980;34555;35625;7868;7614
Th;01/14/2021;37500;40365;36915;39605;7930;7211
We;01/13/2021;34055;37580;32610;36375;8243;6882
Tu;01/12/2021;34840;37050;32780;34500;8355;6671
Mo;01/11/2021;38925;39165;31105;33780;8554;6526
;;;;;;;
Fr;01/08/2021;40275;42730;37000;39520;7784;6372
Th;01/07/2021;36445;41000;36445;39625;8035;6297
We;01/06/2021;34655;37035;33780;36565;8072;6246
Tu;01/05/2021;31655;34680;30250;34515;8231;6184
Mo;01/04/2021;33405;34170;28440;31550;8098;6099
;;;;;;;
Th;12/31/2020;29075;29700;28230;29385;7775;6040
We;12/30/2020;27315;29370;27235;29155;8017;6028
Tu;12/29/2020;26955;27450;26080;27210;7752;6049
Mo;12/28/2020;26650;27900;26535;27110;7837;6101
;;;;;;;
Th;12/24/2020;23250;23475;22715;23197;1662;6140
We;12/23/2020;23495;24175;22800;23510;1819;6599
Tu;12/22/2020;23260;23645;22430;23445;3001;7051
Mo;12/21/2020;23605;24210;21950;22880;5068;7432
;;;;;;;
Fr;12/18/2020;23050;23415;22435;22860;6178;7679
Th;12/17/2020;21460;23915;21320;22870;6250;7346
We;12/16/2020;19505;21430;19340;20930;6665;7086
Tu;12/15/2020;19340;19675;19120;19560;7259;6902
Mo;12/14/2020;19155;19430;19080;19270;7153;6762
;;;;;;;
Fr;12/11/2020;18415;18460;17575;18020;6946;6672
Th;12/10/2020;18630;18750;17940;18440;7215;6612
We;12/09/2020;18685;18685;17705;18420;7596;6542
Tu;12/08/2020;19215;19475;18695;18825;8330;6519
Mo;12/07/2020;19205;19615;19020;19170;8541;6472
;;;;;;;
Fr;12/04/2020;19680;19750;18830;19100;8415;6399
Th;12/03/2020;19340;19880;19070;19565;8542;6356
We;12/02/2020;19155;19585;18560;19295;8610;6319
Tu;12/01/2020;19800;20360;18300;19275;8719;6259
Mo;11/30/2020;18275;20260;18275;19730;8766;6205
;;;;;;;
Fr;11/27/2020;18865;18935;16230;16628;1176;6202
We;11/25/2020;19135;19605;18640;18915;2361;6719
Tu;11/24/2020;18455;19515;18075;19110;3899;7135
Mo;11/23/2020;18625;18850;18040;18410;5167;7443
;;;;;;;
Fr;11/20/2020;17910;18880;17740;18685;5800;7658
Th;11/19/2020;17905;18260;17375;18095;6047;7361
We;11/18/2020;17675;18540;17235;17685;6166;7067
Tu;11/17/2020;16795;17930;16620;17730;7244;6873
