,Date,Coin,Weight,name,ticker
0,2021-07-01,bitcoin,0.207871,bitcoin,btc
1,2021-06-01,bitcoin,0.198198,bitcoin,btc
2,2021-05-01,bitcoin,0.20982299999999998,bitcoin,btc
3,2021-04-01,bitcoin,0.247501,bitcoin,btc
4,2021-03-01,bitcoin,0.261011,bitcoin,btc
5,2021-02-01,bitcoin,0.272071,bitcoin,btc
6,2021-01-01,bitcoin,0.294376,bitcoin,btc
7,2020-12-01,bitcoin,0.262453,bitcoin,btc
8,2020-11-01,bitcoin,0.266804,bitcoin,btc
9,2020-10-01,bitcoin,0.241769,bitcoin,btc
10,2020-09-01,bitcoin,0.24150200000000002,bitcoin,btc
11,2020-08-01,bitcoin,0.254226,bitcoin,btc
12,2020-07-01,bitcoin,0.262525,bitcoin,btc
13,2020-06-01,bitcoin,0.26421,bitcoin,btc
14,2020-05-01,bitcoin,0.261567,bitcoin,btc
15,2020-04-01,bitcoin,0.260509,bitcoin,btc
16,2020-03-01,bitcoin,0.251404,bitcoin,btc
17,2020-02-01,bitcoin,0.25639700000000004,bitcoin,btc
18,2020-01-01,bitcoin,0.27235,bitcoin,btc
19,2019-12-01,bitcoin,0.26668600000000003,bitcoin,btc
20,2019-11-01,bitcoin,0.271171,bitcoin,btc
21,2019-10-01,bitcoin,0.275271,bitcoin,btc
22,2019-09-01,bitcoin,0.286422,bitcoin,btc
23,2019-08-01,bitcoin,0.26510500000000004,bitcoin,btc
24,2019-07-01,bitcoin,0.246302,bitcoin,btc
25,2019-06-01,bitcoin,0.228302,bitcoin,btc
26,2019-05-01,bitcoin,0.224572,bitcoin,btc
27,2019-04-01,bitcoin,0.20897300000000002,bitcoin,btc
28,2019-03-01,bitcoin,0.218253,bitcoin,btc
29,2019-02-01,bitcoin,0.224572,bitcoin,btc
30,2019-01-01,bitcoin,0.219845,bitcoin,btc
31,2018-12-01,bitcoin,0.220869,bitcoin,btc
32,2018-11-01,bitcoin,0.218002,bitcoin,btc
33,2018-10-01,bitcoin,0.210711,bitcoin,btc
34,2018-09-01,bitcoin,0.216527,bitcoin,btc
35,2018-08-01,bitcoin,0.19839700000000002,bitcoin,btc
36,2018-07-01,bitcoin,0.18098,bitcoin,btc
37,2018-06-01,bitcoin,0.173419,bitcoin,btc
38,2018-05-01,bitcoin,0.167664,bitcoin,btc
39,2018-04-01,bitcoin,0.185886,bitcoin,btc
40,2018-03-01,bitcoin,0.1709,bitcoin,btc
41,2018-02-01,bitcoin,0.156999,bitcoin,btc
42,2018-01-31,bitcoin,0.156999,bitcoin,btc
43,2018-01-19,bitcoin,0.156778,bitcoin,btc
44,2018-01-01,bitcoin,0.178229,bitcoin,btc
45,2017-12-01,bitcoin,0.238049,bitcoin,btc
46,2017-11-01,bitcoin,0.23723400000000003,bitcoin,btc
47,2017-10-01,bitcoin,0.20531,bitcoin,btc
48,2017-09-01,bitcoin,0.194592,bitcoin,btc
49,2017-08-01,bitcoin,0.212059,bitcoin,btc
50,2017-07-01,bitcoin,0.185945,bitcoin,btc
51,2017-06-01,bitcoin,0.210281,bitcoin,btc
52,2017-05-01,bitcoin,0.266593,bitcoin,btc
53,2017-04-01,bitcoin,0.30136,bitcoin,btc
54,2017-03-01,bitcoin,0.399467,bitcoin,btc
55,2017-02-01,bitcoin,0.383994,bitcoin,btc
56,2017-01-01,bitcoin,0.406834,bitcoin,btc
81,2021-07-01,ethereum,0.127492,ethereum,eth
82,2021-06-01,ethereum,0.133097,ethereum,eth
83,2021-05-01,ethereum,0.114378,ethereum,eth
84,2021-04-01,ethereum,0.108842,ethereum,eth
85,2021-03-01,ethereum,0.114757,ethereum,eth
86,2021-02-01,ethereum,0.13445100000000001,ethereum,eth
87,2021-01-01,ethereum,0.117788,ethereum,eth
88,2020-12-01,ethereum,0.114953,ethereum,eth
89,2020-11-01,ethereum,0.110466,ethereum,eth
90,2020-10-01,ethereum,0.10875299999999999,ethereum,eth
91,2020-09-01,ethereum,0.11496700000000001,ethereum,eth
92,2020-08-01,ethereum,0.10942299999999999,ethereum,eth
93,2020-07-01,ethereum,0.10183400000000001,ethereum,eth
94,2020-06-01,ethereum,0.101494,ethereum,eth
95,2020-05-01,ethereum,0.09948499999999999,ethereum,eth
96,2020-04-01,ethereum,0.0925925,ethereum,eth
97,2020-03-01,ethereum,0.0986598,ethereum,eth
98,2020-02-01,ethereum,0.0874045,ethereum,eth
99,2020-01-01,ethereum,0.08940089999999999,ethereum,eth
100,2019-12-01,ethereum,0.0927449,ethereum,eth
101,2019-11-01,ethereum,0.09356790000000001,ethereum,eth
102,2019-10-01,ethereum,0.09751200000000002,ethereum,eth
103,2019-09-01,ethereum,0.093607,ethereum,eth
104,2019-08-01,ethereum,0.0951741,ethereum,eth
105,2019-07-01,ethereum,0.09892490000000001,ethereum,eth
106,2019-06-01,ethereum,0.09922650000000001,ethereum,eth
107,2019-05-01,ethereum,0.0952964,ethereum,eth
108,2019-04-01,ethereum,0.09485620000000002,ethereum,eth
109,2019-03-01,ethereum,0.10053200000000001,ethereum,eth
110,2019-02-01,ethereum,0.096602,ethereum,eth
111,2019-01-01,ethereum,0.0960276,ethereum,eth
112,2018-12-01,ethereum,0.09141149999999999,ethereum,eth
113,2018-11-01,ethereum,0.0940256,ethereum,eth
114,2018-10-01,ethereum,0.09486370000000001,ethereum,eth
115,2018-09-01,ethereum,0.10763400000000001,ethereum,eth
116,2018-08-01,ethereum,0.11591,ethereum,eth
117,2018-07-01,ethereum,0.11851,ethereum,eth
118,2018-06-01,ethereum,0.116699,ethereum,eth
119,2018-05-01,ethereum,0.10808999999999999,ethereum,eth
120,2018-04-01,ethereum,0.10895300000000001,ethereum,eth
121,2018-03-01,ethereum,0.119604,ethereum,eth
122,2018-02-01,ethereum,0.118791,ethereum,eth
123,2018-01-31,ethereum,0.118791,ethereum,eth
124,2018-01-19,ethereum,0.11189199999999999,ethereum,eth
125,2018-01-01,ethereum,0.0957376,ethereum,eth
126,2017-12-01,ethereum,0.123549,ethereum,eth
127,2017-11-01,ethereum,0.12737600000000002,ethereum,eth
128,2017-10-01,ethereum,0.131472,ethereum,eth
129,2017-09-01,ethereum,0.131128,ethereum,eth
130,2017-08-01,ethereum,0.138921,ethereum,eth
131,2017-07-01,ethereum,0.154049,ethereum,eth
132,2017-06-01,ethereum,0.146868,ethereum,eth
133,2017-05-01,ethereum,0.139176,ethereum,eth
134,2017-04-01,ethereum,0.154897,ethereum,eth
135,2017-03-01,ethereum,0.104172,ethereum,eth
136,2017-02-01,ethereum,0.0960875,ethereum,eth
137,2017-01-01,ethereum,0.0865444,ethereum,eth
153,2021-07-01,binance-coin,0.0552904,binance-coin,bnb
154,2021-06-01,binance-coin,0.0552747,binance-coin,bnb
155,2021-05-01,binance-coin,0.0624867,binance-coin,bnb
156,2021-04-01,binance-coin,0.049826300000000004,binance-coin,bnb
157,2021-03-01,binance-coin,0.051207,binance-coin,bnb
158,2021-02-01,binance-coin,0.028663300000000003,binance-coin,bnb
159,2021-01-01,binance-coin,0.029982,binance-coin,bnb
160,2020-12-01,binance-coin,0.0292801,binance-coin,bnb
161,2020-11-01,binance-coin,0.0338296,binance-coin,bnb
162,2020-10-01,binance-coin,0.0338712,binance-coin,bnb
163,2020-09-01,binance-coin,0.030085000000000004,binance-coin,bnb
164,2020-08-01,binance-coin,0.030387900000000002,binance-coin,bnb
165,2020-07-01,binance-coin,0.031454,binance-coin,bnb
166,2020-06-01,binance-coin,0.032608899999999996,binance-coin,bnb
167,2020-05-01,binance-coin,0.0337727,binance-coin,bnb
168,2020-04-01,binance-coin,0.0333833,binance-coin,bnb
169,2020-03-01,binance-coin,0.0350295,binance-coin,bnb
170,2020-02-01,binance-coin,0.0330048,binance-coin,bnb
171,2020-01-01,binance-coin,0.0346085,binance-coin,bnb
172,2019-12-01,binance-coin,0.0356464,binance-coin,bnb
173,2019-11-01,binance-coin,0.0370513,binance-coin,bnb
174,2019-10-01,binance-coin,0.0357031,binance-coin,bnb
175,2019-09-01,binance-coin,0.039929700000000005,binance-coin,bnb
176,2019-08-01,binance-coin,0.0415558,binance-coin,bnb
177,2019-07-01,binance-coin,0.0385811,binance-coin,bnb
178,2019-06-01,binance-coin,0.0404255,binance-coin,bnb
179,2019-05-01,binance-coin,0.0405624,binance-coin,bnb
180,2019-04-01,binance-coin,0.0378435,binance-coin,bnb
181,2019-03-01,binance-coin,0.032086199999999995,binance-coin,bnb
182,2019-02-01,binance-coin,0.025969000000000002,binance-coin,bnb
183,2019-01-01,binance-coin,0.0231948,binance-coin,bnb
184,2018-12-01,binance-coin,0.0217701,binance-coin,bnb
185,2018-11-01,binance-coin,0.0230807,binance-coin,bnb
186,2018-10-01,binance-coin,0.0208013,binance-coin,bnb
187,2018-09-01,binance-coin,0.0201587,binance-coin,bnb
188,2018-08-01,binance-coin,0.0192201,binance-coin,bnb
189,2018-07-01,binance-coin,0.022757999999999997,binance-coin,bnb
190,2018-06-01,binance-coin,0.0184455,binance-coin,bnb
191,2018-05-01,binance-coin,0.0172168,binance-coin,bnb
192,2018-04-01,binance-coin,0.0168104,binance-coin,bnb
193,2018-03-01,binance-coin,0.012859400000000002,binance-coin,bnb
194,2018-02-01,binance-coin,0.013029200000000001,binance-coin,bnb
195,2018-01-31,binance-coin,0.013029200000000001,binance-coin,bnb
196,2018-01-19,binance-coin,0.0137911,binance-coin,bnb
197,2021-07-01,cardano,0.053425700000000007,cardano,ada
198,2021-06-01,cardano,0.0559382,cardano,ada
199,2021-05-01,cardano,0.0419752,cardano,ada
200,2021-04-01,cardano,0.0466972,cardano,ada
201,2021-03-01,cardano,0.057402499999999995,cardano,ada
202,2021-02-01,cardano,0.035895800000000005,cardano,ada
203,2021-01-01,cardano,0.030579600000000002,cardano,ada
204,2020-12-01,cardano,0.0317483,cardano,ada
205,2020-11-01,cardano,0.0284083,cardano,ada
206,2020-10-01,cardano,0.0296422,cardano,ada
207,2020-09-01,cardano,0.029319500000000002,cardano,ada
208,2020-08-01,cardano,0.0333675,cardano,ada
209,2020-07-01,cardano,0.0292923,cardano,ada
210,2020-06-01,cardano,0.02781,cardano,ada
211,2020-05-01,cardano,0.0231095,cardano,ada
212,2020-04-01,cardano,0.021218499999999998,cardano,ada
213,2020-03-01,cardano,0.0222832,cardano,ada
214,2020-02-01,cardano,0.0231622,cardano,ada
215,2020-01-01,cardano,0.0221429,cardano,ada
216,2019-12-01,cardano,0.0232377,cardano,ada
217,2019-11-01,cardano,0.021922999999999998,cardano,ada
218,2019-10-01,cardano,0.0227161,cardano,ada
219,2019-09-01,cardano,0.023500200000000002,cardano,ada
220,2019-08-01,cardano,0.024461800000000002,cardano,ada
221,2019-07-01,cardano,0.0265151,cardano,ada
222,2019-06-01,cardano,0.028166300000000002,cardano,ada
223,2019-05-01,cardano,0.0308217,cardano,ada
224,2019-04-01,cardano,0.0322879,cardano,ada
225,2019-03-01,cardano,0.0280468,cardano,ada
226,2019-02-01,cardano,0.028786000000000003,cardano,ada
227,2019-01-01,cardano,0.0273035,cardano,ada
228,2018-12-01,cardano,0.026837399999999997,cardano,ada
229,2018-11-01,cardano,0.0282431,cardano,ada
230,2018-10-01,cardano,0.0288821,cardano,ada
231,2018-09-01,cardano,0.0321265,cardano,ada
232,2018-08-01,cardano,0.0347803,cardano,ada
233,2018-07-01,cardano,0.0326957,cardano,ada
234,2018-06-01,cardano,0.0354382,cardano,ada
235,2018-05-01,cardano,0.038341599999999997,cardano,ada
236,2018-04-01,cardano,0.0334213,cardano,ada
237,2018-03-01,cardano,0.0390242,cardano,ada
238,2018-02-01,cardano,0.045594,cardano,ada
239,2018-01-31,cardano,0.045594,cardano,ada
240,2018-01-19,cardano,0.0465332,cardano,ada
241,2018-01-01,cardano,0.0399061,cardano,ada
242,2021-07-01,dogecoin,0.0471421,dogecoin,doge
243,2021-06-01,dogecoin,0.048756100000000004,dogecoin,doge
244,2021-05-01,dogecoin,0.0422044,dogecoin,doge
245,2021-04-01,dogecoin,0.0200409,dogecoin,doge
246,2020-06-01,dogecoin,0.0113092,dogecoin,doge
247,2020-05-01,dogecoin,0.0114367,dogecoin,doge
248,2020-04-01,dogecoin,0.0114171,dogecoin,doge
249,2020-03-01,dogecoin,0.010545500000000001,dogecoin,doge
250,2020-02-01,dogecoin,0.0106725,dogecoin,doge
251,2020-01-01,dogecoin,0.0119238,dogecoin,doge
252,2019-12-01,dogecoin,0.012203900000000002,dogecoin,doge
253,2019-11-01,dogecoin,0.011855899999999999,dogecoin,doge
254,2019-10-01,dogecoin,0.011737599999999999,dogecoin,doge
255,2019-09-01,dogecoin,0.0119448,dogecoin,doge
256,2019-08-01,dogecoin,0.0116952,dogecoin,doge
257,2019-07-01,dogecoin,0.0109804,dogecoin,doge
258,2019-06-01,dogecoin,0.0119103,dogecoin,doge
259,2019-05-01,dogecoin,0.0125921,dogecoin,doge
260,2019-04-01,dogecoin,0.0122526,dogecoin,doge
261,2019-03-01,dogecoin,0.0128334,dogecoin,doge
262,2019-02-01,dogecoin,0.0137584,dogecoin,doge
263,2019-01-01,dogecoin,0.014424300000000001,dogecoin,doge
264,2018-12-01,dogecoin,0.0132431,dogecoin,doge
265,2018-11-01,dogecoin,0.014129100000000002,dogecoin,doge
266,2018-10-01,dogecoin,0.0162402,dogecoin,doge
267,2017-09-01,dogecoin,0.014572400000000001,dogecoin,doge
268,2017-08-01,dogecoin,0.0140739,dogecoin,doge
269,2017-07-01,dogecoin,0.0159465,dogecoin,doge
270,2017-06-01,dogecoin,0.0188957,dogecoin,doge
271,2017-05-01,dogecoin,0.015168,dogecoin,doge
272,2017-04-01,dogecoin,0.012899400000000002,dogecoin,doge
273,2017-03-01,dogecoin,0.0138273,dogecoin,doge
274,2017-02-01,dogecoin,0.014887,dogecoin,doge
275,2017-01-01,dogecoin,0.016420300000000002,dogecoin,doge
300,2021-07-01,xrp,0.045677300000000004,xrp,xrp
301,2021-06-01,xrp,0.0520963,xrp,xrp
302,2021-05-01,xrp,0.0542853,xrp,xrp
303,2021-04-01,xrp,0.0379587,xrp,xrp
304,2021-03-01,xrp,0.039056799999999996,xrp,xrp
305,2021-02-01,xrp,0.0518084,xrp,xrp
306,2021-01-01,xrp,0.0472121,xrp,xrp
307,2020-12-01,xrp,0.0754695,xrp,xrp
308,2020-11-01,xrp,0.0550118,xrp,xrp
309,2020-10-01,xrp,0.0565668,xrp,xrp
310,2020-09-01,xrp,0.058533299999999996,xrp,xrp
311,2020-08-01,xrp,0.059947,xrp,xrp
312,2020-07-01,xrp,0.056968500000000005,xrp,xrp
313,2020-06-01,xrp,0.059925,xrp,xrp
314,2020-05-01,xrp,0.0635652,xrp,xrp
315,2020-04-01,xrp,0.0659705,xrp,xrp
316,2020-03-01,xrp,0.0638541,xrp,xrp
317,2020-02-01,xrp,0.0635489,xrp,xrp
318,2020-01-01,xrp,0.0687396,xrp,xrp
319,2019-12-01,xrp,0.07161050000000001,xrp,xrp
320,2021-07-01,polkadot-new,0.0322416,polkadot-new,dot
321,2021-06-01,polkadot-new,0.0352482,polkadot-new,dot
322,2021-05-01,polkadot-new,0.037308400000000005,polkadot-new,dot
323,2021-04-01,polkadot-new,0.042729,polkadot-new,dot
324,2021-03-01,polkadot-new,0.0498752,polkadot-new,dot
325,2021-02-01,polkadot-new,0.0418751,polkadot-new,dot
326,2021-01-01,polkadot-new,0.032559700000000004,polkadot-new,dot
327,2020-12-01,polkadot-new,0.0299452,polkadot-new,dot
328,2020-11-01,polkadot-new,0.0315261,polkadot-new,dot
329,2020-10-01,polkadot-new,0.0335844,polkadot-new,dot
330,2021-07-01,uniswap,0.0264231,uniswap,uni
331,2021-06-01,uniswap,0.0300324,uniswap,uni
332,2021-05-01,uniswap,0.029471599999999997,uniswap,uni
333,2021-04-01,uniswap,0.0294089,uniswap,uni
