,Date,Coin,Weight,name_x,ticker_x,name_y,ticker_y,name,ticker
0,2021-07-01,bitcoin,0.207871,bitcoin,btc,bitcoin,btc,bitcoin,btc
1,2021-06-01,bitcoin,0.198198,bitcoin,btc,bitcoin,btc,bitcoin,btc
2,2021-05-01,bitcoin,0.20982299999999998,bitcoin,btc,bitcoin,btc,bitcoin,btc
3,2021-04-01,bitcoin,0.247501,bitcoin,btc,bitcoin,btc,bitcoin,btc
4,2021-03-01,bitcoin,0.261011,bitcoin,btc,bitcoin,btc,bitcoin,btc
5,2021-02-01,bitcoin,0.272071,bitcoin,btc,bitcoin,btc,bitcoin,btc
6,2021-01-01,bitcoin,0.294376,bitcoin,btc,bitcoin,btc,bitcoin,btc
7,2020-12-01,bitcoin,0.262453,bitcoin,btc,bitcoin,btc,bitcoin,btc
8,2020-11-01,bitcoin,0.266804,bitcoin,btc,bitcoin,btc,bitcoin,btc
9,2020-10-01,bitcoin,0.241769,bitcoin,btc,bitcoin,btc,bitcoin,btc
10,2020-09-01,bitcoin,0.24150200000000002,bitcoin,btc,bitcoin,btc,bitcoin,btc
11,2020-08-01,bitcoin,0.254226,bitcoin,btc,bitcoin,btc,bitcoin,btc
12,2020-07-01,bitcoin,0.262525,bitcoin,btc,bitcoin,btc,bitcoin,btc
13,2020-06-01,bitcoin,0.26421,bitcoin,btc,bitcoin,btc,bitcoin,btc
14,2020-05-01,bitcoin,0.261567,bitcoin,btc,bitcoin,btc,bitcoin,btc
15,2020-04-01,bitcoin,0.260509,bitcoin,btc,bitcoin,btc,bitcoin,btc
16,2020-03-01,bitcoin,0.251404,bitcoin,btc,bitcoin,btc,bitcoin,btc
17,2020-02-01,bitcoin,0.25639700000000004,bitcoin,btc,bitcoin,btc,bitcoin,btc
18,2020-01-01,bitcoin,0.27235,bitcoin,btc,bitcoin,btc,bitcoin,btc
19,2019-12-01,bitcoin,0.26668600000000003,bitcoin,btc,bitcoin,btc,bitcoin,btc
20,2019-11-01,bitcoin,0.271171,bitcoin,btc,bitcoin,btc,bitcoin,btc
21,2019-10-01,bitcoin,0.275271,bitcoin,btc,bitcoin,btc,bitcoin,btc
22,2019-09-01,bitcoin,0.286422,bitcoin,btc,bitcoin,btc,bitcoin,btc
23,2019-08-01,bitcoin,0.26510500000000004,bitcoin,btc,bitcoin,btc,bitcoin,btc
24,2019-07-01,bitcoin,0.246302,bitcoin,btc,bitcoin,btc,bitcoin,btc
25,2019-06-01,bitcoin,0.228302,bitcoin,btc,bitcoin,btc,bitcoin,btc
26,2019-05-01,bitcoin,0.224572,bitcoin,btc,bitcoin,btc,bitcoin,btc
27,2019-04-01,bitcoin,0.20897300000000002,bitcoin,btc,bitcoin,btc,bitcoin,btc
28,2019-03-01,bitcoin,0.218253,bitcoin,btc,bitcoin,btc,bitcoin,btc
29,2019-02-01,bitcoin,0.224572,bitcoin,btc,bitcoin,btc,bitcoin,btc
30,2019-01-01,bitcoin,0.219845,bitcoin,btc,bitcoin,btc,bitcoin,btc
31,2018-12-01,bitcoin,0.220869,bitcoin,btc,bitcoin,btc,bitcoin,btc
32,2018-11-01,bitcoin,0.218002,bitcoin,btc,bitcoin,btc,bitcoin,btc
33,2018-10-01,bitcoin,0.210711,bitcoin,btc,bitcoin,btc,bitcoin,btc
34,2018-09-01,bitcoin,0.216527,bitcoin,btc,bitcoin,btc,bitcoin,btc
35,2018-08-01,bitcoin,0.19839700000000002,bitcoin,btc,bitcoin,btc,bitcoin,btc
36,2018-07-01,bitcoin,0.18098,bitcoin,btc,bitcoin,btc,bitcoin,btc
37,2018-06-01,bitcoin,0.173419,bitcoin,btc,bitcoin,btc,bitcoin,btc
38,2018-05-01,bitcoin,0.167664,bitcoin,btc,bitcoin,btc,bitcoin,btc
39,2018-04-01,bitcoin,0.185886,bitcoin,btc,bitcoin,btc,bitcoin,btc
40,2018-03-01,bitcoin,0.1709,bitcoin,btc,bitcoin,btc,bitcoin,btc
41,2018-02-01,bitcoin,0.156999,bitcoin,btc,bitcoin,btc,bitcoin,btc
42,2018-01-31,bitcoin,0.156999,bitcoin,btc,bitcoin,btc,bitcoin,btc
43,2018-01-19,bitcoin,0.156778,bitcoin,btc,bitcoin,btc,bitcoin,btc
44,2018-01-01,bitcoin,0.178229,bitcoin,btc,bitcoin,btc,bitcoin,btc
45,2017-12-01,bitcoin,0.238049,bitcoin,btc,bitcoin,btc,bitcoin,btc
46,2017-11-01,bitcoin,0.23723400000000003,bitcoin,btc,bitcoin,btc,bitcoin,btc
47,2017-10-01,bitcoin,0.20531,bitcoin,btc,bitcoin,btc,bitcoin,btc
48,2017-09-01,bitcoin,0.194592,bitcoin,btc,bitcoin,btc,bitcoin,btc
49,2017-08-01,bitcoin,0.212059,bitcoin,btc,bitcoin,btc,bitcoin,btc
50,2017-07-01,bitcoin,0.185945,bitcoin,btc,bitcoin,btc,bitcoin,btc
51,2017-06-01,bitcoin,0.210281,bitcoin,btc,bitcoin,btc,bitcoin,btc
52,2017-05-01,bitcoin,0.266593,bitcoin,btc,bitcoin,btc,bitcoin,btc
53,2017-04-01,bitcoin,0.30136,bitcoin,btc,bitcoin,btc,bitcoin,btc
54,2017-03-01,bitcoin,0.399467,bitcoin,btc,bitcoin,btc,bitcoin,btc
55,2017-02-01,bitcoin,0.383994,bitcoin,btc,bitcoin,btc,bitcoin,btc
56,2017-01-01,bitcoin,0.406834,bitcoin,btc,bitcoin,btc,bitcoin,btc
57,2016-12-01,bitcoin,0.388769,bitcoin,btc,bitcoin,btc,bitcoin,btc
58,2016-11-01,bitcoin,0.373332,bitcoin,btc,bitcoin,btc,bitcoin,btc
59,2016-10-01,bitcoin,0.35507599999999995,bitcoin,btc,bitcoin,btc,bitcoin,btc
60,2016-09-01,bitcoin,0.35393500000000006,bitcoin,btc,bitcoin,btc,bitcoin,btc
61,2016-08-01,bitcoin,0.36611400000000005,bitcoin,btc,bitcoin,btc,bitcoin,btc
62,2016-07-01,bitcoin,0.40330800000000006,bitcoin,btc,bitcoin,btc,bitcoin,btc
63,2016-06-01,bitcoin,0.404377,bitcoin,btc,bitcoin,btc,bitcoin,btc
64,2016-05-01,bitcoin,0.42443800000000004,bitcoin,btc,bitcoin,btc,bitcoin,btc
65,2016-04-01,bitcoin,0.397911,bitcoin,btc,bitcoin,btc,bitcoin,btc
66,2016-03-01,bitcoin,0.440448,bitcoin,btc,bitcoin,btc,bitcoin,btc
67,2016-02-01,bitcoin,0.479715,bitcoin,btc,bitcoin,btc,bitcoin,btc
68,2016-01-01,bitcoin,0.528216,bitcoin,btc,bitcoin,btc,bitcoin,btc
69,2015-12-01,bitcoin,0.489006,bitcoin,btc,bitcoin,btc,bitcoin,btc
70,2015-11-01,bitcoin,0.461301,bitcoin,btc,bitcoin,btc,bitcoin,btc
71,2015-10-01,bitcoin,0.42631500000000006,bitcoin,btc,bitcoin,btc,bitcoin,btc
72,2015-09-01,bitcoin,0.412156,bitcoin,btc,bitcoin,btc,bitcoin,btc
73,2015-08-01,bitcoin,0.435157,bitcoin,btc,bitcoin,btc,bitcoin,btc
74,2015-07-01,bitcoin,0.41994,bitcoin,btc,bitcoin,btc,bitcoin,btc
75,2015-06-01,bitcoin,0.444174,bitcoin,btc,bitcoin,btc,bitcoin,btc
