,copula,risk_measure,h,file,HE,likelihood,AIC,AIC_selected
0,Clayton,ES q=0.05,0.8615234374999998,44.csv,0.6819881385729519,-1099.936944019374,2201.873888038748,0
1,Clayton,ERM k=10,0.88671875,120.csv,0.713524234704972,-536.8904789355895,1075.780957871179,0
2,Clayton,ES q=0.05,0.8146484374999998,170.csv,0.6409787802073504,-2048.65977948791,4099.31955897582,0
3,Clayton,VaR q=0.05,0.9566406249999999,78.csv,0.6484897028389709,-2089.471027729087,4180.942055458174,0
4,Clayton,VaR q=0.01,0.9053710937499998,104.csv,0.7102975694416271,-3328.099619792453,6658.199239584906,0
5,Clayton,VaR q=0.05,1.0349609375,185.csv,0.6162661386976136,-777.7981718349594,1557.5963436699187,0
6,Clayton,ES q=0.05,0.8266601562499999,173.csv,0.6190712193966245,-1826.9212898757485,3655.842579751497,0
7,Clayton,ES q=0.01,0.5380859374999996,125.csv,0.5166901127773444,-851.3103839293167,1704.6207678586334,0
8,Clayton,VaR q=0.01,0.8341796874999998,0.csv,0.7621779581962018,-1219.8850935949163,2441.7701871898325,0
9,Clayton,VaR q=0.01,0.8141601562499998,185.csv,0.6966585014985942,-777.7981718349594,1557.5963436699187,0
10,Clayton,VaR q=0.05,0.9522460937500001,121.csv,0.6642989402687148,-568.845470609399,1139.690941218798,0
11,Clayton,ERM k=10,0.9049804687499998,4.csv,0.6976405101934694,-866.9391606791511,1735.8783213583022,0
12,Clayton,ES q=0.01,0.4605468749999996,138.csv,0.421195647733002,-407.6043103590653,817.2086207181306,0
13,Clayton,VaR q=0.01,0.9127929687499998,170.csv,0.7380136663315251,-2048.65977948791,4099.31955897582,0
14,Clayton,VaR q=0.05,0.9775390624999998,104.csv,0.6604982950385822,-3328.099619792453,6658.199239584906,0
15,Clayton,ES q=0.05,0.89345703125,104.csv,0.7133329248863935,-3328.099619792453,6658.199239584906,0
16,Clayton,ERM k=10,0.9117187499999999,64.csv,0.6629745405230214,-2537.297699258956,5076.595398517912,0
