"Date","unhedged","future","Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-06-18050000",-0.0010732205693257796,-0.00038187035803293373,-0.0007452644220838187,-0.0007890436756994856,-0.0007370592310689188,-0.0007852733459008303,-0.0007434134696016959,-0.0007435225373110606
"2020-06-18060000",0.00048280672575640193,-0.000679001159197591,0.0010648762608868384,0.0009871836645478776,0.0010794372619446096,0.0009938747619578391,0.0010681609848291888,0.0010679674320083713
"2020-06-18070000",0.0023099661090766714,0.0020936252723759803,0.0005138753501688127,0.0007538583754485319,0.0004688896964457691,0.0007331933854163248,0.0005037275556408268,0.0005043255196420791
"2020-06-18080000",-0.0010213407327653396,-0.0005197578478624252,-0.000575045021609538,-0.000634618509098502,-0.0005638797499274705,-0.0006294879210326506,-0.0005725263220470692,-0.0005726747368269946
"2020-06-18090000",-0.0008592680639325003,-0.0009100082593653663,-0.00007828936268050284,-0.00018252267311102014,-0.000058754458456766304,-0.00017354570845039502,-0.0000738825989599706,-0.00007414226799564322
"2020-06-18100000",0.,0.0002909827286043555,-0.0002497885397834907,-0.0002164356251150819,-0.0002560398927837465,-0.00021930792296519106,-0.0002511987315218868,-0.0002511156355915387
"2020-06-18110000",0.,0.0004793866539881674,-0.0004115923400512517,-0.00035663078501950874,-0.0004218939431768494,-0.0003613639365054772,-0.00041391619103792394,-0.00041377925742987903
"2020-06-18120000",-0.0022520720529450697,-0.0006632889310002381,-0.0016819066739827942,-0.001758010737870564,-0.0016676433792535967,-0.0017514564539473632,-0.0016786891080951616,-0.001678878703624288
"2020-06-18130000",0.00010712659695829328,-0.0015877248130820112,0.0014675572399277413,0.001286032958655755,0.0015015760840144266,0.001301667064528547,0.0014752313931758025,0.0014747791935487702
"2020-06-18140000",-0.0036358815618899175,-0.0030882393342785406,-0.0009835283715524269,-0.0013372377859586218,-0.0009172476767030491,-0.0013067715281776533,-0.0009685762302492804,-0.0009694572824444614
"2020-06-18150000",0.0009077318009024865,-0.00011196351723560465,0.0010037215868974594,0.0009909065091284152,0.0010061234573120901,0.0009920101457134196,0.001004263407070492,0.0010042314801993666
"2020-06-18160000",0.002728149760987429,0.0020819870445729183,0.000942810020381923,0.0011813554469614247,0.0008980938877101888,0.0011608142353698799,0.0009327230229450918,0.0009333174044294623
"2020-06-18170000",0.0034341245886897924,0.005017995246291513,-0.0008776171493511164,-0.0003008793716059284,-0.0009857502743952746,-0.0003505347448561499,-0.0009020090568464904,-0.0009005717415441728
"2020-06-18180000",0.0012370248444544796,0.0011900559602512969,0.00021585451203880374,0.00035225144889471197,0.00019028800377888995,0.00034050572333011955,0.0002100872150899856,0.00021042705532254243
"2020-06-18190000",0.005829189357164345,0.005005685364098173,0.0015383855183354164,0.002112317439020158,0.0014307786454445354,0.0020629035782016875,0.0015141123141419253,0.001515542634664506
"2020-06-18200000",0.00027069460400248917,0.0006569499426545315,-0.0002932906024561865,-0.00021797445191126474,-0.00030740749685590965,-0.00022446042986632814,-0.0002964751078302349,-0.0002962874598313894
"2020-06-18210000",0.0005957861845517914,0.0012397767805446822,-0.00046878084261552674,-0.00032658476896407117,-0.0004954344441763134,-0.00033882985063705533,-0.0004747933637109242,-0.00047443907350873865
"2020-06-18220000",-0.0015969904191248557,-0.0016785187985489576,-0.00015643371414995465,-0.0003486426629037047,-0.00012041272160132676,-0.00033208823996373494,-0.000148307899217512,-0.00014878671291618443
"2020-06-18230000",-0.0010002028271834402,-0.0008921696892004428,-0.00023441281264990606,-0.0003366196377724595,-0.00021525767948116911,-0.0003278172097980934,-0.00023009171987512303,-0.0002303463407512152
"2020-06-19000000",0.003464425474975172,0.004112995581265177,-0.00006660520939093844,0.00040554504088195336,-0.00015512361986759008,0.00036489239384610874,-0.00008657271960383841,-0.00008539611837921871
"2020-06-19010000",0.0005966587289181777,-0.00034257576813974074,0.0008903879902097577,0.0008511771426142259,0.0008977369818081723,0.0008545540279261903,0.0008920457980177404,0.0008919481113841892
"2020-06-19020000",-0.00037973310644004785,-0.0007307279052984839,0.00024718912538766833,0.00016351137469628547,0.00026287179715016215,0.0001707179495638385,0.000250726881451706,0.0002505184187022528
"2020-06-19030000",-0.000921609086157688,-0.0006056180549962148,-0.0004016819003183698,-0.0004710818225846127,-0.00038867503268420165,-0.00046510493543693124,-0.0003987477652507821,-0.0003989206596014218
"2020-06-19040000",0.0024414074626605883,0.0015760272182035844,0.0010901847094439822,0.0012706923058742885,0.001056349126838228,0.0012551483354195899,0.0010825520978439982,0.0010830018528677808
"2020-06-19050000",0.0002716357924020471,0.0001510615359701639,0.00014201199319955192,0.0001593190579875148,0.0001387681525412184,0.00015782859126363085,0.0001412802407894764,0.00014132335948470362
"2020-06-19060000",0.0015225255109355864,0.0012487732974470922,0.0004512182324548855,0.0005943150311171034,0.0004243957823129687,0.0005819923894249782,0.00044516762288170276,0.0004455241574690526
"2020-06-19070000",0.00016326530648504725,0.0002192439163114856,-0.000024897153876584884,2.264924364692854e-7,-0.00002960606810374855,-1.9371225686286346e-6,-0.00002595940006639165,-0.00002589680693207313
"2020-06-19080000",-0.0022289886362581008,-0.001540266882371969,-0.000906079044577308,-0.0010825997054965356,-0.0008729978135815445,-0.0010673965802046339,-0.0008986164058270513,-0.0008990561420019067
"2020-06-19090000",0.0020113074838653375,0.0005858105897031799,0.001509302757603274,0.0015763400625035309,0.001496737671687821,0.001570567009533767,0.0015064683092796123,0.0015066353300272524
"2020-06-19100000",-0.004126964126319963,-0.0036155926253418806,-0.0010216872934345883,-0.0014357159306798036,-0.0009441063130587619,-0.001400053179385664,-0.0010041858647104852,-0.0010052171319642374
"2020-06-19110000",0.002332900363607689,0.0017072222469985384,0.0008688587856000317,0.0010644472213936671,0.0008321960186864046,0.0010476047173798074,0.000860588428415713,0.0008610757630272104
"2020-06-19120000",0.,0.0010336133030210322,-0.0008878982827230673,-0.0007693092389917614,-0.0009101266096863602,-0.000779521533556362,-0.0008929125586919354,-0.0008926170906204496
"2020-06-19130000",0.0011956848077963518,0.001059878870108195,0.0002862900377078324,0.0004077513162034036,0.00026352330031712327,0.0003972916928921504,0.0002811543079439207,0.00028145693274255845
"2020-06-19140000",-0.001521532694025794,-0.0016998606880249455,-0.00006279862219518463,-0.00025743138715266027,-0.000026323445917909367,-0.00024066818908842066,-0.00005457034853558625,-0.00005505519959200662
"2020-06-19150000",-0.0023863123833166213,-0.0034978850773407792,0.0006129812315302293,0.00021306504834616861,0.0006879184380268214,0.0002475119878167139,0.0006298862362021957,0.0006288901128050507
"2020-06-19160000",-0.0002166553833796863,0.0009747715946656219,-0.0010541429317470765,-0.0009422892653406801,-0.0010751086959343674,-0.0009519215725847907,-0.0010588724005506191,-0.0010585937148844793
"2020-06-19170000",-0.0016234209036358515,-0.0016818130045613408,-0.00018000330144835207,-0.0003725937320251296,-0.0001439108253250316,-0.00035600645022368886,-0.0001718613606300243,-0.00017234112454285775
"2020-06-19180000",0.005258604766762471,0.005650664248500923,0.00040925184565491314,0.0010580515331157785,0.0002876025577243942,0.0010021936872331302,0.00038181120110225287,0.00038342816832418304
"2020-06-19190000",0.0012509519742932378,0.0014280886482852797,0.000025275013017628324,0.00018900224992353794,-5.4148380708635624e-6,0.00017490317100880482,0.000018352005322956173,0.000018759946485712103
"2020-06-19200000",-0.004127636546009433,-0.0032904149491119216,-0.0013007859677396576,-0.0016777373064016709,-0.0012301510032379623,-0.0016452687936709446,-0.001284851527805879,-0.0012857904613344992
"2020-06-19210000",-0.0002709586533675565,-0.00006230934844467824,-0.00021747345496637277,-0.00022461410635812949,-0.0002161351113832795,-0.0002239991538915188,-0.00021717154806549286,-0.00021718933799720548
"2020-06-19220000",-0.0011913466332040858,-0.0007102707632091585,-0.0005814692346328981,-0.0006628725461863733,-0.0005662128118824818,-0.0006558618600167687,-0.0005780276339917458,-0.0005782304307792479
"2020-06-19230000",0.003143889626411935,0.0025582440717227036,0.0009500928389941257,0.001243265507882922,0.0008951348657051893,0.0012180209597227255,0.0009376955518379054,0.0009384260691198978
"2020-06-20000000",0.0003257948064546943,-0.0007476971441575687,0.0009668132829718597,0.0008812545741306932,0.0009828484612324643,0.0008886231489989218,0.0009704305592710178,0.0009702174107891344
"2020-06-20010000",-0.0005972094210834973,-0.000721987729129518,0.000022353957367510722,-0.00006034184215803253,0.00003785260336917567,-0.00005321983901882751,0.00002585019995936613,0.000025644183392663828
"2020-06-20020000",0.001575231178522631,0.002284796919627058,-0.0003866537921900795,-0.0001244994931286336,-0.00043579617531327807,-0.00014707342763392884,-0.00039773923749615456,-0.0003970860216533637
"2020-06-20030000",-0.003689740749724106,-0.003746865361844102,-0.0004735156089119916,-0.0009023164498824063,-0.0003931673070990971,-0.0008653810314167387,-0.00045538988302832304,-0.00045645793652020417
"2020-06-20040000",-0.0005955926322577743,-0.00032861643497981145,-0.00031349256003030177,-0.0003511511801482024,-0.00030643448414379094,-0.0003479079768319424,-0.0003119003780501115,-0.00031199419767224674
"2020-06-20050000",-0.00037882888211472203,-0.0021219415105222716,0.0014393233482018345,0.0011967726953668212,0.001484777288840773,0.0012176633900228215,0.0014495771372428272,0.0014489729332608637
"2020-06-20060000",-0.002269964493154178,-0.0020783173769086485,-0.00048575085696133465,-0.0007237774301303843,-0.00044114460808401297,-0.0007032764332360386,-0.0004756882989225897,-0.0004762812346811298
"2020-06-20070000",0.0021076531796992257,0.0027364443973813476,-0.00024178258782545577,0.00007221039944338549,-0.00030064425322771894,0.00004517330996716302,-0.00025506044037013114,-0.00025427803494142804
"2020-06-20080000",-0.0007571046517990963,-0.0014072543439920813,0.0004499351659305536,0.0002888673475217939,0.0004801207009358582,0.0003027394739925934,0.00045674457065560185,0.00045634332618873895
"2020-06-20090000",-0.00010811103013312045,0.0003853820501031178,-0.0004389996580293511,-0.0003948163341658044,-0.00044728101313780655,-0.000398621310113441,-0.00044086777991863413,-0.00044075770030626633
"2020-06-20100000",-0.002968482317994918,-0.002732567457782223,-0.0006223895771163035,-0.0009352985787838158,-0.0005637529461450396,-0.0009083471090619562,-0.0006091618854211031,-0.0006099413253706072
"2020-06-20110000",0.004537237373030998,0.0030298703348254916,0.0019414862654324814,0.0022884353712488213,0.0018764453166224483,0.0022585609691352627,0.001926814542241539,0.0019276790829015592
"2020-06-20120000",0.002873409404506592,0.0030106737956557853,0.00028984982015047326,0.0006351675780081724,0.00022511475532509473,0.0006054336225896669,0.00027524709553249517,0.0002761075703795377
"2020-06-20130000",0.0019020711130988228,0.001487954785321361,0.000625773945270496,0.0007962668226930511,0.000593815780351635,0.0007815851781030843,0.0006185648352506091,0.0006189896351714358
"2020-06-20140000",-0.0008699671592379513,-0.0015819025810038813,0.00048680621717474786,0.000305769643582181,0.0005207336714586135,0.00032136174127727745,0.0004944597539503188,0.0004940087691450562
"2020-06-20150000",0.004739603555392935,0.004479977363600154,0.0008971148264216457,0.001410980904558148,0.00080077317420497,0.0013667373229638083,0.000875382656956832,0.0008766632431777037
"2020-06-20160000",-0.002998911735009386,-0.0007436722393606159,-0.0023592189399084195,-0.002444600755007955,-0.0023432169129064258,-0.0024372474153582942,-0.002355609142042297,-0.002355821849857368
"2020-06-20170000",0.006609517698006236,0.006711940359805975,0.0008514931071690039,0.0016221682956293058,0.0007069818268268264,0.0015558213789870839,0.0008188957312096926,0.0008208165686098381
"2020-06-20180000",0.003018828792437014,0.0023141123597941603,0.0010345867262464752,0.0012997310312699761,0.0009848837604752186,0.0012768996605078107,0.0010233748282065418,0.0010240354953839697
"2020-06-20190000",-0.006465598809460832,-0.006370206956328987,-0.0009957095447998207,-0.0017242669598029543,-0.0008592174246624174,-0.0016615029521120986,-0.0009649176987599972,-0.0009667320891404423
"2020-06-20200000",0.001639837476983152,0.0011935282492695762,0.0006160969863985372,0.0007528373695768131,0.000590466096662738,0.0007410620702234837,0.0006103151664106687,0.0006106558624210561
"2020-06-20210000",-0.0022404380956377655,-0.002196749519508315,-0.00035481466212190885,-0.0006063589604611967,-0.00030767556591915484,-0.0005846935612396885,-0.00034418071803164513,-0.000344807322517906
"2020-06-20220000",-0.002997604163076871,-0.0025841763283737727,-0.0007785450111918175,-0.0010745272558051167,-0.0007230797610448272,-0.0010490339182519964,-0.0007660327587715312,-0.0007667700418063664
