Date,Gaussian
2019-05-01,-0.005654107291233997
2019-05-02,0.002042653630323854
2019-05-03,0.02682578188062512
2019-05-06,-0.028385173240364634
2019-05-07,0.020531906926428478
2019-05-08,-0.007203700118531274
2019-05-09,0.002692820816463933
2019-05-10,-0.00043779782525378563
2019-05-13,-0.011348842313106094
2019-05-14,0.09959102658650391
2019-05-15,-0.05733615222349994
2019-05-16,0.029895674766384796
2019-05-17,-0.026956032958993126
2019-05-20,0.0064978204467781575
2019-05-21,0.0016759292084764822
2019-05-22,0.00334676337863844
2019-05-23,-0.0056133881691802275
2019-05-24,0.010790178969829953
2019-05-28,0.021285958872003817
2019-05-29,0.0052369583659200095
2019-05-30,0.0069854547892480075
2019-05-31,-0.016925568298544785
2019-06-03,-0.016238657854861775
2019-06-04,0.04020632399336472
2019-06-05,-0.051761076816955756
2019-06-06,0.017020722423707613
2019-06-07,-0.004916120306960738
2019-06-10,-0.0013174611957866
2019-06-11,-0.011475447368286843
2019-06-12,-0.0009349966821372603
2019-06-13,0.010826965085403603
2019-06-14,0.015101094392541476
2019-06-17,0.02162729650601053
2019-06-18,0.0024818746636535195
2019-06-19,-0.012589568017222464
2019-06-20,-0.008901616677254504
2019-06-21,0.01852278498984673
2019-06-24,0.03441332803648997
2019-06-25,0.007353921703250367
2019-06-26,-0.028587999930792973
2019-06-27,0.09167401914305055
2019-06-28,-0.05231831905259625
2019-07-01,-0.017461898283613025
2019-07-02,-0.07294195514739768
2019-07-03,0.08171439214372402
2019-07-05,0.0015324271948547784
2019-07-08,-0.025891517280889884
2019-07-09,0.02037969355591897
2019-07-10,0.06858055168884043
2019-07-11,-0.05687645225408792
2019-07-12,-0.0026465792636922
2019-07-15,-0.04984737096615797
2019-07-16,0.08112205511381043
2019-07-17,-0.08823857408437616
2019-07-18,-0.045463549981400175
2019-07-19,0.06792780448227194
2019-07-22,0.029940357877487413
2019-07-23,-0.045417120051136926
2019-07-24,0.023613254959146252
2019-07-25,0.0020757863683705767
2019-07-26,-0.014524623066834675
2019-07-29,-0.0056877441859626045
2019-07-30,-0.012781926895434045
2019-07-31,0.012346026989747804
2019-08-01,-0.021924807452873542
2019-08-02,0.04062556992979621
2019-08-05,0.02036554497780621
2019-08-06,0.001301400576543212
2019-08-07,0.023528812221105477
2019-08-08,-0.01848390187041383
2019-08-09,-0.011580524625064117
2019-08-12,-0.007442032678674847
2019-08-13,0.006661788267801207
2019-08-14,0.011973920834483273
2019-08-15,-0.04288079217189289
2019-08-16,-0.019488707372290536
2019-08-19,0.04141941755468399
2019-08-20,-0.0112316378149075
2019-08-21,-0.011193469917232086
2019-08-22,0.0034570931002358626
2019-08-23,0.009825899274110626
2019-08-26,0.0026003059193336594
2019-08-27,-0.0040102123465383145
2019-08-28,0.04342528886294492
2019-08-29,-0.06538631472186154
2019-08-30,0.00926840549640937
2019-09-03,0.01647108378641074
2019-09-04,-0.02938811566416264
2019-09-05,0.02896483682622139
2019-09-06,0.04122050902932514
2019-09-09,-0.04426692566425001
2019-09-10,0.010879040422168267
2019-09-11,-0.024630293025225437
2019-09-12,0.00767739927806076
2019-09-13,0.010571089628283665
2019-09-16,-0.00641438945099859
2019-09-17,-0.007332236653066483
2019-09-18,0.005980197275031643
2019-09-19,-0.027945558439009057
2019-09-20,0.028879181384361453
2019-09-23,-0.002128460552572469
2019-09-24,0.08813208650736895
2019-09-25,-0.12295780607262843
2019-09-26,0.0006740586045729871
2019-09-27,-0.01790463740401859
2019-09-30,-0.013310972159741755
2019-10-01,0.026393327554381164
2019-10-02,-0.01022961253480778
2019-10-03,-0.00023308830350496357
2019-10-04,-0.0038287001530311615
2019-10-07,-0.004111440384378048
2019-10-08,0.012946691455029434
2019-10-09,-0.0212042694903649
2019-10-10,0.01925418971960791
2019-10-11,0.00037106008668937734
2019-10-14,-0.0055704344498536
2019-10-15,0.019567926737412648
2019-10-16,-0.01882072071993219
2019-10-17,-0.00039068493612324194
2019-10-18,-0.0067325298832080285
2019-10-21,0.01732967566295244
2019-10-22,0.001081190955951627
2019-10-23,-0.027627212449711724
2019-10-24,-0.0004084792561879103
2019-10-25,0.006397626892220742
2019-10-28,0.029472340163191113
2019-10-29,0.015122084074963
2019-10-30,-0.027086311313733305
2019-10-31,0.016186488773548727
2019-11-01,-0.005136906691856679
2019-11-04,-0.009641912411044638
2019-11-05,0.018181485600398724
2019-11-06,0.0028846865636342678
2019-11-07,-0.0035212809927470893
2019-11-08,-0.01891612955354216
2019-11-11,0.0042699648133262295
2019-11-12,-0.01454544301701321
2019-11-13,0.013509453482156705
2019-11-14,-0.004277175129712818
2019-11-15,-0.003147050080923853
2019-11-18,0.022293936666439113
2019-11-19,-0.03108294937826147
2019-11-20,0.0028609037218794
2019-11-21,-0.016381646776785407
2019-11-22,-0.03983724752325686
2019-11-25,0.034581277048718634
2019-11-26,-0.015928729701765544
2019-11-27,-0.01858397254028319
2019-11-29,0.04697308061547148
2019-12-02,-0.018485491647660217
2019-12-03,0.0036826293960676142
2019-12-04,0.028994629185561997
2019-12-05,-0.03507335847984607
2019-12-06,0.0015687393043086078
2019-12-09,0.02786023194997577
2019-12-10,-0.02157373409281535
2019-12-11,-0.007209020172889693
2019-12-12,-0.012213090981492923
2019-12-13,0.0110363627766432
2019-12-16,0.019697602671224525
2019-12-17,-0.02191186284242693
2019-12-18,-0.04893337729156352
2019-12-19,0.0464143248475457
2019-12-20,-0.002396103844435636
2019-12-23,0.03746043805917152
2019-12-24,-0.02304561298500784
2019-12-26,-0.010026538813562467
