Date,Plackett
2019-05-01,-0.004791974458465789
2019-05-02,0.003134529288226091
2019-05-03,0.030109711430591254
2019-05-06,-0.02753307490788976
2019-05-07,0.02165089500512766
2019-05-08,-0.0064006597125596245
2019-05-09,0.0050577782503750945
2019-05-10,0.003701808374016416
2019-05-13,0.00771659300571545
2019-05-14,0.09773765857499264
2019-05-15,-0.054522463309157346
2019-05-16,0.027695939611620677
2019-05-17,-0.03162986003472652
2019-05-20,0.011010801798761294
2019-05-21,0.002948598533821036
2019-05-22,0.0026472913802102543
2019-05-23,-0.006607574774531021
2019-05-24,0.012726601647436744
2019-05-28,0.02542046052722747
2019-05-29,0.005140452970485052
2019-05-30,0.006667153480216305
2019-05-31,-0.017877502292825146
2019-06-03,-0.015195517634940196
2019-06-04,0.03528806081856361
2019-06-05,-0.05069184566600389
2019-06-06,0.01622398833175165
2019-06-07,-0.0035153659145907568
2019-06-10,-0.0013174611957866
2019-06-11,-0.011784419582261584
2019-06-12,-1.672289222372919e-06
2019-06-13,0.01093362952566467
2019-06-14,0.015282106675054554
2019-06-17,0.022658521646735777
2019-06-18,0.002202007916705214
2019-06-19,-0.012488313699482338
2019-06-20,-0.008690715557584092
2019-06-21,0.018696099569663796
2019-06-24,0.03485499623882604
2019-06-25,0.007540421721653163
2019-06-26,-0.02763598499808123
2019-06-27,0.0910249029740496
2019-06-28,-0.05210627883103762
2019-07-01,-0.017793188691183806
2019-07-02,-0.07279011520969583
2019-07-03,0.08180402090958014
2019-07-05,0.0010524415642024906
2019-07-08,-0.01963290749228766
2019-07-09,0.021978580672480784
2019-07-10,0.06607581510954799
2019-07-11,-0.05975535610346492
2019-07-12,-0.0026465792636922
2019-07-15,-0.05453951149837752
2019-07-16,0.07371083498509905
2019-07-17,-0.08780748454368618
2019-07-18,-0.04065590593330898
2019-07-19,0.06736473211264245
2019-07-22,0.027930724318248532
2019-07-23,-0.04538473638147459
2019-07-24,0.020225081356570553
2019-07-25,0.0035921415210541374
2019-07-26,-0.01536705760411658
2019-07-29,-0.007645621181984249
2019-07-30,-0.011056846371880983
2019-07-31,0.01544975944973834
2019-08-01,-0.0192838424658987
2019-08-02,0.04176962878383133
2019-08-05,0.02971935769351247
2019-08-06,0.000760381258201155
2019-08-07,0.023901154365594784
2019-08-08,-0.01981189146218766
2019-08-09,-0.010558472128238825
2019-08-12,-0.008993744593105278
2019-08-13,0.004072526143713166
2019-08-14,0.008448942311057694
2019-08-15,-0.04302085126237392
2019-08-16,-0.01776569905267182
2019-08-19,0.04241889431293892
2019-08-20,-0.011102851282827932
2019-08-21,-0.014113190153565935
2019-08-22,0.0037756557852881645
2019-08-23,0.011124196351263538
2019-08-26,0.001990874124694051
2019-08-27,-0.004794862365050754
2019-08-28,0.040866412929293924
2019-08-29,-0.06609883557520457
2019-08-30,0.009755814720620176
2019-09-03,0.023505166689977125
2019-09-04,-0.029197587635113483
2019-09-05,0.027812310667311366
2019-09-06,0.04029885790894005
2019-09-09,-0.0445226244169637
2019-09-10,0.009980992878841863
2019-09-11,-0.024439721165726812
2019-09-12,0.008498791729153066
2019-09-13,0.010156037856480728
2019-09-16,-0.007110151779798964
2019-09-17,-0.0064241654762013925
2019-09-18,0.0054478688856699885
2019-09-19,-0.02821368198268759
2019-09-20,0.029013407770526106
2019-09-23,-0.004598864819517906
2019-09-24,0.07779536546889135
2019-09-25,-0.12319386243741821
2019-09-26,-0.0009620564392845629
2019-09-27,-0.019054046024538078
2019-09-30,-0.009891920016009581
2019-10-01,0.026292037026010094
2019-10-02,-0.010788894486165601
2019-10-03,-0.0013628982460323902
2019-10-04,-0.0031592581304175976
2019-10-07,-0.003823804485646549
2019-10-08,0.012128987713169526
2019-10-09,-0.016739584128739514
2019-10-10,0.01879592911774688
2019-10-11,-0.0018663682063820505
2019-10-14,-0.0055704344498536
2019-10-15,0.01762181195946865
2019-10-16,-0.021193212163589135
2019-10-17,0.0008036557658829806
2019-10-18,-0.0078176134212352
2019-10-21,0.019493744388078642
2019-10-22,0.0007323241956541282
2019-10-23,-0.033930131963724505
2019-10-24,-0.00026537185360116754
2019-10-25,0.008167324998194215
2019-10-28,0.04631182508778384
2019-10-29,0.013343828853984283
2019-10-30,-0.027463695525811314
2019-10-31,0.016480167620436154
2019-11-01,-0.005725375305286617
2019-11-04,-0.0072521016199327305
2019-11-05,0.017141736238108753
2019-11-06,0.0024497559703878426
2019-11-07,-0.004547058950357995
2019-11-08,-0.021742431198059492
2019-11-11,0.003908252982849343
2019-11-12,-0.014221622699343982
2019-11-13,0.013319350283183897
2019-11-14,-0.004699239168922311
2019-11-15,-0.003809974621440315
2019-11-18,0.020649207651555663
2019-11-19,-0.031616338700381545
2019-11-20,0.0028609037218794
2019-11-21,-0.019477077393372948
2019-11-22,-0.041373299640584275
2019-11-25,0.03378308210652971
2019-11-26,-0.0161742390646617
2019-11-27,-0.016410766183759022
2019-11-29,0.04791436878885549
2019-12-02,-0.02053237556828387
2019-12-03,0.003692278565946957
2019-12-04,0.028761214731495108
2019-12-05,-0.034686444893927096
2019-12-06,0.0016448693599995412
2019-12-09,0.02759196656861296
2019-12-10,-0.02208449826669755
2019-12-11,-0.007405554730508256
2019-12-12,-0.011772414828532451
2019-12-13,0.0110363627766432
2019-12-16,0.017669806810582746
2019-12-17,-0.02329145699084417
2019-12-18,-0.04625257901074872
2019-12-19,0.04655322911601276
2019-12-20,-0.0020971291874148958
2019-12-23,0.038274547987252786
2019-12-24,-0.024247618922570567
2019-12-26,-0.009922376604254343
