Date,t_Copula_Capped
2019-05-01,-0.005297049265614634
2019-05-02,0.002494861169364688
2019-05-03,0.028185843064722535
2019-05-06,-0.02803227106953543
2019-05-07,0.020995343254202988
2019-05-08,-0.006618340369303647
2019-05-09,0.004416707784235169
2019-05-10,0.002579682775580988
2019-05-13,0.0025485137279483427
2019-05-14,0.09824005218175766
2019-05-15,-0.056477922786306645
2019-05-16,0.029224713078252116
2019-05-17,-0.02838164044541372
2019-05-20,0.007874366882325123
2019-05-21,0.002064117921612464
2019-05-22,0.0026448499421703646
2019-05-23,-0.006611044884846382
2019-05-24,0.01273336053985422
2019-05-28,0.025434891597577294
2019-05-29,0.005140116127918088
2019-05-30,0.006610285752548111
2019-05-31,-0.018047574867485656
2019-06-03,-0.015009150151480265
2019-06-04,0.03440936367567112
2019-06-05,-0.050500816775511256
2019-06-06,0.01588253086377052
2019-06-07,-0.0029150426035750507
2019-06-10,-0.0013174611957866
2019-06-11,-0.011916836245393615
2019-06-12,0.00039832387916972217
2019-06-13,0.011006161345042195
2019-06-14,0.01540519502716345
2019-06-17,0.023359754742428976
2019-06-18,0.0020116985287803625
2019-06-19,-0.01241946076341905
2019-06-20,-0.008066620407539013
2019-06-21,0.019208969244632647
2019-06-24,0.03616197357226947
2019-06-25,0.008092309531212434
2019-06-26,-0.024818797952301574
2019-06-27,0.0862647177347093
2019-06-28,-0.050551317206274364
2019-07-01,-0.02022265168003609
2019-07-02,-0.07167662233321576
2019-07-03,0.08246129852585837
2019-07-05,0.0011821476048520397
2019-07-08,-0.02132416540462749
2019-07-09,0.021546514993654158
2019-07-10,0.06675266758975373
2019-07-11,-0.058977392773175256
2019-07-12,-0.0026465792636922
2019-07-15,-0.05341424702684976
2019-07-16,0.07548818641868141
2019-07-17,-0.08791086800819554
2019-07-18,-0.0418088703430322
2019-07-19,0.06750947434138822
2019-07-22,0.028447316600192556
2019-07-23,-0.04539306086119463
2019-07-24,0.021096038315330728
2019-07-25,0.003202350374821958
2019-07-26,-0.015175226125145158
2019-07-29,-0.007199791359998597
2019-07-30,-0.011449665912786441
2019-07-31,0.014743005913668204
2019-08-01,-0.01988521883040261
2019-08-02,0.0415678179154188
2019-08-05,0.028069354233929256
2019-08-06,0.0008558165394172111
2019-08-07,0.023835473573683656
2019-08-08,-0.01957763539064605
2019-08-09,-0.010695448236060771
2019-08-12,-0.008785783202511506
2019-08-13,0.004419540655188889
2019-08-14,0.008921362113166284
2019-08-15,-0.04300208045643317
2019-08-16,-0.017925978896357282
2019-08-19,0.04232591973077567
2019-08-20,-0.011114831425346961
2019-08-21,-0.013841588271116277
2019-08-22,0.0037460220471437645
2019-08-23,0.011014920845771714
2019-08-26,0.0020421689851647185
2019-08-27,-0.0047288196781218525
2019-08-28,0.04108178926038278
2019-08-29,-0.06603886388013362
2019-08-30,0.009748539956079718
2019-09-03,0.023400180377983595
2019-09-04,-0.02920043133703959
2019-09-05,0.027829512550280173
2019-09-06,0.04031261389581147
2019-09-09,-0.04456988227225073
2019-09-10,0.009815017095256786
2019-09-11,-0.024404499963971288
2019-09-12,0.008650600234965507
2019-09-13,0.010079328618127709
2019-09-16,-0.007088992639209328
2019-09-17,-0.006451781236499614
2019-09-18,0.005464057763342882
2019-09-19,-0.02820552795720899
2019-09-20,0.029009325751626642
2019-09-23,-0.004686831737035251
2019-09-24,0.07742729231618592
2019-09-25,-0.1232022680053039
2019-09-26,-0.0010203157286800858
2019-09-27,-0.019094974521411175
2019-09-30,-0.010576521892011508
2019-10-01,0.026312318578565877
2019-10-02,-0.010676908632479372
2019-10-03,-0.0011366747274476167
2019-10-04,-0.003293301498371471
2019-10-07,-0.003880336139414544
2019-10-08,0.01228969833734224
2019-10-09,-0.017617068643570703
2019-10-10,0.018885995169286934
2019-10-11,-0.0014266264281393333
2019-10-14,-0.0055704344498536
2019-10-15,0.01803071472741868
2019-10-16,-0.020694722388348855
2019-10-17,0.000552710022877179
2019-10-18,-0.007589623958750841
2019-10-21,0.01924506891214075
2019-10-22,0.0007724128521041825
2019-10-23,-0.033205856670732614
2019-10-24,-0.0002818164798902051
2019-10-25,0.007963967076303965
2019-10-28,0.04215470913522146
2019-10-29,0.013782821684225897
2019-10-30,-0.027370531754157972
2019-10-31,0.016407667955227103
2019-11-01,-0.005580101725279477
2019-11-04,-0.007224671940838187
2019-11-05,0.017129802242558792
2019-11-06,0.0024447639406231774
2019-11-07,-0.0045588325854525255
2019-11-08,-0.021774870815213208
2019-11-11,0.003791197550829126
2019-11-12,-0.014116829535316913
2019-11-13,0.013257830005965292
2019-11-14,-0.004835825490648997
2019-11-15,-0.004024507052919402
2019-11-18,0.02032657424138663
2019-11-19,-0.031720969441607655
2019-11-20,0.0028609037218794
2019-11-21,-0.02008428339918543
2019-11-22,-0.04167461476807707
2019-11-25,0.03355629691404149
2019-11-26,-0.01624399381400824
2019-11-27,-0.01579330922452374
2019-11-29,0.04818180999689217
2019-12-02,-0.02111394147330787
2019-12-03,0.0037059204957763723
2019-12-04,0.028431214986090192
2019-12-05,-0.0341394291345244
2019-12-06,0.0017525015077005162
2019-12-09,0.027212694822548303
2019-12-10,-0.02230319563396755
2019-12-11,-0.007489706267610127
2019-12-12,-0.011583727525469266
2019-12-13,0.0110363627766432
2019-12-16,0.016801551676882544
2019-12-17,-0.02400363686097107
2019-12-18,-0.044868686092923965
2019-12-19,0.04662493485932172
2019-12-20,-0.0019427912376254264
2019-12-23,0.03869481122446289
2019-12-24,-0.024656067542130716
2019-12-26,-0.009886981678761292
