Date,Gauss Mix Indep
2019-05-01,-0.003452033067777846
2019-05-02,0.004831540852917522
2019-05-03,0.0352136501287314
2019-05-06,-0.026208729306814352
2019-05-07,0.02339004515153964
2019-05-08,-0.005178721236046956
2019-05-09,0.008656392295597542
2019-05-10,0.010000799128259002
2019-05-13,0.03672732374141657
2019-05-14,0.09491749950508481
2019-05-15,-0.04948172332361697
2019-05-16,0.023755101342081857
2019-05-17,-0.0400030483093995
2019-05-20,0.019095834027796722
2019-05-21,0.005228593000847572
2019-05-22,0.0008418479497123779
2019-05-23,-0.009173721352740133
2019-05-24,0.017724802590160016
2019-05-28,0.03609223705091992
2019-05-29,0.004891357892215762
2019-05-30,0.0051522604014996734
2019-05-31,-0.02240804671225375
2019-06-03,-0.010230894950549182
2019-06-04,0.01188054526206616
2019-06-05,-0.045603048277602726
2019-06-06,0.00971068713001162
2019-06-07,0.007935801243033783
2019-06-10,-0.0013174611957866
2019-06-11,-0.014310267431505075
2019-06-12,0.007628254622856809
2019-06-13,0.013545841667658189
2019-06-14,0.019715097473799917
2019-06-17,0.047913225343097644
2019-06-18,-0.004651928716058896
2019-06-19,-0.010008595458026626
2019-06-20,0.0017897788586903156
2019-06-21,0.02730877307689941
2019-06-24,0.05680320180389339
2019-06-25,0.01680833079942445
2019-06-26,0.01967332849483945
2019-06-27,0.031354298105147574
2019-06-28,-0.032614285130722474
2019-07-01,-0.04824736615750383
2019-07-02,-0.058832088343920244
2019-07-03,0.09004322820050223
2019-07-05,-0.0004783828364580151
2019-07-08,0.00032775792510177787
2019-07-09,0.02707793210224816
2019-07-10,0.05808742623299548
2019-07-11,-0.06893708151010396
2019-07-12,-0.0026465792636922
2019-07-15,-0.06999597442804192
2019-07-16,0.049297403972873265
2019-07-17,-0.08638742488023685
2019-07-18,-0.024818960833714456
2019-07-19,0.06547555319641157
2019-07-22,0.02118814990998495
2019-07-23,-0.04527608507969517
2019-07-24,0.008857330993099627
2019-07-25,0.008679704574188579
2019-07-26,-0.01772688928987613
2019-07-29,-0.013130035658791858
2019-07-30,-0.006224542495663072
2019-07-31,0.02414394977441061
2019-08-01,-0.011885958616842687
2019-08-02,0.04482880318914663
2019-08-05,0.05473113427395325
2019-08-06,-0.0006862859701636127
2019-08-07,0.02489678457677178
2019-08-08,-0.023362890394935696
2019-08-09,-0.005191116026354261
2019-08-12,-0.01714263169837188
2019-08-13,-0.009525104021342972
2019-08-14,-0.010062645934643198
2019-08-15,-0.04375637807362172
2019-08-16,-0.008582392554238878
2019-08-19,0.04774591525915597
2019-08-20,-0.010416443571680803
2019-08-21,-0.029674743463920336
2019-08-22,0.005473534282152548
2019-08-23,0.01729826241155183
2019-08-26,-0.0009072854918987083
2019-08-27,-0.008526274176533752
2019-08-28,0.028697650222773253
2019-08-29,-0.06948723634671364
2019-08-30,0.011569656012708148
2019-09-03,0.049681753813696716
2019-09-04,-0.02848855795487085
2019-09-05,0.023523307847089
2019-09-06,0.036869031848999506
2019-09-09,-0.04663825733133086
2019-09-10,0.0025506127101313225
2019-09-11,-0.02286294343713586
2019-09-12,0.015294933230434972
2019-09-13,0.006721929632355422
2019-09-16,-0.009975348346701399
2019-09-17,-0.002684666640524397
2019-09-18,0.003255704391375661
2019-09-19,-0.02931783296220096
2019-09-20,0.02956616115326498
2019-09-23,-0.01306201534233246
2019-09-24,0.042383660902356145
2019-09-25,-0.12400254811442059
2019-09-26,-0.00656708557321198
2019-09-27,-0.022991708494537313
2019-09-30,-0.0025037598859772026
2019-10-01,0.02607316038657863
2019-10-02,-0.011997435462074227
2019-10-03,-0.0038042815361929282
2019-10-04,-0.0017126745005338912
2019-10-07,-0.0031543132652368925
2019-10-08,0.01022572918916185
2019-10-09,-0.006347739214103386
2019-10-10,0.017729297828124733
2019-10-11,-0.007074127756262772
2019-10-14,-0.0055704344498536
2019-10-15,0.013231027157096127
2019-10-16,-0.026545979375794924
2019-10-17,0.003498303102544214
2019-10-18,-0.01026575695422235
2019-10-21,0.025538926791235563
2019-10-22,-0.00024221195281029463
2019-10-23,-0.05153691944336075
2019-10-24,0.00013438918071090994
2019-10-25,0.013110859242240494
2019-10-28,0.08919131552233558
2019-10-29,0.008815740371492123
2019-10-30,-0.0284246538202255
2019-10-31,0.01722798142604424
2019-11-01,-0.007223831724446553
2019-11-04,0.0003836352980101966
2019-11-05,0.013819610226889567
2019-11-06,0.0010600996846492653
2019-11-07,-0.007824544619797723
2019-11-08,-0.030772809623224633
2019-11-11,0.0014490343569831662
2019-11-12,-0.012020022172216756
2019-11-13,0.012026870224861501
2019-11-14,-0.00756878243258568
2019-11-15,-0.008317088407109074
2019-11-18,0.012383479958420717
2019-11-19,-0.03429693279896795
2019-11-20,0.0028609037218794
2019-11-21,-0.035033431259677485
2019-11-22,-0.04909286220037259
2019-11-25,0.028689308812505126
2019-11-26,-0.017740985444592343
2019-11-27,-0.0025421985993666213
2019-11-29,0.05392130807916957
2019-12-02,-0.033594801925244305
2019-12-03,0.0038440034440497253
2019-12-04,0.02509097366065022
2019-12-05,-0.028602562301545904
2019-12-06,0.0028419488563811153
2019-12-09,0.02337372470994261
2019-12-10,-0.025494766245353018
2019-12-11,-0.00871777579615485
2019-12-12,-0.008830110238185878
2019-12-13,0.0110363627766432
2019-12-16,0.004130628370883401
2019-12-17,-0.03335964555480954
2019-12-18,-0.026688287132471934
2019-12-19,0.0475669434528491
2019-12-20,8.476845703735483e-05
2019-12-23,0.04421586940929722
2019-12-24,-0.029772178251135574
2019-12-26,-0.009443634954871176
