Date,Clayton
2019-05-01,-0.003085886292415442
2019-05-02,0.005295259129315763
2019-05-03,0.03660833105206039
2019-05-06,-0.02584684417163677
2019-05-07,0.02386527804038478
2019-05-08,-0.005098234270528158
2019-05-09,0.008893426753666084
2019-05-10,0.010415702710873779
2019-05-13,0.03863821019706154
2019-05-14,0.0947317405244322
2019-05-15,-0.043001547889619456
2019-05-16,0.018688915937383775
2019-05-17,-0.05076728711509441
2019-05-20,0.029489630848097678
2019-05-21,0.008159663474083203
2019-05-22,8.622287636674691e-05
2019-05-23,-0.010247720495344219
2019-05-24,0.019816679793368746
2019-05-28,0.04055865332418945
2019-05-29,0.00478710511774065
2019-05-30,0.005104080798891897
2019-05-31,-0.022552135976896683
2019-06-03,-0.010073000277062295
2019-06-04,0.011136093516004454
2019-06-05,-0.045441204356490905
2019-06-06,0.01106798056523661
2019-06-07,0.005549516081746357
2019-06-10,-0.0013174611957866
2019-06-11,-0.01378391119555525
2019-06-12,0.006038269853498233
2019-06-13,0.012932521136157057
2019-06-14,0.0186742768493497
2019-06-17,0.041983680783927335
2019-06-18,-0.0030426949211061136
2019-06-19,-0.010590807785032356
2019-06-20,-0.00018150099455554666
2019-06-21,0.02568881231044606
2019-06-24,0.052674956157568606
2019-06-25,0.01506512654578205
2019-06-26,0.01077490320541126
2019-06-27,0.0399851390189009
2019-06-28,-0.03543363474329827
2019-07-01,-0.04384243073832217
2019-07-02,-0.06085099714521494
2019-07-03,0.08885149757300785
2019-07-05,-0.00041975863729437667
2019-07-08,-0.00043665243075803606
2019-07-09,0.026882648179614655
2019-07-10,0.05839334825794723
2019-07-11,-0.06858545966590524
2019-07-12,-0.0026465792636922
2019-07-15,-0.06950057497516807
2019-07-16,0.05007988573608564
2019-07-17,-0.08643293961303972
2019-07-18,-0.02532655522793224
2019-07-19,0.0656211320854391
2019-07-22,0.021707728274483556
2019-07-23,-0.045284457677795084
2019-07-24,0.009733322385147423
2019-07-25,0.008287660299943501
2019-07-26,-0.017517803127610983
2019-07-29,-0.012644104741706968
2019-07-30,-0.006652695011147327
2019-07-31,0.023373625814461153
2019-08-01,-0.012541427035296685
2019-08-02,0.04466735449441661
2019-08-05,0.053411131506286666
2019-08-06,-0.0006099377451907672
2019-08-07,0.024844239943242877
2019-08-08,-0.023175485537702406
2019-08-09,-0.006514515960387836
2019-08-12,-0.015133404724635154
2019-08-13,-0.0061724099720083525
2019-08-14,-0.00549834384657874
2019-08-15,-0.04357502321007103
2019-08-16,-0.010899164840237827
2019-08-19,0.046402009935159916
2019-08-20,-0.01058961108627405
2019-08-21,-0.02574886170851161
2019-08-22,0.0050451920671562185
2019-08-23,0.016567157243856503
2019-08-26,-0.0005640984492259037
2019-08-27,-0.008084417152080857
2019-08-28,0.030138620437915396
2019-08-29,-0.06908599714873889
2019-08-30,0.01139021182071014
2019-09-03,0.047092091451189685
2019-09-04,-0.028558702602381483
2019-09-05,0.023947620960319556
2019-09-06,0.037208346191827855
2019-09-09,-0.04606525583597573
2019-09-10,0.004563069086100395
2019-09-11,-0.023290000508421563
2019-09-12,0.013454255097459138
2019-09-13,0.007652029147385771
2019-09-16,-0.009628089509965614
2019-09-17,-0.003137890000712876
2019-09-18,0.00352139244259552
2019-09-19,-0.029184011014640476
2019-09-20,0.02949916801956205
2019-09-23,-0.011749842156032066
2019-09-24,0.0478740854302122
2019-09-25,-0.12387716506012572
2019-09-26,-0.005698051173062123
2019-09-27,-0.022381191749513613
2019-09-30,-0.0027332795900703345
2019-10-01,0.02607995998223317
2019-10-02,-0.011959891071821039
2019-10-03,-0.0037284378131991897
2019-10-04,-0.0017576138955704501
2019-10-07,-0.0031777792347254946
2019-10-08,0.010292439259573167
2019-10-09,-0.006711978069316345
2019-10-10,0.01776668373631117
2019-10-11,-0.006891593433218622
2019-10-14,-0.0055704344498536
2019-10-15,0.013694596070494027
2019-10-16,-0.025980846582474383
2019-10-17,0.0032138084634146377
2019-10-18,-0.010007287617074302
2019-10-21,0.02461527502346624
2019-10-22,-9.331122885294875e-05
2019-10-23,-0.04884675406939087
2019-10-24,7.330914020877073e-05
2019-10-25,0.012355529818076713
2019-10-28,0.08526632279555083
2019-10-29,0.009230220911720243
2019-10-30,-0.028336692086583255
2019-10-31,0.017159529965491534
2019-11-01,-0.00708666986718093
2019-11-04,-0.0008129844524891669
2019-11-05,0.014340230782756426
2019-11-06,0.0012778769831327695
2019-11-07,-0.00731091978879886
2019-11-08,-0.029357631324893857
2019-11-11,0.0017654003894702385
2019-11-12,-0.01230324693985748
2019-11-13,0.012193141244371243
2019-11-14,-0.007199630211702742
2019-11-15,-0.007737271024733162
2019-11-18,0.01366699982931057
2019-11-19,-0.0338806844153945
2019-11-20,0.0028609037218794
2019-11-21,-0.0326178073669887
2019-11-22,-0.047894152019259936
2019-11-25,0.02954531174493614
2019-11-26,-0.01747769545931373
2019-11-27,-0.004872795945499775
2019-11-29,0.05291184861746249
2019-12-02,-0.03139967571510474
2019-12-03,0.003822442540319332
2019-12-04,0.025612534233875547
2019-12-05,-0.029467114038357965
2019-12-06,0.0026718375595268917
2019-12-09,0.023973159079332604
2019-12-10,-0.024796345620845588
2019-12-11,-0.008449033790571454
2019-12-12,-0.009432692270548952
2019-12-13,0.0110363627766432
2019-12-16,0.0069034431527001915
2019-12-17,-0.03143065550658011
2019-12-18,-0.03043665994989441
2019-12-19,0.04737272332525798
2019-12-20,-0.000333266904106691
2019-12-23,0.043077556412511014
2019-12-24,-0.029310047813004662
2019-12-26,-0.0094836817848576
