,Date,log return crix,log return future
65,2020-10-30,0.013126304407156461,-0.0028849641358376743
66,2020-10-29,-0.031194976385335856,0.02997300396370206
67,2020-10-28,0.04140037739601938,-0.03822121282019774
68,2020-10-27,0.0038899628654924102,0.05242175040348183
69,2020-10-26,0.004057049869660251,0.005283031155524213
70,2020-10-23,0.015745273862243555,-0.014275223631670055
71,2020-10-22,0.06866826370880938,0.033760080763794
72,2020-10-21,0.011047591368965156,0.06289378392469275
73,2020-10-20,0.019989496427169115,0.021595523632227158
74,2020-10-19,-0.003628393548728192,0.03242604908624102
75,2020-10-16,0.0037935271727871788,-0.02060158699121764
76,2020-10-15,-0.0005488646108001942,0.015411263920524944
77,2020-10-14,-0.009403157200790766,-0.0030152941217597056
78,2020-10-13,0.013973625402560298,-0.015365219064056253
79,2020-10-12,0.04354373586545821,0.045935285148734295
80,2020-10-09,0.018481337650595567,0.014742281737203431
81,2020-10-08,0.005963959093053535,0.02229898994314575
82,2020-10-07,-0.016435333414977406,0.008782122540095706
83,2020-10-06,0.009277463094918748,-0.016118239806529076
84,2020-10-05,0.004803219025199186,0.02217180893318015
85,2020-10-02,-0.012686770629764869,-0.009760709609470841
86,2020-10-01,-0.005317334978256862,-0.010124338665642038
87,2020-09-30,0.012910966638911368,-0.0032000027306709027
88,2020-09-29,-0.006254367138256351,-0.012698583337127431
89,2020-09-28,0.008751742030175619,0.044980395861224036
90,2020-09-25,0.047524909153000276,-0.005921904790328773
91,2020-09-24,-0.029632837167163903,0.03723580528664303
92,2020-09-23,0.004479815311564621,-0.020698693245577306
93,2020-09-22,-0.041788231314676724,0.00095328891871301
94,2020-09-21,-0.004872156884353367,-0.03698057707391325
95,2020-09-18,0.0027180695717356255,-0.006413214834713269
96,2020-09-17,0.014014859676480713,-0.005918523991796617
97,2020-09-16,0.005420961355848997,0.01832392084928442
98,2020-09-15,0.026178563293412366,0.010223137363376038
99,2020-09-14,0.0010402905697041928,0.03469105296136303
100,2020-09-11,0.011578291212112228,0.0024207225570680225
101,2020-09-10,0.01010669714403202,-0.0004846135302015303
102,2020-09-09,-0.023129947040785314,0.02999979093563501
103,2020-09-08,0.014600621505682223,-0.05865504669601118
104,2020-09-04,-0.10975355771293888,-0.00937213982886321
105,2020-09-03,-0.04651363512321924,-0.06675155564393763
106,2020-09-02,0.023061181070938176,-0.05227448825204289
107,2020-09-01,-0.00143401410918042,0.020075956572689225
108,2020-08-31,0.03348364499387261,0.017473276435374302
109,2020-08-28,-0.015183547919215837,0.025251668230967125
110,2020-08-27,0.0074873987670429284,-0.025251668230966987
111,2020-08-26,-0.029176793317324385,0.016471980578921276
112,2020-08-25,0.0076537235330018235,-0.04277812201280418
113,2020-08-24,-0.01381834160680809,0.0067227143948767375
114,2020-08-21,0.01113005803981934,-0.01630811806355497
115,2020-08-20,-0.023816405004139528,0.017573674022385504
116,2020-08-19,-0.022734457194753314,-0.028710105882431367
117,2020-08-18,0.020297685599405226,-0.0350630316682434
118,2020-08-17,0.020472881117422816,0.047444535280748594
119,2020-08-14,0.028067832107171793,0.028218338937800954
120,2020-08-13,0.0158469330639531,-0.005537820329311236
121,2020-08-12,-0.03505242532465079,0.018868484304382736
122,2020-08-11,0.014237237086184948,-0.04775891730068647
123,2020-08-10,-0.0041895151372305876,0.035710578784512004
124,2020-08-07,0.0016614002698185203,-0.03612320515719131
125,2020-08-06,0.03680412447635743,0.01580074453134367
126,2020-08-05,0.0017315987504082412,0.03844984521840445
127,2020-08-04,0.022403621798659658,-0.018555009144722044
128,2020-08-03,0.017648804835181827,-0.00042744176756808513
129,2020-07-31,0.010006699918978552,0.022472855852058576
130,2020-07-30,0.015127364229881996,-0.007836348329315861
131,2020-07-29,0.0005383419104029017,0.018823055195466867
132,2020-07-28,0.0817598573199373,0.015138312247668552
133,2020-07-27,0.04801881096879562,0.1337236818280764
134,2020-07-24,0.012859409132820961,-0.002560820861673704
135,2020-07-23,0.022132092101826012,0.025383388205318783
136,2020-07-22,0.026147978997085042,0.0021008411088117938
137,2020-07-21,-0.009246659595205105,0.022329476398088577
138,2020-07-20,0.009332606876737017,0.00107584733346311
139,2020-07-17,-0.011197260451804367,0.0048556879866589525
140,2020-07-16,-0.004335435152154277,-0.0053937563343191665
141,2020-07-15,0.0032966747062628528,-0.01388911216066715
142,2020-07-14,-0.006400764367242811,0.004785970315941081
143,2020-07-13,0.006849213928034459,-0.0005329070203388823
144,2020-07-10,-0.020474609665776366,0.0021333341424203877
145,2020-07-09,0.026553482957015262,-0.02478376257773877
146,2020-07-08,-0.008086672262173604,0.021053409197832263
147,2020-07-07,0.03889829958005238,-0.005305052229693229
148,2020-07-06,-0.012849798606248755,0.030622860213983
149,2020-07-02,0.011817810050102134,-0.02691228081744742
150,2020-07-01,-0.00535642800679905,0.013903967304446652
151,2020-06-30,0.006107296383755007,-0.0010764263687381775
152,2020-06-29,-0.01753743358155719,0.022961996930095402
153,2020-06-26,-0.006242063055522495,-0.021346922554797202
154,2020-06-25,-0.030001409463797455,-0.0005386480065598942
155,2020-06-24,-0.004135748565682855,-0.03959345341975756
156,2020-06-23,0.04117525563974221,0.007794271726818703
157,2020-06-22,-0.012213413300946042,0.028573372444055948
158,2020-06-19,-0.007431797582021474,-0.010146949543736529
159,2020-06-18,-0.0033279340526293924,0.00907398806740899
160,2020-06-17,0.00846094826945598,-0.021745752136231502
161,2020-06-16,0.006170165345916021,0.009488737508701453
162,2020-06-15,0.0033656829986406533,-0.002644804503876813
163,2020-06-12,-0.05750936008496103,0.01758638450207599
