,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,0.00010042605900865462,1.406313372008407e-05,2.699019689574706e-05,1.3120237341044506e-05,1.591902489561466e-05,1.3249325982057828e-05
Frank,0.00018326402330970024,0.00034160797916480025,0.00016244807771253905,0.00014158725855040465,0.00027003839409004993,0.00028951060781182223
Gauss Mix Indep,1.3378982245183498e-05,1.419156669716527e-05,1.5753685996995672e-05,1.3428884029431944e-05,1.4423511107625853e-05,1.3812431247981101e-05
Gaussian,1.3320420636519051e-05,1.4045324640950785e-05,1.5733451444146243e-05,1.3594390806080706e-05,1.3992899778623175e-05,1.353089943006729e-05
Gumbel,1.3335480227225817e-05,1.6852944902362023e-05,2.467693046332444e-05,1.4318568313295029e-05,1.9126625839255378e-05,1.5081303068576786e-05
NIG,1.2610363979947276e-05,1.3413386927657713e-05,1.59017915954745e-05,1.3491161499577978e-05,1.4539223419024864e-05,1.2464724183589496e-05
Plackett,1.3066892441613385e-05,1.3840439974776184e-05,1.567718611678416e-05,1.3104958756740518e-05,1.4574853303208867e-05,1.3399737553287938e-05
rotGumbel,1.3321134103075273e-05,1.2926099744605058e-05,1.3607058073600177e-05,1.2478653510943218e-05,1.30750248704042e-05,1.2933425593211563e-05
t_Copula,1.3189561183218761e-05,1.3891994137226246e-05,1.522225918436215e-05,1.3966735546766105e-05,1.4349425806823352e-05,1.3662096254421623e-05
