"Date","unhedged","unhedged","Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-01-08",-0.020183504456370738,-0.022433718558803495,-0.002002413683796389,-0.005445946504833765,-0.0018510756921366056,-0.006671510280148452,-0.0029150372221496967,-0.001387116142590794
"2020-01-07",-0.010453768488386306,-0.009040333796940248,-0.003127157478904685,-0.004514831397577468,-0.0030661713362294396,-0.005008708754077329,-0.0034949262639160095,-0.00287920504327277
"2020-01-06",0.05478740848862729,0.07017543859649122,-0.002085285879170673,0.008686509505722584,-0.002558689782905743,0.012520224154288218,0.0007695131105535102,-0.004010012478029679
"2020-01-03",0.024933559132832128,0.022950819672131084,0.0063333910568064145,0.00985629790809528,0.0061785646981259434,0.011110111141519607,0.007267050726396551,0.0057039108002944205
"2020-01-02",-0.04976681371989089,-0.059615384615384626,-0.0014523661487856332,-0.01060321347816362,-0.0010502004286414568,-0.01386002779740192,-0.0038775727905369095,0.00018272611091818547
"2019-12-31",0.0008650769223252919,0.0006816632583503957,0.00031263254963198595,0.00041726655388196754,0.0003080340454545416,0.00045450611335162705,0.0003403632146650182,0.0002939363301133202
"2019-12-30",-0.016776300014715972,-0.016348773841961872,-0.0035266668581853677,-0.006036172322513411,-0.003416377937832893,-0.006929312928650622,-0.004191749456608829,-0.003078263250004376
"2019-12-27",0.02326394250113939,0.027700831024930705,0.0008141947243770487,0.005066219218413881,0.0006273247623763689,0.006579527632321391,0.0019410890624260713,0.00005443422482742655
"2019-12-26",0.011822138741545363,0.005390835579514919,0.007453212085258953,0.008280695019138862,0.0074168454780987325,0.008575198705079945,0.00767251605077679,0.007305355729281926
"2019-12-24",-0.012892161221389031,-0.018766756032171594,0.0023170914949323107,-0.0005635696033066129,0.0024436921367487763,-0.0015888056252755245,0.001553643239637359,0.00283181395669152
"2019-12-23",-0.01811010296788418,-0.014344262295082011,-0.006484997920368052,-0.008686814702423606,-0.006388231446192716,-0.009470447973313867,-0.00706853521386186,-0.006091572760048014
"2019-12-20",-0.004894956050517485,-0.005544005544005581,-0.00040189495701159483,-0.00125288918700317,-0.00036449506440883184,-0.0015557606145405467,-0.0006274300123327858,-0.00024983755419116793
"2019-12-19",0.00336673467139037,0.012543554006968716,-0.006799011743480854,-0.004873600233916364,-0.006883630629409887,-0.004188340437848659,-0.006288728857861248,-0.007143048240071392
"2019-12-18",0.0038637976548725472,0.,0.0038637976548725472,0.0038637976548725472,0.0038637976548725472,0.0038637976548725472,0.0038637976548725472,0.0038637976548725472
"2019-12-17",-0.047121993560285014,-0.055746730901582886,-0.0019428418231681732,-0.010499858218910085,-0.0015667740627510751,-0.013545326307765504,-0.004210668205748447,-0.00041385649850678163
"2019-12-16",-0.041221659151025714,-0.04081632653061229,-0.008142643039143138,-0.014407870967091285,-0.007867295870644275,-0.016637684589216217,-0.009803087349492978,-0.007023159201031359
"2019-12-13",0.07521560236369895,0.08434650455927062,0.006858167472920451,0.019805194334664322,0.006289165478442604,0.02441308046336388,0.01028945797595715,0.004544766030864844
"2019-12-12",0.006082891986386674,0.0042046250875964475,0.0026753128914694946,0.0033207147873408616,0.0026469484669640053,0.003550415279598984,0.0028463607636638466,0.0025599911506127837
"2019-12-11",0.005160258713524213,0.009071877180739651,-0.0021919161864301095,-0.0007994004187737991,-0.0022531151209499445,-0.0003037998335352343,-0.0018228641886307573,-0.0024407337736168655
"2019-12-10",0.020615492652140466,0.024896265560165887,0.0004386653971748533,0.0042601944652593815,0.00027071504958420256,0.0056202882513687324,0.0014514675283840983,-0.0002441732924618467
"2019-12-09",-0.011801105434831038,-0.023616734143049878,0.007338743631254752,0.003713620184415678,0.007498062252704107,0.002423427754609908,0.006377993971251383,0.00798648815971692
"2019-12-06",-0.0092804366350554,0.0020732550103663705,-0.010960676914408163,-0.010642436242186859,-0.010974663104376892,-0.010529173421712668,-0.010876335064504472,-0.011017540813579751
"2019-12-05",0.0055571264488001315,-0.006344827586206914,0.01069920247060585,0.009725283591323408,0.010742004713212516,0.009378662908270385,0.010441089265396997,0.010873224303095785
"2019-12-04",0.006756998712174722,0.02512493059411436,-0.013605146894174913,-0.00974851818144784,-0.013774639817371592,-0.008375932325352164,-0.012583042466878136,-0.01429425726065281
"2019-12-03",-0.012855899865736875,-0.01354096140826,-0.0018818186911786494,-0.003960330326043038,-0.001790471289306983,-0.004700078921060724,-0.002432676993190497,-0.0015104259486771188
"2019-12-02",-0.02793397788306129,-0.03363074811256006,-0.0006784124456453711,-0.005840667852304082,-0.0004515392295967313,-0.007677930208763284,-0.002046541062375007,0.00024398998925734272
"2019-11-29",0.0436433862613852,0.058948863636363535,-0.004130888783723474,0.004917648852272638,-0.004528558149591744,0.008138050841328792,-0.0017327968056720655,-0.005747700136564671
"2019-11-27",0.038433695822947644,0.03420523138832987,0.010712548517919473,0.015962986006833657,0.010481799834459071,0.0178316326338257,0.012104047623071712,0.009774389526825744
"2019-11-26",0.05717148969933805,0.08300907911802846,-0.01010204760731781,0.002639687011388503,-0.010662027322241752,0.007174509008135432,-0.006725164755659652,-0.01237876700830276
"2019-11-25",0.0011802774484623857,-0.014970059880239472,0.0133125513218324,0.01101467580933646,0.013413539430039312,0.010196854944934386,0.012703556028365814,0.013723140454074079
