"Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-12-18",0.8739447684523822,0.7446808001482912,0.6237675813334326,0.7375675859570767,0.6950010535325033,0.6316443688686918
"2020-11-05",0.892940989313469,0.7545646951113187,0.36054023913831856,0.7444839348587382,0.6623021473529357,0.7021331905471538
"2020-09-24",0.877752836082562,0.6257768569640003,0.5835760399093061,0.6289146546617339,0.6107023772349731,0.6543032524458785
"2020-08-12",0.8824997900674513,0.7138007020199635,0.6797827883291144,0.7163302090933384,0.7034813619409273,0.6281218961567119
"2020-06-30",0.8654854479088028,0.44191591437288946,0.43651498473633954,0.436182992963264,0.43717013698247764,0.7119966422463511
"2020-05-18",0.8277565156526114,0.6576290835886827,0.6965861826960624,0.648443118192426,0.6767126226479916,0.4785662634972109
"2020-04-03",0.9227094107294405,0.826776620004787,0.7295033426412586,0.8234945849200077,0.7854479669833753,0.7829729679015869
"2020-02-21",0.9090813096854419,0.7283980139571071,0.7618683659658434,0.6766730214357144,0.7046779742422464,0.6671671354298916
"2020-01-08",0.6917624578265351,-0.046865940175025544,0.5807772678888323,-0.040780662230895715,0.17733592527980424,0.5917608138495499
"2019-11-22",0.8597008272677256,0.5455877575311939,0.6876476540731923,0.5002171069740097,0.6433645012635887,0.6392674808707153
"2019-10-11",0.9130539867747821,0.6283468727406193,0.7460730804315903,0.47952475044876386,0.6911059310315258,0.7351069078499448
"2019-08-29",0.3975722841111162,0.1292386531295885,0.24781457082440905,0.11184861151721048,0.172139323261691,0.2469372918613325
