,ERM,ES1,ES5,VaR1,VaR5,Var
copula,0.05417339331128899,0.13859399285710913,0.08683865087272699,0.08417897410385092,0.058941727775830795,0.0016956656799285224
cross hedge,0.055961513324312116,0.14738324063124897,0.09036500871129412,0.09184616381321456,0.061897105219007126,0.0015299353244913815
% relative diff,-3.1952674379273645,-5.963532716810335,-3.9023488060886895,-8.347860586704776,-4.774661808043335,10.83250728211253
spot,0.08550500263334686,0.24440046299742138,0.14210221129718295,0.17745042722644996,0.08725614629956058,0.00338195588046465
