"date","Future","BTC"
"2019-02-12",3605,3619.692015
"2019-02-13",3570,3585.876045
"2019-02-14",3565,3605.557062
"2019-02-15",3565,3606.894287
"2019-02-19",3935,3933.456134
"2019-02-20",3935,3955.05187
"2019-02-21",3895,3916.703832
"2019-02-22",3931,3962.131738
"2019-02-25",3820,3840.982006
"2019-02-26",3775,3811.959162
"2019-02-27",3710,3800.716389
"2019-02-28",3790,3806.695391
"2019-03-01",3820,3821.324487
"2019-03-04",3690,3703.93365
"2019-03-05",3835,3842.787501
"2019-03-06",3840,3878.993317
"2019-03-07",3870,3874.526995
"2019-03-08",3890,3853.562402
"2019-03-11",3835,3869.314558
"2019-03-12",3845,3880.348365
"2019-03-13",3845,3859.252378
"2019-03-14",3845,3871.969651
"2019-03-15",3900,3909.46231
"2019-03-18",3960,3996.580482
"2019-03-19",3995,4010.687435
"2019-03-20",4010,4044.541872
"2019-03-21",3965,3997.434484
"2019-03-22",3980,3990.40418
"2019-03-25",3895,3930.507649
"2019-03-26",3905,3928.07807
"2019-03-27",4005,4016.636995
"2019-03-28",4010,4022.475062
"2019-03-29",4079,4092.514239
"2019-04-01",4125,4145.826988
"2019-04-02",4775,4803.929292
"2019-04-03",5150,5103.351227
"2019-04-04",4840,4869.703645
"2019-04-05",5020,5030.21501
"2019-04-08",5210,5241.051632
"2019-04-09",5220,5169.508336
"2019-04-10",5415,5281.548521
"2019-04-11",5075,5036.779297
"2019-04-12",5065,5075.149156
"2019-04-15",5010,5046.046505
"2019-04-16",5200,5190.807365
"2019-04-17",5235,5217.410773
"2019-04-18",5295,5282.786313
"2019-04-22",5395,5384.44879
"2019-04-23",5590,5545.138661
"2019-04-24",5435,5423.318884
"2019-04-25",5490,5201.001616
"2019-04-26",5162,5283.298574
"2019-04-29",5140,5193.302542
"2019-04-30",5230,5322.7462
"2019-05-01",5300,5351.738223
"2019-05-02",5390,5531.776265
"2019-05-03",5670,5765.124062
"2019-05-06",5745,5727.455554
"2019-05-07",5845,5950.218967
"2019-05-08",5900,5983.451623
"2019-05-09",6065,6192.504828
"2019-05-10",6365,6402.727235
"2019-05-13",7950,7874.105921
"2019-05-14",7780,7909.590355
"2019-05-15",8225,8176.068866
"2019-05-16",7875,7817.222728
"2019-05-17",7180,7242.636318
"2019-05-20",7850,7915.100138
"2019-05-21",8050,7969.75571
"2019-05-22",7950,7718.24637
"2019-05-23",7810,7874.099329
"2019-05-24",8085,8013.067844
"2019-05-28",8705,8709.326793
"2019-05-29",8690,8676.034954
"2019-05-30",8620,8267.916349
"2019-05-31",8414,8510.991155
"2019-06-03",8640,8469.559842
"2019-06-04",7625,7659.432613
"2019-06-05",7835,7779.368422
"2019-06-06",7610,7721.121142
"2019-06-07",8010,8015.099703
"2019-06-10",8010,7931.805976
"2019-06-11",7920,7875.097201
"2019-06-12",8195,8134.085321
"2019-06-13",8285,8255.808704
"2019-06-14",8440,8663.222627
"2019-06-17",9380,9346.132145
"2019-06-18",9115,9017.306151
"2019-06-19",9210,9257.069431
"2019-06-20",9625,9556.239268
"2019-06-21",9980,9906.336343
"2019-06-24",10945,11024.25631
"2019-06-25",11380,11703.5686
"2019-06-26",13885,12438.90519
"2019-06-27",10855,11132.91164
"2019-06-28",11764,12351.47578
"2019-07-01",10375,10497.35482
"2019-07-02",10990,10804.19083
"2019-07-03",11370,11895.28266
"2019-07-05",11285,10940.81158
"2019-07-08",12445,12290.41925
"2019-07-09",12760,12560.59276
"2019-07-10",12270,12080.86673
"2019-07-11",11730,11318.33568
"2019-07-12",11730,11759.58402
"2019-07-15",10910,10921.42124
"2019-07-16",9730,9477.336143
"2019-07-17",9795,9710.361423
"2019-07-18",10550,10580.48136
"2019-07-19",10460,10475.90115
"2019-07-22",10145,10285.98466
"2019-07-23",10150,10030.09082
"2019-07-24",9640,9763.341534
"2019-07-25",9865,9912.053566
"2019-07-26",9763,9777.341181
"2019-07-29",9530,9529.816249
