;Date;Open;High;Low;Close;Open Interest;SMAVG
Fr;05/21/2021;2842.00;2957.25;2636.00;2755.00;;
Th;05/20/2021;2558.00;2999.75;2157.00;2820.75;2586;2175
We;05/19/2021;3418.00;3451.25;2387.25;2621.50;2703;2042
Tu;05/18/2021;3310.00;3578.50;3200.50;3410.25;2270;1927
Mo;05/17/2021;3505.00;3612.25;3138.00;3395.50;2324;1856
;;;;;;;
Fr;05/14/2021;3739.75;4196.75;3620.00;4068.25;2294;1786
Th;05/13/2021;4135.00;4260.00;3555.00;3660.75;2320;1736
We;05/12/2021;4152.75;4406.50;3944.25;4093.50;2223;1689
Tu;05/11/2021;4012.50;4159.50;3795.50;4091.25;2320;1644
Mo;05/10/2021;3932.50;4240.25;3712.75;4009.00;2245;1590
;;;;;;;
Fr;05/07/2021;3550.00;3623.25;3382.00;3543.50;2346;1545
Th;05/06/2021;3462.50;3642.25;3405.75;3508.25;2286;1496
We;05/05/2021;3375.25;3515.50;3240.00;3507.25;2231;1447
Tu;05/04/2021;3360.00;3552.00;3186.00;3438.25;2062;1399
Mo;05/03/2021;3000.00;3379.00;2964.25;3326.00;2047;1363
;;;;;;;
Fr;04/30/2021;2733.50;2798.75;2731.25;2751.53;362;1327
Th;04/29/2021;2725.75;2803.75;2676.75;2728.50;603;1399
We;04/28/2021;2650.00;2751.00;2572.00;2742.50;974;1452
Tu;04/27/2021;2497.00;2692.50;2493.50;2635.00;1203;1479
Mo;04/26/2021;2221.75;2541.50;2215.00;2500.00;1273;1490
;;;;;;;
Fr;04/23/2021;2420.00;2450.25;2121.25;2373.50;1543;1496
Th;04/22/2021;2394.50;2654.50;2322.00;2539.00;1622;1478
We;04/21/2021;2319.25;2480.50;2245.50;2446.25;1550;1455
Tu;04/20/2021;2212.25;2339.50;2062.75;2333.00;1503;1436
Mo;04/19/2021;2287.50;2292.50;2091.50;2194.75;1566;1404
;;;;;;;
Fr;04/16/2021;2524.75;2572.75;2317.00;2449.00;1609;1367
Th;04/15/2021;2411.75;2527.50;2411.75;2505.00;1560;1273
We;04/14/2021;2318.50;2434.75;2300.00;2346.75;1507;1186
Tu;04/13/2021;2169.50;2345.00;2163.50;2327.00;1527;1112
Mo;04/12/2021;2146.00;2230.25;2128.25;2166.50;1503;1048
;;;;;;;
Fr;04/09/2021;2067.75;2122.25;2065.25;2092.00;1438;1006
Th;04/08/2021;2007.75;2094.75;1960.00;2072.50;1399;980
We;04/07/2021;2130.75;2151.00;1945.00;1989.25;1376;955
Tu;04/06/2021;2137.50;2185.50;2067.25;2135.25;1369;926
Mo;04/05/2021;2092.50;2158.50;2028.25;2130.00;1363;898
;;;;;;;
Fr;04/02/2021;1984.50;2042.50;1975.00;2002.00;1277;871
Th;04/01/2021;1957.25;2010.75;1908.50;2002.00;1284;849
We;03/31/2021;1863.25;1966.75;1798.75;1926.25;1255;830
Tu;03/30/2021;1831.50;1876.00;1805.75;1876.00;1028;813
Mo;03/29/2021;1699.00;1863.75;1695.75;1835.25;1017;797
;;;;;;;
Fr;03/26/2021;1606.00;1650.00;1579.25;1641.02;194;780
Th;03/25/2021;1584.00;1621.75;1552.50;1607.50;252;814
We;03/24/2021;1664.00;1743.75;1585.50;1635.50;405;842
Tu;03/23/2021;1670.50;1722.75;1648.75;1706.50;553;861
Mo;03/22/2021;1810.00;1813.50;1674.50;1741.50;881;866
;;;;;;;
Fr;03/19/2021;1784.75;1843.00;1733.00;1831.75;1046;849
Th;03/18/2021;1835.25;1859.00;1762.75;1774.00;1021;788
We;03/17/2021;1800.25;1848.75;1748.50;1836.50;952;730
Tu;03/16/2021;1808.00;1825.00;1722.50;1795.75;941;682
Mo;03/15/2021;1862.00;1911.75;1743.50;1794.25;957;640
;;;;;;;
Fr;03/12/2021;1853.00;1857.75;1729.75;1751.00;955;605
Th;03/11/2021;1840.00;1859.50;1735.50;1824.00;996;574
We;03/10/2021;1846.50;1893.75;1768.75;1818.00;991;543
Tu;03/09/2021;1811.25;1872.00;1811.25;1846.50;787;513
Mo;03/08/2021;1613.50;1807.00;1613.50;1786.25;764;495
;;;;;;;
Fr;03/05/2021;1529.50;1554.25;1446.75;1541.50;703;475
Th;03/04/2021;1596.25;1638.00;1512.75;1536.75;685;451
We;03/03/2021;1483.25;1669.50;1483.25;1588.50;683;422
Tu;03/02/2021;1560.00;1610.75;1472.00;1479.25;624;391
Mo;03/01/2021;1436.75;1570.50;1413.50;1526.00;625;361
;;;;;;;
Fr;02/26/2021;1500.00;1539.00;1415.00;1520.66;131;
Th;02/25/2021;1593.50;1662.50;1528.00;1576.25;159;
We;02/24/2021;1556.00;1711.00;1513.75;1611.50;231;
Tu;02/23/2021;1779.75;1779.75;1371.00;1527.25;302;
Mo;02/22/2021;1967.00;1967.00;1567.25;1774.00;442;
;;;;;;;
Fr;02/19/2021;1943.50;1981.50;1897.75;1960.75;487;
Th;02/18/2021;1840.75;1960.25;1840.25;1943.25;531;
We;02/17/2021;1770.25;1866.50;1740.00;1840.25;542;
Tu;02/16/2021;1868.25;1868.25;1674.50;1756.50;522;
;;;;;;;
Fr;02/12/2021;1793.75;1879.75;1763.00;1868.25;451;
Th;02/11/2021;1774.00;1839.75;1728.00;1778.00;349;
We;02/10/2021;1787.50;1869.50;1700.00;1728.50;252;
Tu;02/09/2021;1740.00;1858.75;1740.00;1797.25;217;
Mo;02/08/2021;1669.75;1793.25;1604.50;1751.75;171;
