,Date,Open,High,Low,Close,Open Interest,SMAVG (15),date,price,log return future,log return CRIX
0,2020-09-14,10315.0,10805.0,10270.0,10705.0,7058.0,6678.0,2020-09-14,30037.7165198885,-0.005317875718220815,0.0010402905697041928
1,2020-09-11,10370.0,10420.0,10215.0,10340.0,6472.0,6479.0,2020-09-11,30006.4848144983,0.008230499136515444,0.011578291212112228
2,2020-09-10,10285.0,10565.0,10215.0,10315.0,7063.0,6319.0,2020-09-10,29661.0645421364,0.02211935843332738,0.01010669714403202
3,2020-09-09,10060.0,10385.0,9850.0,10320.0,5947.0,6116.0,2020-09-09,29362.7989248363,-0.03563960301327203,-0.023129947040785314
4,2020-09-08,10425.0,10475.0,9890.0,10015.0,5966.0,5981.0,2020-09-08,30049.8742857738,-0.03348579779598594,0.014600621505682223
5,2020-09-04,10780.0,10785.0,9905.0,10620.0,6348.0,5835.0,2020-09-04,29614.3149015081,-0.059423420470800764,-0.10975355771293888
6,2020-09-03,11440.0,11530.0,10460.0,10720.0,6589.0,5651.0,2020-09-03,33049.664457623,-0.05897785322691291,-0.04651363512321924
7,2020-09-02,12135.0,12175.0,11165.0,11460.0,7528.0,5434.0,2020-09-02,34623.2370885509,0.03181515718653186,0.023061181070938176
8,2020-09-01,11755.0,12200.0,11625.0,12075.0,8739.0,5145.0,2020-09-01,33833.9206146075,0.001702852689045987,-0.00143401410918042
9,2020-08-31,11735.0,11915.0,11705.0,11835.0,8266.0,4774.0,2020-08-31,33882.4737387499,0.027209625075122763,0.03348364499387261
10,2020-08-28,11420.0,11700.0,11370.0,11630.0,8015.0,4431.0,2020-08-28,32766.7485297178,-0.01736154719590097,-0.015183547919215837
11,2020-08-27,11620.0,11740.0,11205.0,11340.0,6725.0,4090.0,2020-08-27,33268.0602403644,0.0177994714420063,0.0074873987670429284
12,2020-08-26,11415.0,11715.0,11395.0,11630.0,5576.0,3831.0,2020-08-26,33019.8992067953,-0.04454697980903456,-0.029176793317324385
13,2020-08-25,11935.0,11975.0,11260.0,11440.0,5187.0,3648.0,2020-08-25,33997.5063512139,0.007147392209653117,0.0076537235330018235
14,2020-08-24,11850.0,12015.0,11750.0,11940.0,4686.0,3478.0,2020-08-24,33738.2920793618,-0.025412740186946524,-0.01381834160680809
15,2020-08-21,12155.0,12155.0,11770.0,11860.0,4075.0,3343.0,2020-08-21,34207.735318207,0.01910357099368184,0.01113005803981934
16,2020-08-20,11925.0,12110.0,11880.0,12055.0,4074.0,3252.0,2020-08-20,33829.1121959551,-0.028520221948415147,-0.023816405004139528
17,2020-08-19,12270.0,12295.0,11745.0,11845.0,4022.0,3147.0,2020-08-19,34644.4709497333,-0.02852171643860348,-0.022734457194753314
18,2020-08-18,12625.0,12660.0,12015.0,12190.0,3923.0,3037.0,2020-08-18,35441.1155203014,0.043713961005977166,0.020297685599405226
19,2020-08-17,12085.0,12770.0,12025.0,12625.0,3770.0,2931.0,2020-08-17,34728.9945530132,0.01542661403796258,0.020472881117422816
20,2020-08-14,11900.0,12105.0,11875.0,12040.0,3597.0,2820.0,2020-08-14,34025.2206968564,0.011409377938157944,0.028067832107171793
21,2020-08-13,11765.0,11855.0,11465.0,11705.0,3320.0,2705.0,2020-08-13,33083.4845848827,0.0240871860382642,0.0158469330639531
22,2020-08-12,11485.0,11835.0,11340.0,11770.0,3195.0,2606.0,2020-08-12,32563.3450126077,-0.04677723509397373,-0.03505242532465079
23,2020-08-11,12035.0,12185.0,11325.0,11550.0,3182.0,2510.0,2020-08-11,33725.0098777458,0.013804862613458554,0.014237237086184948
24,2020-08-10,11870.0,12330.0,11815.0,12115.0,3112.0,2411.0,2020-08-10,33248.2607644775,-0.009224384065726584,-0.0041895151372305876
25,2020-08-07,11980.0,12180.0,11515.0,11690.0,2899.0,2311.0,2020-08-07,33387.8470514995,-0.002084636985913212,0.0016614002698185203
26,2020-08-06,12005.0,12170.0,11855.0,12120.0,2852.0,2224.0,2020-08-06,33332.422527308,0.04297619430401215,0.03680412447635743
27,2020-08-05,11500.0,12035.0,11310.0,11930.0,2831.0,2139.0,2020-08-05,32127.9525861844,-0.010810916104215617,0.0017315987504082412
28,2020-08-04,11625.0,11655.0,11230.0,11480.0,2633.0,2055.0,2020-08-04,32072.3680026196,0.014731635567961122,0.022403621798659658
29,2020-08-03,11455.0,11785.0,11260.0,11695.0,2667.0,1980.0,2020-08-03,31361.8199444268,0.0034980359237000223,0.017648804835181827
30,2020-07-31,11415.0,11850.0,11290.0,11700.0,2702.0,1900.0,2020-07-31,30813.1769920296,-0.022093166316705815,0.010006699918978552
31,2020-07-30,11670.0,11670.0,11145.0,11440.0,2501.0,1814.0,2020-07-30,30506.3763673079,0.037987540661172145,0.015127364229881996
32,2020-07-29,11235.0,11620.0,11165.0,11530.0,2364.0,1742.0,2020-07-29,30048.3682624494,-0.022007930503769084,0.0005383419104029017
33,2020-07-28,11485.0,11730.0,11000.0,11315.0,2343.0,1680.0,2020-07-28,30032.1963198823,0.14749748779916486,0.0817598573199373
34,2020-07-27,9910.0,11275.0,9910.0,11145.0,2107.0,1614.0,2020-07-27,27674.465349941,0.012693747493856981,0.04801881096879562
35,2020-07-24,9785.0,9795.0,9665.0,9750.0,1862.0,1560.0,2020-07-24,26376.9717832745,0.0258813617956572,0.012859409132820961
