,Date,PX_LAST,contract_name
95,2021-01-12 21:00:00+00:00,34925,BTCG1 Curncy
96,2021-01-11 21:00:00+00:00,34225,BTCG1 Curncy
97,2021-01-08 21:00:00+00:00,39970,BTCG1 Curncy
98,2021-01-07 21:00:00+00:00,40100,BTCG1 Curncy
99,2021-01-06 21:00:00+00:00,37055,BTCG1 Curncy
100,2021-01-05 21:00:00+00:00,34925,BTCG1 Curncy
101,2021-01-04 21:00:00+00:00,31980,BTCG1 Curncy
102,2020-12-31 21:00:00+00:00,29385,BTCF1 Curncy
103,2020-12-30 21:00:00+00:00,29155,BTCF1 Curncy
104,2020-12-29 21:00:00+00:00,27210,BTCF1 Curncy
105,2020-12-28 21:00:00+00:00,27110,BTCF1 Curncy
106,2020-12-24 21:00:00+00:00,23685,BTCF1 Curncy
107,2020-12-23 21:00:00+00:00,23745,BTCF1 Curncy
108,2020-12-22 21:00:00+00:00,23805,BTCF1 Curncy
109,2020-12-21 21:00:00+00:00,23160,BTCF1 Curncy
110,2020-12-18 21:00:00+00:00,23240,BTCF1 Curncy
111,2020-12-17 21:00:00+00:00,23285,BTCF1 Curncy
112,2020-12-16 21:00:00+00:00,21280,BTCF1 Curncy
113,2020-12-15 21:00:00+00:00,19805,BTCF1 Curncy
114,2020-12-14 21:00:00+00:00,19465,BTCF1 Curncy
115,2020-12-11 21:00:00+00:00,18165,BTCF1 Curncy
116,2020-12-10 21:00:00+00:00,18590,BTCF1 Curncy
117,2020-12-09 21:00:00+00:00,18600,BTCF1 Curncy
118,2020-12-08 21:00:00+00:00,18970,BTCF1 Curncy
119,2020-12-07 21:00:00+00:00,19315,BTCF1 Curncy
120,2020-12-04 21:00:00+00:00,19245,BTCF1 Curncy
121,2020-12-03 21:00:00+00:00,19725,BTCF1 Curncy
122,2020-12-02 21:00:00+00:00,19450,BTCF1 Curncy
123,2020-12-01 21:00:00+00:00,19450,BTCF1 Curncy
124,2020-11-30 21:00:00+00:00,19900,BTCF1 Curncy
125,2020-11-27 21:00:00+00:00,17085,BTCF1 Curncy
126,2020-11-25 21:00:00+00:00,19175,BTCZ0 Curncy
127,2020-11-24 21:00:00+00:00,19375,BTCZ0 Curncy
128,2020-11-23 21:00:00+00:00,18620,BTCZ0 Curncy
129,2020-11-20 21:00:00+00:00,18870,BTCZ0 Curncy
130,2020-11-19 21:00:00+00:00,18240,BTCZ0 Curncy
131,2020-11-18 21:00:00+00:00,17810,BTCZ0 Curncy
132,2020-11-17 21:00:00+00:00,17875,BTCZ0 Curncy
133,2020-11-16 21:00:00+00:00,17020,BTCZ0 Curncy
134,2020-11-13 21:00:00+00:00,16390,BTCZ0 Curncy
135,2020-11-12 21:00:00+00:00,16365,BTCZ0 Curncy
136,2020-11-11 21:00:00+00:00,15930,BTCZ0 Curncy
137,2020-11-10 21:00:00+00:00,15490,BTCZ0 Curncy
138,2020-11-09 21:00:00+00:00,15595,BTCZ0 Curncy
139,2020-11-06 21:00:00+00:00,15800,BTCZ0 Curncy
140,2020-11-05 21:00:00+00:00,15400,BTCZ0 Curncy
141,2020-11-04 21:00:00+00:00,14300,BTCZ0 Curncy
142,2020-11-03 21:00:00+00:00,13960,BTCZ0 Curncy
143,2020-11-02 21:00:00+00:00,13915,BTCZ0 Curncy
144,2020-10-30 20:00:00+00:00,13845,BTCZ0 Curncy
145,2020-10-29 20:00:00+00:00,13780,BTCX0 Curncy
146,2020-10-28 20:00:00+00:00,13380,BTCX0 Curncy
147,2020-10-27 20:00:00+00:00,13875,BTCX0 Curncy
148,2020-10-26 20:00:00+00:00,13180,BTCX0 Curncy
