,Date,PX_LAST,contract_name
0,2021-05-27,38865,BTCM1 Curncy
1,2021-05-26,38610,BTCM1 Curncy
2,2021-05-25,37370,BTCM1 Curncy
3,2021-05-24,39770,BTCM1 Curncy
4,2021-05-21,36190,BTCM1 Curncy
5,2021-05-20,40350,BTCM1 Curncy
6,2021-05-19,39500,BTCM1 Curncy
7,2021-05-18,43240,BTCM1 Curncy
8,2021-05-17,44100,BTCM1 Curncy
9,2021-05-14,50305,BTCM1 Curncy
10,2021-05-13,48485,BTCM1 Curncy
11,2021-05-12,54645,BTCM1 Curncy
12,2021-05-11,57010,BTCM1 Curncy
13,2021-05-10,55940,BTCM1 Curncy
14,2021-05-07,57990,BTCM1 Curncy
15,2021-05-06,56480,BTCM1 Curncy
16,2021-05-05,57575,BTCM1 Curncy
17,2021-05-04,54745,BTCM1 Curncy
18,2021-05-03,58095,BTCM1 Curncy
19,2021-04-30,57545,BTCM1 Curncy
20,2021-04-29,53010,BTCK1 Curncy
21,2021-04-28,55695,BTCK1 Curncy
22,2021-04-27,54975,BTCK1 Curncy
23,2021-04-26,54325,BTCK1 Curncy
24,2021-04-23,51045,BTCK1 Curncy
25,2021-04-22,53065,BTCK1 Curncy
26,2021-04-21,55970,BTCK1 Curncy
27,2021-04-20,57080,BTCK1 Curncy
28,2021-04-19,56535,BTCK1 Curncy
29,2021-04-16,62380,BTCK1 Curncy
30,2021-04-15,64305,BTCK1 Curncy
31,2021-04-14,62885,BTCK1 Curncy
32,2021-04-13,64135,BTCK1 Curncy
33,2021-04-12,61000,BTCK1 Curncy
34,2021-04-09,59145,BTCK1 Curncy
35,2021-04-08,58545,BTCK1 Curncy
36,2021-04-07,56670,BTCK1 Curncy
37,2021-04-06,59270,BTCK1 Curncy
38,2021-04-05,60430,BTCK1 Curncy
39,2021-04-02,60130,BTCK1 Curncy
40,2021-04-01,60130,BTCK1 Curncy
41,2021-03-31,59900,BTCK1 Curncy
42,2021-03-30,60215,BTCK1 Curncy
43,2021-03-29,58695,BTCK1 Curncy
44,2021-03-26,54645,BTCK1 Curncy
45,2021-03-25,52405,BTCJ1 Curncy
46,2021-03-24,54980,BTCJ1 Curncy
47,2021-03-23,55245,BTCJ1 Curncy
48,2021-03-22,56040,BTCJ1 Curncy
49,2021-03-19,59720,BTCJ1 Curncy
50,2021-03-18,58050,BTCJ1 Curncy
51,2021-03-17,58710,BTCJ1 Curncy
52,2021-03-16,56615,BTCJ1 Curncy
53,2021-03-15,57660,BTCJ1 Curncy
54,2021-03-12,57850,BTCJ1 Curncy
55,2021-03-11,58615,BTCJ1 Curncy
56,2021-03-10,57265,BTCJ1 Curncy
57,2021-03-09,55315,BTCJ1 Curncy
58,2021-03-08,52705,BTCJ1 Curncy
59,2021-03-05,50055,BTCJ1 Curncy
60,2021-03-04,48855,BTCJ1 Curncy
61,2021-03-03,51520,BTCJ1 Curncy
62,2021-03-02,48445,BTCJ1 Curncy
63,2021-03-01,49355,BTCJ1 Curncy
64,2021-02-26,46905,BTCJ1 Curncy
65,2021-02-25,49415,BTCH1 Curncy
66,2021-02-24,49815,BTCH1 Curncy
67,2021-02-23,48185,BTCH1 Curncy
68,2021-02-22,54650,BTCH1 Curncy
69,2021-02-19,56595,BTCH1 Curncy
70,2021-02-18,53170,BTCH1 Curncy
71,2021-02-17,53525,BTCH1 Curncy
72,2021-02-16,49615,BTCH1 Curncy
73,2021-02-12,48700,BTCH1 Curncy
74,2021-02-11,48195,BTCH1 Curncy
75,2021-02-10,45570,BTCH1 Curncy
76,2021-02-09,48385,BTCH1 Curncy
