,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-06 20:00:00,3589.27,0.0,spot
2,2021-10-06 20:00:00,3585.95,0.004109589041095891,ETH-8OCT21
7,2021-10-06 20:00:00,3589.38,0.023287671232876714,ETH-15OCT21
3,2021-10-06 20:00:00,3604.25,0.06164383561643835,ETH-29OCT21
5,2021-10-06 20:00:00,3631.48,0.13835616438356166,ETH-26NOV21
6,2021-10-06 20:00:00,3676.6,0.23424657534246576,ETH-31DEC21
8,2021-10-06 20:00:00,3778.8,0.46438356164383554,ETH-25MAR22
1,2021-10-06 20:00:00,3855.75,0.7136986301369863,ETH-24JUN22
4,2021-10-06 20:00:00,3955.27,0.9821917808219177,ETH-30SEP22
