,datetime,close,timeToMaturityinYears,instrumentName
0,2022-01-25 21:00:00,2440.01,0.0,spot
1,2022-01-25 21:00:00,2441.25,0.006735159817351597,ETH-28JAN22
5,2022-01-25 21:00:00,2436.55,0.02591324200913242,ETH-4FEB22
4,2022-01-25 21:00:00,2442.1,0.08344748858447489,ETH-25FEB22
6,2022-01-25 21:00:00,2452.88,0.16015981735159815,ETH-25MAR22
2,2022-01-25 21:00:00,2493.13,0.4094748858447489,ETH-24JUN22
7,2022-01-25 21:00:00,2535.23,0.6779680365296804,ETH-30SEP22
3,2022-01-25 21:00:00,2570.38,0.9272831050228311,ETH-30DEC22
