,datetime,close,timeToMaturityinYears,instrumentName
0,2022-08-07 17:00:00,1706.6,0.0,spot
7,2022-08-07 17:00:00,1706.13,0.012671232876712329,ETH-12AUG22
6,2022-08-07 17:00:00,1704.93,0.03184931506849315,ETH-19AUG22
4,2022-08-07 17:00:00,1702.75,0.051027397260273964,ETH-26AUG22
3,2022-08-07 17:00:00,1695.78,0.14691780821917808,ETH-30SEP22
5,2022-08-07 17:00:00,1680.07,0.39623287671232876,ETH-30DEC22
1,2022-08-07 17:00:00,1691.48,0.6455479452054794,ETH-31MAR23
2,2022-08-07 17:00:00,1696.58,0.8948630136986302,ETH-30JUN23
