,datetime,close,timeToMaturityinYears,instrumentName
0,2022-02-28 08:00:00,2636.48,0.0,spot
3,2022-02-28 08:00:00,2634.85,0.010958904109589043,ETH-4MAR22
5,2022-02-28 08:00:00,2632.78,0.03013698630136986,ETH-11MAR22
4,2022-02-28 08:00:00,2634.68,0.06849315068493152,ETH-25MAR22
1,2022-02-28 08:00:00,2641.55,0.16438356164383564,ETH-29APR22
2,2022-02-28 08:00:00,2654.27,0.3178082191780822,ETH-24JUN22
7,2022-02-28 08:00:00,2697.5,0.5863013698630137,ETH-30SEP22
6,2022-02-28 08:00:00,2738.15,0.8356164383561644,ETH-30DEC22
