,datetime,close,timeToMaturityinYears,instrumentName
0,2021-04-22 06:00:00,2478.83,0.0,spot
4,2021-04-22 06:00:00,2482.93,0.002968036529680365,ETH-23APR21
5,2021-04-22 06:00:00,2500.82,0.022146118721461185,ETH-30APR21
3,2021-04-22 06:00:00,2570.32,0.09885844748858448,ETH-28MAY21
1,2021-04-22 06:00:00,2628.0,0.17557077625570777,ETH-25JUN21
7,2021-04-22 06:00:00,2818.53,0.4248858447488584,ETH-24SEP21
6,2021-04-22 06:00:00,2958.0,0.6933789954337899,ETH-31DEC21
2,2021-04-22 06:00:00,3081.1,0.9235159817351598,ETH-25MAR22
