,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-24 01:00:00,4141.56,0.0,spot
5,2021-10-24 01:00:00,4157.63,0.01449771689497717,ETH-29OCT21
7,2021-10-24 01:00:00,4174.75,0.033675799086757996,ETH-5NOV21
2,2021-10-24 01:00:00,4218.33,0.09121004566210046,ETH-26NOV21
1,2021-10-24 01:00:00,4279.45,0.18710045662100458,ETH-31DEC21
4,2021-10-24 01:00:00,4421.88,0.41723744292237447,ETH-25MAR22
6,2021-10-24 01:00:00,4551.4,0.6665525114155251,ETH-24JUN22
3,2021-10-24 01:00:00,4681.45,0.9350456621004566,ETH-30SEP22
