,datetime,close,timeToMaturityinYears,instrumentName
0,2022-06-25 04:00:00,1222.87,0.0,spot
7,2022-06-25 04:00:00,1223.8,0.016894977168949773,ETH-1JUL22
1,2022-06-25 04:00:00,1223.28,0.036073059360730596,ETH-8JUL22
2,2022-06-25 04:00:00,1224.3,0.09360730593607307,ETH-29JUL22
8,2022-06-25 04:00:00,1223.78,0.17031963470319633,ETH-26AUG22
4,2022-06-25 04:00:00,1223.72,0.26621004566210044,ETH-30SEP22
5,2022-06-25 04:00:00,1230.7,0.5155251141552512,ETH-30DEC22
3,2022-06-25 04:00:00,1233.0,0.7648401826484018,ETH-31MAR23
6,2022-06-25 04:00:00,1240.03,1.0141552511415526,ETH-30JUN23
