,datetime,close,timeToMaturityinYears,instrumentName
0,2021-10-23 20:00:00,4083.95,0.0,spot
1,2021-10-23 20:00:00,4098.75,0.01506849315068493,ETH-29OCT21
2,2021-10-23 20:00:00,4112.48,0.03424657534246576,ETH-5NOV21
6,2021-10-23 20:00:00,4150.7,0.09178082191780822,ETH-26NOV21
7,2021-10-23 20:00:00,4206.52,0.18767123287671234,ETH-31DEC21
4,2021-10-23 20:00:00,4343.3,0.4178082191780822,ETH-25MAR22
5,2021-10-23 20:00:00,4469.5,0.667123287671233,ETH-24JUN22
3,2021-10-23 20:00:00,4592.33,0.9356164383561645,ETH-30SEP22
