,datetime,close,timeToMaturityinYears,instrumentName
0,2022-07-02 10:00:00,1039.67,0.0,spot
2,2022-07-02 10:00:00,1037.18,0.016210045662100457,ETH-8JUL22
4,2022-07-02 10:00:00,1035.58,0.03538812785388128,ETH-15JUL22
7,2022-07-02 10:00:00,1036.15,0.07374429223744293,ETH-29JUL22
3,2022-07-02 10:00:00,1035.05,0.15045662100456622,ETH-26AUG22
1,2022-07-02 10:00:00,1035.65,0.24634703196347033,ETH-30SEP22
8,2022-07-02 10:00:00,1038.9,0.49566210045662096,ETH-30DEC22
5,2022-07-02 10:00:00,1042.08,0.7449771689497716,ETH-31MAR23
6,2022-07-02 10:00:00,1049.03,0.9942922374429224,ETH-30JUN23
