,u,v
0,0.760797342192691,0.6777408637873754
1,0.009966777408637873,0.04318936877076412
2,0.26245847176079734,0.19933554817275748
3,0.023255813953488372,0.016611295681063124
4,0.8870431893687708,0.8205980066445183
5,0.026578073089700997,0.023255813953488372
6,0.15282392026578073,0.12292358803986711
7,0.6677740863787376,0.6578073089700996
8,0.45182724252491696,0.1461794019933555
9,0.6411960132890365,0.7308970099667774
10,0.28903654485049834,0.21262458471760798
11,0.840531561461794,0.8737541528239202
12,0.12292358803986711,0.06312292358803986
13,0.7940199335548173,0.5448504983388704
14,0.9235880398671097,0.9568106312292359
15,0.14285714285714285,0.08637873754152824
16,0.627906976744186,0.5913621262458472
17,0.6910299003322259,0.574750830564784
18,0.893687707641196,0.9102990033222591
19,0.07973421926910298,0.12624584717607973
20,0.13953488372093023,0.06976744186046512
21,0.31561461794019935,0.2059800664451827
22,0.717607973421927,0.5514950166112956
23,0.036544850498338874,0.036544850498338874
24,0.15614617940199335,0.15946843853820597
25,0.7209302325581395,0.6843853820598007
26,0.2724252491694352,0.2026578073089701
27,0.8538205980066446,0.8704318936877077
28,0.8338870431893688,0.7641196013289037
29,0.5581395348837209,0.5614617940199336
30,0.7541528239202658,0.7774086378737541
31,0.08637873754152824,0.10299003322259136
32,0.33554817275747506,0.20930232558139536
33,0.5647840531561462,0.5016611295681063
34,0.5348837209302325,0.44518272425249167
35,0.27906976744186046,0.49169435215946844
36,0.36212624584717606,0.3488372093023256
37,0.7009966777408638,0.7209302325581395
38,0.9501661129568106,0.9368770764119602
39,0.7641196013289037,0.840531561461794
40,0.09302325581395349,0.08970099667774087
41,0.2591362126245847,0.3554817275747508
42,0.25249169435215946,0.2425249169435216
43,0.0664451827242525,0.059800664451827246
44,0.7242524916943521,0.7475083056478405
45,0.24584717607973422,0.2757475083056478
46,0.7840531561461794,0.8172757475083057
47,0.292358803986711,0.22259136212624583
48,0.43853820598006643,0.3754152823920266
49,0.19601328903654486,0.24916943521594684
