,Date,log return future,log return brr
213,2019-10-31,0.003740319615723177,0.019164863344801834
214,2019-10-30,-0.006935210512242431,-0.030913592552263884
215,2019-10-29,-0.020000666706669543,-0.0029122762049627817
216,2019-10-28,0.08819640782060278,0.20025172800119662
217,2019-10-25,0.15415067982725836,0.025365594963769528
218,2019-10-24,-0.0006637902666566221,0.0011253736839860738
219,2019-10-23,-0.0948878188000674,-0.09518312817103886
220,2019-10-22,-0.0030129579888305944,-0.0026580307498362404
221,2019-10-21,0.03240882842301037,0.040524584638826334
222,2019-10-18,-0.01358045562863068,-0.01657387181461852
223,2019-10-17,0.014202152882102222,0.010441582644319722
224,2019-10-16,-0.03001756768765121,-0.04033841839768375
225,2019-10-15,-0.022083857785436815,0.0019173216952060783
226,2019-10-14,0.0005904930788644295,-0.005570434449853615
227,2019-10-11,-0.02795755763505367,-0.021582840766711103
228,2019-10-10,-0.004012616447291686,0.014757684580457316
229,2019-10-09,0.05527568063184419,0.022603731004792557
230,2019-10-08,-0.00722894714315143,0.004923289350104916
231,2019-10-07,0.00481348703154772,-0.0012891242358853668
232,2019-10-04,0.005443013135641363,0.00233806959000289
233,2019-10-03,-0.01325320603579477,-0.010640677808801015
234,2019-10-02,-0.005371543801910877,-0.015381609121447714
235,2019-10-01,-0.0005950610113109561,0.02546025890240748
236,2019-09-30,0.04888535013909191,0.018184671372624448
237,2019-09-27,-0.017462825332521522,-0.03135305933490386
238,2019-09-26,-0.024857296808755643,-0.018468972902638645
239,2019-09-25,-0.0035863756312275773,-0.12571973558706792
240,2019-09-24,-0.15704454515431793,-0.032810616919091165
241,2019-09-23,-0.03753255147406714,-0.031032923533480007
242,2019-09-20,0.0024588160900287748,0.030790526704344776
243,2019-09-19,-0.004911601229460099,-0.03176356095722212
244,2019-09-18,-0.009751418080614211,-0.0016000066235708204
245,2019-09-17,0.016634434438458915,0.0055984369924543045
246,2019-09-16,-0.01274527056693358,-0.01632184586826339
247,2019-09-13,-0.01402683215598057,-8.053604016402181e-05
248,2019-09-12,0.02775926963427478,0.028757094656588156
249,2019-09-11,0.006440448321009744,-0.01973957758145878
250,2019-09-10,-0.03034985756984284,-0.012167882669931194
251,2019-09-09,-0.008641436395340917,-0.05082901642696202
252,2019-09-06,-0.015651256173703706,0.028804966656376458
253,2019-09-05,-0.019571920177841866,0.013439181786708852
254,2019-09-04,0.003235500858148279,-0.0268215166924109
255,2019-09-03,0.11258821877927944,0.11122706293345802
256,2019-08-30,0.008324709886031633,0.015834284647759968
257,2019-08-29,-0.01812112749466126,-0.07674095565529604
258,2019-08-28,-0.05538956227606595,0.0026473701767872784
259,2019-08-27,-0.01637012964685544,-0.01651429440507723
260,2019-08-26,-0.007611835039629982,-0.0071115209964462515
261,2019-08-23,0.026412099539777276,0.030515394980563458
262,2019-08-22,0.006346128205724074,0.008889496097343404
263,2019-08-21,-0.060336512102263526,-0.06098303318629932
264,2019-08-20,0.0013840832659385552,-0.009035459870396355
265,2019-08-19,0.019110346202418797,0.058463348912155925
266,2019-08-16,0.0369080951991188,0.009893502154230788
267,2019-08-15,-0.0019512201312618048,-0.04517487343948321
268,2019-08-14,-0.07779096161965214,-0.04576304698014096
269,2019-08-13,-0.052689974121701316,-0.03574872371932327
270,2019-08-12,-0.03364488914272424,-0.03285811401524255
271,2019-08-09,0.022162730248704583,0.005160063075513414
272,2019-08-08,-0.018018505502678365,-0.031337290182035
273,2019-08-07,0.005830920310793144,0.027132649327622424
274,2019-08-06,-0.008319515539558389,-0.0039350345776288116
275,2019-08-05,0.12001211306779393,0.11089952790500672
276,2019-08-02,0.01743271473208237,0.051698723509727394
277,2019-08-01,0.03383599724909529,0.0037370993181530705
278,2019-07-31,0.03859160921242904,0.04250458396543892
279,2019-07-30,0.02012971195269262,0.003980451926801491
280,2019-07-29,-0.05032828251082819,-0.024712175478630794
281,2019-07-26,0.001488464675704186,-0.022710447817652253
282,2019-07-25,0.022596994639382046,0.020037722887231407
283,2019-07-24,-0.056283362621846425,-0.01652124720984855
284,2019-07-23,0.0,-0.045033520326696955
285,2019-07-22,-0.027930809746722098,0.0061353077522982085
286,2019-07-19,-0.004192878260035927,0.0612579487160219
287,2019-07-18,0.07528879994376629,0.011604562625655157
288,2019-07-17,0.016170135047502848,-0.08312141769639712
289,2019-07-16,-0.11987514577458853,-0.006851251693065349
290,2019-07-15,-0.07022723511856366,-0.10554442373926187
291,2019-07-12,0.003798274243580003,-0.0026465792636922317
292,2019-07-11,-0.050701152933036696,-0.09179250138302067
293,2019-07-10,-0.041721911017319105,0.03820249461113194
294,2019-07-09,0.025772609609641176,0.03977138707342597
295,2019-07-08,0.09975040276705942,0.05001443105598971
296,2019-07-05,-0.006100236782139465,-0.004288955782094562
297,2019-07-03,0.034470933911354855,0.10785943510234702
298,2019-07-02,0.056418103933576574,-0.028649682949634422
299,2019-07-01,-0.11271683580288884,-0.1141005371735148
300,2019-06-28,0.08041821736149352,0.009534598910208789
301,2019-06-27,-0.24618331742850771,-0.09767557148848527
302,2019-06-26,0.19895169206057808,0.12738701802451172
303,2019-06-25,0.038974697723358584,0.037909475738711576
304,2019-06-24,0.09229964065145367,0.10677480412534442
305,2019-06-21,0.03621921014952476,0.04691807982191557
306,2019-06-20,0.044074029906632464,0.02565173411282806
307,2019-06-19,0.010368442136589011,-0.004481122252593126
308,2019-06-18,-0.02865835488750691,-0.019929854431967133
309,2019-06-17,0.10559745441026755,0.10420780577529007
310,2019-06-14,0.018535657729339555,0.029596557976189063
