Date,Coin,Weight in Index
2021-07-01,bitcoin,20.7871%
2021-07-01,ethereum,12.7492%
2021-07-01,binance-coin,5.52904%
2021-07-01,cardano,5.34257%
2021-07-01,dogecoin,4.71421%
2021-07-01,xrp,4.56773%
2021-07-01,polkadot-new,3.22416%
2021-07-01,uniswap,2.64231%
2021-07-01,bitcoin-cash,2.5125%
2021-07-01,litecoin,2.48592%
2021-07-01,solana,2.44508%
2021-07-01,chainlink,2.3483%
2021-07-01,polygon,2.21226%
2021-07-01,theta,2.17476%
2021-07-01,wrapped-bitcoin,2.1076%
2021-07-01,stellar,2.04782%
2021-07-01,internet-computer,2.01822%
2021-07-01,ethereum-classic,1.94056%
2021-07-01,vechain,1.90273%
2021-07-01,filecoin,1.79673%
2021-07-01,tron,1.76497%
2021-07-01,monero,1.61824%
2021-07-01,eos,1.58971%
2021-07-01,shiba-inu,1.44879%
2021-07-01,aave,1.39833%
2021-07-01,crypto-com-coin,1.3448%
2021-07-01,bitcoin-sv,1.33411%
2021-07-01,algorand,1.3336%
2021-07-01,amp,1.31789%
2021-07-01,pancakeswap,1.30078%
2021-06-01,bitcoin,19.8198%
2021-06-01,ethereum,13.3097%
2021-06-01,cardano,5.59382%
2021-06-01,binance-coin,5.52747%
2021-06-01,xrp,5.20963%
2021-06-01,dogecoin,4.87561%
2021-06-01,polkadot-new,3.52482%
2021-06-01,uniswap,3.00324%
2021-06-01,chainlink,2.78308%
2021-06-01,bitcoin-cash,2.72354%
2021-06-01,litecoin,2.65592%
2021-06-01,stellar,2.28913%
2021-06-01,solana,2.24234%
2021-06-01,vechain,2.1354%
2021-06-01,theta,2.00136%
2021-06-01,wrapped-bitcoin,1.976%
2021-06-01,eos,1.88762%
2021-06-01,tron,1.76004%
2021-06-01,filecoin,1.75117%
2021-06-01,aave,1.65909%
2021-06-01,monero,1.65796%
2021-06-01,klaytn,1.40686%
2021-06-01,bitcoin-sv,1.35764%
2021-06-01,crypto-com-coin,1.33546%
2021-06-01,kusama,1.32961%
2021-06-01,iota,1.32001%
2021-06-01,cosmos,1.28747%
2021-06-01,terra-luna,1.22824%
2021-06-01,bittorrent,1.19561%
2021-06-01,avalanche,1.15232%
2021-05-01,bitcoin,20.9823%
2021-05-01,ethereum,11.4378%
2021-05-01,binance-coin,6.24867%
2021-05-01,xrp,5.42853%
2021-05-01,dogecoin,4.22044%
2021-05-01,cardano,4.19752%
2021-05-01,polkadot-new,3.73084%
2021-05-01,uniswap,2.94716%
2021-05-01,bitcoin-cash,2.75404%
2021-05-01,litecoin,2.71682%
2021-05-01,chainlink,2.55238%
2021-05-01,vechain,2.29641%
2021-05-01,stellar,2.22735%
2021-05-01,solana,2.1753%
2021-05-01,filecoin,2.14714%
2021-05-01,theta,2.13604%
2021-05-01,tron,1.96566%
2021-05-01,wrapped-bitcoin,1.95882%
2021-05-01,monero,1.75479%
2021-05-01,terra-luna,1.63138%
2021-05-01,eos,1.58235%
2021-05-01,bitcoin-sv,1.57186%
2021-05-01,iota,1.5607%
2021-05-01,klaytn,1.54738%
2021-05-01,aave,1.50488%
2021-05-01,crypto-com-coin,1.42914%
2021-05-01,cosmos,1.39762%
2021-05-01,bittorrent,1.39603%
2021-05-01,avalanche,1.31465%
2021-05-01,kusama,1.18597%
2021-04-01,bitcoin,24.7501%
2021-04-01,ethereum,10.8842%
2021-04-01,binance-coin,4.98263%
2021-04-01,cardano,4.66972%
2021-04-01,polkadot-new,4.2729%
2021-04-01,xrp,3.79587%
2021-04-01,uniswap,2.94089%
2021-04-01,litecoin,2.71365%
2021-04-01,theta,2.64407%
2021-04-01,chainlink,2.58232%
2021-04-01,bitcoin-cash,2.36539%
2021-04-01,stellar,2.28476%
2021-04-01,filecoin,2.16991%
2021-04-01,wrapped-bitcoin,2.13388%
2021-04-01,klaytn,2.09792%
2021-04-01,terra-luna,2.05079%
2021-04-01,dogecoin,2.00409%
2021-04-01,vechain,1.80604%
2021-04-01,crypto-com-coin,1.76355%
2021-04-01,tron,1.6822%
2021-04-01,solana,1.63305%
2021-04-01,aave,1.60828%
2021-04-01,monero,1.5518%
2021-04-01,iota,1.54833%
2021-04-01,cosmos,1.53851%
2021-04-01,kusama,1.53455%
2021-04-01,eos,1.53373%
2021-04-01,bittorrent,1.50521%
2021-04-01,bitcoin-sv,1.4908%
2021-04-01,avalanche,1.46078%
2021-03-01,bitcoin,26.1011%
2021-03-01,ethereum,11.4757%
2021-03-01,cardano,5.74025%
2021-03-01,binance-coin,5.1207%
2021-03-01,polkadot-new,4.98752%
2021-03-01,xrp,3.90568%
2021-03-01,litecoin,2.98143%
2021-03-01,chainlink,2.86137%
2021-03-01,stellar,2.72318%
2021-03-01,bitcoin-cash,2.63651%
2021-03-01,uniswap,2.36638%
2021-03-01,wrapped-bitcoin,2.12739%
2021-03-01,nem,2.09818%
2021-03-01,aave,1.86211%
2021-03-01,monero,1.77502%
2021-03-01,cosmos,1.7355%
2021-03-01,bitcoin-sv,1.63758%
2021-03-01,eos,1.63317%
2021-03-01,tron,1.6274%
2021-03-01,crypto-com-coin,1.62002%
2021-03-01,theta,1.59207%
2021-03-01,tezos,1.45068%
2021-03-01,huobi-token,1.4391%
2021-03-01,vechain,1.43701%
2021-03-01,neo,1.41567%
2021-03-01,filecoin,1.27286%
2021-03-01,dash,1.26071%
2021-03-01,unus-sed-leo,1.24284%
2021-03-01,celsius,0.950672%
2021-03-01,revain,0.922228%
2021-02-01,bitcoin,27.2071%
2021-02-01,ethereum,13.4451%
2021-02-01,xrp,5.18084%
2021-02-01,polkadot-new,4.18751%
2021-02-01,cardano,3.58958%
2021-02-01,chainlink,3.31106%
2021-02-01,litecoin,3.214%
2021-02-01,bitcoin-cash,2.99149%
2021-02-01,binance-coin,2.86633%
2021-02-01,stellar,2.85812%
2021-02-01,uniswap,2.47743%
2021-02-01,wrapped-bitcoin,2.14646%
2021-02-01,aave,2.10703%
2021-02-01,bitcoin-sv,1.97269%
2021-02-01,eos,1.82352%
2021-02-01,monero,1.71916%
2021-02-01,tron,1.64905%
2021-02-01,tezos,1.60792%
2021-02-01,nem,1.59054%
2021-02-01,theta,1.51543%
2021-02-01,cosmos,1.43135%
2021-02-01,vechain,1.40124%
2021-02-01,neo,1.37485%
2021-02-01,crypto-com-coin,1.31566%
2021-02-01,huobi-token,1.27001%
2021-02-01,unus-sed-leo,1.25032%
2021-02-01,celsius,1.17198%
2021-02-01,filecoin,1.12509%
2021-02-01,dash,1.10713%
2021-02-01,revain,1.09207%
2021-01-01,bitcoin,29.4376%
2021-01-01,ethereum,11.7788%
2021-01-01,xrp,4.72121%
2021-01-01,litecoin,3.77529%
2021-01-01,bitcoin-cash,3.31243%
2021-01-01,polkadot-new,3.25597%
2021-01-01,cardano,3.05796%
2021-01-01,binance-coin,2.9982%
2021-01-01,chainlink,2.85688%
2021-01-01,stellar,2.33313%
2021-01-01,bitcoin-sv,2.32299%
2021-01-01,wrapped-bitcoin,2.32098%
2021-01-01,monero,2.22121%
2021-01-01,eos,2.0943%
2021-01-01,nem,1.88493%
2021-01-01,tron,1.86833%
2021-01-01,tezos,1.64187%
2021-01-01,theta,1.60363%
2021-01-01,unus-sed-leo,1.53833%
2021-01-01,crypto-com-coin,1.5171%
2021-01-01,vechain,1.43172%
2021-01-01,cosmos,1.40738%
2021-01-01,celsius,1.38888%
2021-01-01,neo,1.36474%
2021-01-01,uniswap,1.357%
2021-01-01,filecoin,1.3443%
2021-01-01,dash,1.33317%
2021-01-01,revain,1.31337%
2021-01-01,aave,1.30724%
2021-01-01,huobi-token,1.21105%
2020-12-01,bitcoin,26.2453%
2020-12-01,ethereum,11.4953%
2020-12-01,xrp,7.54695%
2020-12-01,bitcoin-cash,3.33505%
2020-12-01,litecoin,3.3058%
2020-12-01,chainlink,3.25783%
2020-12-01,cardano,3.17483%
2020-12-01,polkadot-new,2.99452%
2020-12-01,binance-coin,2.92801%
2020-12-01,stellar,2.87928%
2020-12-01,bitcoin-sv,2.53306%
2020-12-01,eos,2.40475%
2020-12-01,wrapped-bitcoin,2.12609%
2020-12-01,tron,2.09285%
2020-12-01,monero,2.08803%
