Date,Coin,Weight in Index
2020-12-01,tezos,1.87774%
2020-12-01,nem,1.7929%
2020-12-01,crypto-com-coin,1.70737%
2020-12-01,unus-sed-leo,1.59785%
2020-12-01,neo,1.57175%
2020-12-01,cosmos,1.47302%
2020-12-01,dash,1.44987%
2020-12-01,vechain,1.39398%
2020-12-01,iota,1.35924%
2020-12-01,aave,1.31181%
2020-12-01,huobi-token,1.26684%
2020-12-01,zcash,1.2508%
2020-12-01,yearn-finance,1.2225%
2020-12-01,ethereum-classic,1.21551%
2020-12-01,theta,1.10116%
2020-11-01,bitcoin,26.6804%
2020-11-01,ethereum,11.0466%
2020-11-01,xrp,5.50118%
2020-11-01,bitcoin-cash,3.67995%
2020-11-01,chainlink,3.4949%
2020-11-01,binance-coin,3.38296%
2020-11-01,litecoin,3.19266%
2020-11-01,polkadot-new,3.15261%
2020-11-01,bitcoin-sv,2.92042%
2020-11-01,cardano,2.84083%
2020-11-01,eos,2.56657%
2020-11-01,monero,2.49977%
2020-11-01,tron,2.2688%
2020-11-01,crypto-com-coin,2.22201%
2020-11-01,stellar,2.12601%
2020-11-01,wrapped-bitcoin,2.12158%
2020-11-01,tezos,2.03041%
2020-11-01,unus-sed-leo,1.87784%
2020-11-01,neo,1.70237%
2020-11-01,cosmos,1.62542%
2020-11-01,huobi-token,1.5634%
2020-11-01,nem,1.55528%
2020-11-01,iota,1.39971%
2020-11-01,dash,1.38387%
2020-11-01,vechain,1.33138%
2020-11-01,ethereum-classic,1.30678%
2020-11-01,theta,1.30451%
2020-11-01,zcash,1.29643%
2020-11-01,aave,0.989681%
2020-11-01,yearn-finance,0.93566%
2020-10-01,bitcoin,24.1769%
2020-10-01,ethereum,10.8753%
2020-10-01,xrp,5.65668%
2020-10-01,bitcoin-cash,3.50257%
2020-10-01,binance-coin,3.38712%
2020-10-01,polkadot-new,3.35844%
2020-10-01,chainlink,3.22278%
2020-10-01,crypto-com-coin,3.03453%
2020-10-01,bitcoin-sv,3.00625%
2020-10-01,litecoin,2.97392%
2020-10-01,cardano,2.96422%
2020-10-01,eos,2.66868%
2020-10-01,tron,2.36847%
2020-10-01,monero,2.24025%
2020-10-01,tezos,2.20065%
2020-10-01,stellar,2.12719%
2020-10-01,neo,2.05991%
2020-10-01,unus-sed-leo,1.91642%
2020-10-01,nem,1.75621%
2020-10-01,cosmos,1.71505%
2020-10-01,huobi-token,1.69336%
2020-10-01,wrapped-bitcoin,1.64943%
2020-10-01,vechain,1.56764%
2020-10-01,yearn-finance,1.5442%
2020-10-01,iota,1.47845%
2020-10-01,aave,1.44389%
2020-10-01,dash,1.40366%
2020-10-01,ethereum-classic,1.34673%
2020-10-01,theta,1.33493%
2020-10-01,zcash,1.32615%
2020-09-01,bitcoin,24.1502%
2020-09-01,ethereum,11.4967%
2020-09-01,xrp,5.85333%
2020-09-01,chainlink,3.8546%
2020-09-01,bitcoin-cash,3.70535%
2020-09-01,litecoin,3.28538%
2020-09-01,bitcoin-sv,3.10536%
2020-09-01,crypto-com-coin,3.08351%
2020-09-01,binance-coin,3.0085%
2020-09-01,cardano,2.93195%
2020-09-01,eos,2.85595%
2020-09-01,tezos,2.55467%
2020-09-01,tron,2.38194%
2020-09-01,stellar,2.32804%
2020-09-01,monero,2.11208%
2020-09-01,cosmos,1.98631%
2020-09-01,neo,1.97698%
2020-09-01,nem,1.85615%
2020-09-01,unus-sed-leo,1.85559%
2020-09-01,huobi-token,1.69146%
2020-09-01,iota,1.65041%
2020-09-01,vechain,1.61451%
2020-09-01,dash,1.50726%
2020-09-01,zcash,1.46118%
2020-09-01,ethereum-classic,1.44154%
2020-09-01,maker,1.35978%
2020-09-01,compound,1.30467%
2020-09-01,ontology,1.29498%
2020-09-01,basic-attention-token,1.17494%
2020-09-01,hedgetrade,1.11664%
2020-08-01,bitcoin,25.4226%
2020-08-01,ethereum,10.9423%
2020-08-01,xrp,5.9947%
2020-08-01,bitcoin-cash,4.14477%
2020-08-01,bitcoin-sv,3.62467%
2020-08-01,litecoin,3.41921%
2020-08-01,cardano,3.33675%
2020-08-01,crypto-com-coin,3.0708%
2020-08-01,binance-coin,3.03879%
2020-08-01,eos,2.99031%
2020-08-01,chainlink,2.90123%
2020-08-01,tezos,2.54682%
2020-08-01,stellar,2.47879%
2020-08-01,monero,2.14768%
2020-08-01,tron,2.08869%
2020-08-01,unus-sed-leo,1.97225%
2020-08-01,vechain,1.72098%
2020-08-01,huobi-token,1.70933%
2020-08-01,ethereum-classic,1.6328%
2020-08-01,neo,1.63016%
2020-08-01,iota,1.60522%
2020-08-01,dash,1.56837%
2020-08-01,zcash,1.49748%
2020-08-01,cosmos,1.4958%
2020-08-01,maker,1.31681%
2020-08-01,ontology,1.2414%
2020-08-01,nem,1.20913%
2020-08-01,hedgetrade,1.1408%
2020-08-01,basic-attention-token,1.07861%
2020-08-01,compound,1.03274%
2020-07-01,bitcoin,26.2525%
2020-07-01,ethereum,10.1834%
2020-07-01,xrp,5.69685%
2020-07-01,bitcoin-cash,4.12373%
2020-07-01,bitcoin-sv,3.51791%
2020-07-01,litecoin,3.33739%
2020-07-01,binance-coin,3.1454%
2020-07-01,eos,3.03013%
2020-07-01,crypto-com-coin,2.93336%
2020-07-01,cardano,2.92923%
2020-07-01,tezos,2.71154%
2020-07-01,chainlink,2.54075%
2020-07-01,stellar,2.35226%
2020-07-01,unus-sed-leo,2.22833%
2020-07-01,monero,2.1389%
2020-07-01,tron,2.08427%
2020-07-01,huobi-token,1.92257%
2020-07-01,neo,1.71012%
2020-07-01,ethereum-classic,1.67382%
2020-07-01,dash,1.64446%
2020-07-01,iota,1.56757%
2020-07-01,compound,1.49575%
2020-07-01,zcash,1.42685%
2020-07-01,cosmos,1.42011%
2020-07-01,vechain,1.40488%
2020-07-01,maker,1.38324%
2020-07-01,hedgetrade,1.35639%
2020-07-01,ontology,1.30062%
2020-07-01,nem,1.24805%
2020-07-01,basic-attention-token,1.23964%
2020-07-01,okb,1.11412%
2020-06-01,bitcoin,26.421%
2020-06-01,ethereum,10.1494%
2020-06-01,xrp,5.9925%
2020-06-01,bitcoin-cash,4.21063%
2020-06-01,bitcoin-sv,3.77806%
2020-06-01,litecoin,3.44428%
2020-06-01,binance-coin,3.26089%
2020-06-01,eos,3.16165%
2020-06-01,tezos,2.82721%
2020-06-01,cardano,2.781%
2020-06-01,crypto-com-coin,2.42417%
2020-06-01,chainlink,2.40815%
2020-06-01,stellar,2.39573%
2020-06-01,unus-sed-leo,2.17891%
2020-06-01,monero,2.14226%
2020-06-01,tron,2.06186%
2020-06-01,huobi-token,1.89342%
2020-06-01,ethereum-classic,1.79865%
2020-06-01,neo,1.76169%
2020-06-01,dash,1.71009%
2020-06-01,hedgetrade,1.60218%
2020-06-01,iota,1.56537%
2020-06-01,cosmos,1.44636%
2020-06-01,zcash,1.38706%
2020-06-01,maker,1.36392%
2020-06-01,ontology,1.239%
2020-06-01,nem,1.23371%
2020-06-01,dogecoin,1.13092%
2020-06-01,okb,1.11637%
2020-06-01,basic-attention-token,1.11356%
2020-05-01,bitcoin,26.1567%
2020-05-01,ethereum,9.9485%
2020-05-01,xrp,6.35652%
2020-05-01,bitcoin-cash,4.44806%
2020-05-01,bitcoin-sv,4.0613%
2020-05-01,litecoin,3.60517%
2020-05-01,binance-coin,3.37727%
2020-05-01,eos,3.35401%
2020-05-01,tezos,2.90264%
2020-05-01,stellar,2.43343%
2020-05-01,chainlink,2.36769%
2020-05-01,cardano,2.31095%
2020-05-01,monero,2.17227%
2020-05-01,unus-sed-leo,2.14382%
2020-05-01,tron,2.09422%
2020-05-01,crypto-com-coin,2.03207%
2020-05-01,huobi-token,2.00868%
2020-05-01,dash,1.82007%
2020-05-01,ethereum-classic,1.8%
2020-05-01,neo,1.64674%
2020-05-01,hedgetrade,1.63694%
2020-05-01,cosmos,1.50438%
2020-05-01,iota,1.45635%
2020-05-01,zcash,1.32453%
2020-05-01,nem,1.25592%
2020-05-01,maker,1.21105%
2020-05-01,ontology,1.17791%
2020-05-01,okb,1.17471%
2020-05-01,dogecoin,1.14367%
2020-05-01,basic-attention-token,1.0744%
2020-04-01,bitcoin,26.0509%
2020-04-01,ethereum,9.25925%
2020-04-01,xrp,6.59705%
2020-04-01,bitcoin-cash,4.82698%
2020-04-01,bitcoin-sv,4.17571%
2020-04-01,litecoin,3.82582%
2020-04-01,eos,3.46898%
2020-04-01,binance-coin,3.33833%
2020-04-01,tezos,2.58201%
2020-04-01,unus-sed-leo,2.44189%
2020-04-01,stellar,2.18468%
2020-04-01,monero,2.17469%
2020-04-01,chainlink,2.12231%
2020-04-01,cardano,2.12185%
2020-04-01,tron,2.1067%
2020-04-01,huobi-token,2.08413%
2020-04-01,crypto-com-coin,1.92073%
2020-04-01,dash,1.89858%
2020-04-01,ethereum-classic,1.83568%
2020-04-01,neo,1.65444%
2020-04-01,hedgetrade,1.65414%
2020-04-01,iota,1.53142%
2020-04-01,cosmos,1.49495%
2020-04-01,nem,1.40327%
2020-04-01,zcash,1.31614%
2020-04-01,maker,1.30905%
2020-04-01,okb,1.21156%
2020-04-01,ontology,1.17851%
2020-04-01,dogecoin,1.14171%
2020-04-01,basic-attention-token,1.08854%
2020-03-01,bitcoin,25.1404%
2020-03-01,ethereum,9.86598%
2020-03-01,xrp,6.38541%
2020-03-01,bitcoin-cash,4.7683%
2020-03-01,bitcoin-sv,3.95634%
2020-03-01,litecoin,3.89087%
2020-03-01,eos,3.6245%
2020-03-01,binance-coin,3.50295%
2020-03-01,tezos,2.79257%
2020-03-01,chainlink,2.40682%
2020-03-01,cardano,2.22832%
2020-03-01,monero,2.16279%
2020-03-01,stellar,2.16254%
2020-03-01,huobi-token,2.13797%
2020-03-01,tron,2.11353%
2020-03-01,unus-sed-leo,1.97074%
2020-03-01,ethereum-classic,1.86301%
2020-03-01,dash,1.79935%
2020-03-01,neo,1.78381%
2020-03-01,hedgetrade,1.71424%
2020-03-01,crypto-com-coin,1.70699%
2020-03-01,cosmos,1.63485%
2020-03-01,iota,1.55085%
2020-03-01,maker,1.48755%
2020-03-01,zcash,1.35132%
2020-03-01,nem,1.32799%
2020-03-01,ontology,1.31418%
2020-03-01,okb,1.19013%
2020-03-01,vechain,1.12166%
2020-03-01,basic-attention-token,1.11118%
2020-03-01,dogecoin,1.05455%
2020-02-01,bitcoin,25.6397%
2020-02-01,ethereum,8.74045%
2020-02-01,xrp,6.35489%
2020-02-01,bitcoin-cash,5.14686%
2020-02-01,bitcoin-sv,4.39851%
2020-02-01,litecoin,4.16263%
2020-02-01,eos,3.88783%
2020-02-01,binance-coin,3.30048%
2020-02-01,cardano,2.31622%
2020-02-01,ethereum-classic,2.24014%
2020-02-01,monero,2.20086%
2020-02-01,tron,2.19507%
2020-02-01,stellar,2.17508%
2020-02-01,tezos,2.11242%
2020-02-01,dash,2.04289%
2020-02-01,chainlink,1.94287%
2020-02-01,unus-sed-leo,1.83096%
2020-02-01,cosmos,1.79171%
2020-02-01,iota,1.77165%
2020-02-01,huobi-token,1.769%
2020-02-01,neo,1.75677%
2020-02-01,hedgetrade,1.68509%
2020-02-01,crypto-com-coin,1.64988%
2020-02-01,zcash,1.49383%
2020-02-01,maker,1.4374%
2020-02-01,ontology,1.35964%
2020-02-01,nem,1.28426%
2020-02-01,vechain,1.14116%
2020-02-01,basic-attention-token,1.10454%
2020-02-01,dogecoin,1.06725%
2020-01-01,bitcoin,27.235%
2020-01-01,ethereum,8.94009%
2020-01-01,xrp,6.87396%
2020-01-01,bitcoin-cash,4.54609%
2020-01-01,litecoin,3.87119%
2020-01-01,eos,3.71093%
2020-01-01,binance-coin,3.46085%
2020-01-01,bitcoin-sv,3.08396%
2020-01-01,tezos,2.32057%
2020-01-01,stellar,2.26981%
2020-01-01,tron,2.24929%
2020-01-01,cardano,2.21429%
2020-01-01,unus-sed-leo,2.15539%
2020-01-01,cosmos,2.14506%
2020-01-01,monero,2.12119%
2020-01-01,huobi-token,1.94253%
2020-01-01,chainlink,1.90935%
2020-01-01,neo,1.87034%
2020-01-01,ethereum-classic,1.69667%
2020-01-01,hedgetrade,1.65977%
2020-01-01,iota,1.59544%
2020-01-01,maker,1.57985%
2020-01-01,crypto-com-coin,1.55616%
2020-01-01,dash,1.48272%
2020-01-01,ontology,1.37983%
2020-01-01,vechain,1.31391%
2020-01-01,nem,1.28052%
2020-01-01,basic-attention-token,1.19477%
2020-01-01,dogecoin,1.19238%
2020-01-01,zcash,1.14812%
2019-12-01,bitcoin,26.6686%
2019-12-01,ethereum,9.27449%
2019-12-01,xrp,7.16105%
2019-12-01,bitcoin-cash,4.55793%
2019-12-01,litecoin,3.98852%
2019-12-01,eos,3.68883%
2019-12-01,binance-coin,3.56464%
2019-12-01,bitcoin-sv,3.15701%
2019-12-01,stellar,2.45918%
2019-12-01,tron,2.34329%
2019-12-01,cardano,2.32377%
2019-12-01,unus-sed-leo,2.21963%
2019-12-01,monero,2.21723%
2019-12-01,tezos,2.12135%
2019-12-01,chainlink,2.01522%
2019-12-01,cosmos,1.95196%
2019-12-01,huobi-token,1.89663%
2019-12-01,neo,1.85827%
2019-12-01,iota,1.73726%
2019-12-01,maker,1.64705%
2019-12-01,dash,1.61735%
2019-12-01,ethereum-classic,1.5465%
2019-12-01,ontology,1.45464%
2019-12-01,vechain,1.37197%
2019-12-01,nem,1.30485%
2019-12-01,crypto-com-coin,1.3023%
2019-12-01,dogecoin,1.22039%
2019-12-01,basic-attention-token,1.18875%
2019-12-01,zcash,1.08882%
2019-12-01,hedgetrade,1.05255%
2019-11-01,bitcoin,27.1171%
2019-11-01,ethereum,9.35679%
2019-11-01,ripple,7.47306%
2019-11-01,bitcoin-cash,4.73835%
2019-11-01,litecoin,4.05783%
2019-11-01,binance-coin,3.70513%
2019-11-01,eos,3.69197%
2019-11-01,bitcoin-sv,3.21184%
2019-11-01,stellar,2.49135%
2019-11-01,tron,2.40469%
2019-11-01,cardano,2.1923%
2019-11-01,monero,2.13508%
2019-11-01,unus-sed-leo,2.08356%
2019-11-01,huobi-token,2.03813%
2019-11-01,chainlink,2.03691%
2019-11-01,iota,1.82903%
2019-11-01,neo,1.82208%
2019-11-01,dash,1.69829%
2019-11-01,cosmos,1.6488%
2019-11-01,tezos,1.60125%
2019-11-01,ethereum-classic,1.5803%
2019-11-01,maker,1.54984%
2019-11-01,ontology,1.44871%
2019-11-01,crypto-com-coin,1.34522%
2019-11-01,nem,1.26538%
2019-11-01,dogecoin,1.18559%
2019-11-01,basic-attention-token,1.18131%
2019-11-01,zcash,1.13346%
2019-11-01,vechain,0.999164%
2019-11-01,hedgetrade,0.977506%
2019-10-01,bitcoin,27.5271%
2019-10-01,ethereum,9.7512%
2019-10-01,ripple,7.2995%
2019-10-01,bitcoin-cash,4.61108%
2019-10-01,litecoin,4.2759%
2019-10-01,eos,3.74559%
2019-10-01,binance-coin,3.57031%
2019-10-01,bitcoin-sv,2.83724%
2019-10-01,stellar,2.44514%
2019-10-01,cardano,2.27161%
2019-10-01,unus-sed-leo,2.26917%
2019-10-01,monero,2.26207%
2019-10-01,tron,2.16018%
2019-10-01,huobi-token,2.0051%
2019-10-01,iota,1.90791%
2019-10-01,dash,1.82681%
2019-10-01,tezos,1.7254%
2019-10-01,chainlink,1.72202%
2019-10-01,ethereum-classic,1.66373%
2019-10-01,neo,1.63567%
2019-10-01,cosmos,1.51947%
2019-10-01,maker,1.49856%
2019-10-01,nem,1.35833%
2019-10-01,crypto-com-coin,1.34599%
2019-10-01,ontology,1.29252%
2019-10-01,zcash,1.2122%
2019-10-01,dogecoin,1.17376%
2019-10-01,basic-attention-token,1.05458%
2019-10-01,hedgetrade,1.05197%
2019-10-01,vechain,0.979877%
2019-09-01,bitcoin,28.6422%
2019-09-01,ethereum,9.3607%
2019-09-01,ripple,7.24037%
2019-09-01,bitcoin-cash,4.87758%
2019-09-01,litecoin,4.41416%
2019-09-01,binance-coin,3.99297%
2019-09-01,eos,3.81096%
2019-09-01,bitcoin-sv,3.29223%
2019-09-01,stellar,2.42298%
2019-09-01,monero,2.3513%
2019-09-01,cardano,2.35002%
2019-09-01,tron,2.21507%
2019-09-01,dash,1.84729%
2019-09-01,ethereum-classic,1.83012%
2019-09-01,iota,1.81563%
2019-09-01,tezos,1.80681%
2019-09-01,chainlink,1.72336%
2019-09-01,neo,1.71954%
2019-09-01,maker,1.50267%
2019-09-01,nem,1.43893%
2019-09-01,cosmos,1.36855%
2019-09-01,ontology,1.34058%
2019-09-01,crypto-com-coin,1.32188%
2019-09-01,zcash,1.25355%
2019-09-01,dogecoin,1.19448%
2019-09-01,basic-attention-token,1.06058%
2019-09-01,vechain,1.036%
2019-09-01,qtum,0.976066%
2019-09-01,bitcoin-gold,0.942019%
2019-09-01,omisego,0.851394%
2019-08-01,bitcoin,26.5105%
2019-08-01,ethereum,9.51741%
2019-08-01,ripple,7.30218%
2019-08-01,litecoin,4.90652%
2019-08-01,bitcoin-cash,4.78105%
2019-08-01,binance-coin,4.15558%
2019-08-01,eos,3.9596%
2019-08-01,bitcoin-sv,3.18133%
2019-08-01,stellar,2.53284%
2019-08-01,cardano,2.44618%
2019-08-01,tron,2.40517%
2019-08-01,monero,2.33961%
2019-08-01,dash,1.93496%
2019-08-01,tezos,1.80602%
2019-08-01,neo,1.78639%
2019-08-01,iota,1.78022%
2019-08-01,chainlink,1.72053%
2019-08-01,cosmos,1.63193%
2019-08-01,ethereum-classic,1.61772%
2019-08-01,maker,1.52244%
2019-08-01,nem,1.51882%
2019-08-01,ontology,1.42769%
2019-08-01,crypto-com-chain,1.37861%
2019-08-01,zcash,1.36741%
2019-08-01,dogecoin,1.16952%
2019-08-01,bitcoin-gold,1.11523%
2019-08-01,basic-attention-token,1.10777%
2019-08-01,vechain,1.09499%
2019-08-01,qtum,1.05844%
2019-08-01,omisego,0.923306%
2019-07-01,bitcoin,24.6302%
2019-07-01,ethereum,9.89249%
2019-07-01,ripple,7.44574%
2019-07-01,litecoin,4.90616%
2019-07-01,bitcoin-cash,4.85841%
2019-07-01,eos,4.23475%
2019-07-01,binance-coin,3.85811%
2019-07-01,bitcoin-sv,3.38927%
2019-07-01,cardano,2.65151%
2019-07-01,tron,2.63399%
2019-07-01,stellar,2.60688%
2019-07-01,monero,2.27842%
2019-07-01,dash,2.10936%
2019-07-01,neo,1.91621%
2019-07-01,cosmos,1.88891%
2019-07-01,iota,1.88488%
2019-07-01,chainlink,1.68%
2019-07-01,ethereum-classic,1.67659%
2019-07-01,nem,1.59181%
2019-07-01,ontology,1.51081%
2019-07-01,zcash,1.49374%
2019-07-01,maker,1.45164%
2019-07-01,tezos,1.44736%
2019-07-01,bitcoin-gold,1.21954%
2019-07-01,crypto-com-chain,1.18154%
2019-07-01,qtum,1.17157%
2019-07-01,vechain,1.16384%
2019-07-01,dogecoin,1.09804%
2019-07-01,basic-attention-token,1.09664%
2019-07-01,omisego,1.03157%
2019-06-01,bitcoin,22.8302%
2019-06-01,ethereum,9.92265%
2019-06-01,ripple,7.95863%
2019-06-01,bitcoin-cash,5.21147%
2019-06-01,eos,5.15527%
2019-06-01,litecoin,4.94258%
2019-06-01,binance-coin,4.04255%
2019-06-01,bitcoin-sv,3.40949%
2019-06-01,stellar,2.96451%
2019-06-01,cardano,2.81663%
2019-06-01,tron,2.77368%
2019-06-01,monero,2.32776%
2019-06-01,dash,2.23772%
2019-06-01,iota,2.17982%
2019-06-01,tezos,1.84729%
2019-06-01,ethereum-classic,1.8186%
2019-06-01,neo,1.76496%
2019-06-01,nem,1.71458%
2019-06-01,ontology,1.60677%
