Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Thu Mar 30 2017 00:00:00 GMT+0000,1307.99,0.66%
Fri Mar 31 2017 00:00:00 GMT+0000,1306.24,-0.13%
Sat Apr 01 2017 00:00:00 GMT+0000,1356.53,3.85%
Sun Apr 02 2017 00:00:00 GMT+0000,1364.35,0.58%
Mon Apr 03 2017 00:00:00 GMT+0000,1457.08,6.80%
Tue Apr 04 2017 00:00:00 GMT+0000,1414.41,-2.93%
Wed Apr 05 2017 00:00:00 GMT+0000,1421.35,0.49%
Thu Apr 06 2017 00:00:00 GMT+0000,1421.04,-0.02%
Fri Apr 07 2017 00:00:00 GMT+0000,1440.95,1.40%
Sat Apr 08 2017 00:00:00 GMT+0000,1436.72,-0.29%
Sun Apr 09 2017 00:00:00 GMT+0000,1457.36,1.44%
Mon Apr 10 2017 00:00:00 GMT+0000,1452.79,-0.31%
Tue Apr 11 2017 00:00:00 GMT+0000,1453.85,0.07%
Wed Apr 12 2017 00:00:00 GMT+0000,1463.76,0.68%
Thu Apr 13 2017 00:00:00 GMT+0000,1488.43,1.69%
Fri Apr 14 2017 00:00:00 GMT+0000,1479.94,-0.57%
Sat Apr 15 2017 00:00:00 GMT+0000,1468.33,-0.78%
Sun Apr 16 2017 00:00:00 GMT+0000,1485.98,1.20%
Mon Apr 17 2017 00:00:00 GMT+0000,1490.97,0.34%
Tue Apr 18 2017 00:00:00 GMT+0000,1498.64,0.51%
Wed Apr 19 2017 00:00:00 GMT+0000,1526.99,1.89%
Thu Apr 20 2017 00:00:00 GMT+0000,1506.85,-1.32%
Fri Apr 21 2017 00:00:00 GMT+0000,1526.53,1.31%
Sat Apr 22 2017 00:00:00 GMT+0000,1526.12,-0.03%
Sun Apr 23 2017 00:00:00 GMT+0000,1540.2,0.92%
Mon Apr 24 2017 00:00:00 GMT+0000,1522.19,-1.17%
Tue Apr 25 2017 00:00:00 GMT+0000,1574.23,3.42%
Wed Apr 26 2017 00:00:00 GMT+0000,1591.32,1.09%
Thu Apr 27 2017 00:00:00 GMT+0000,1627.9,2.30%
Fri Apr 28 2017 00:00:00 GMT+0000,1714.96,5.35%
Sat Apr 29 2017 00:00:00 GMT+0000,1785.25,4.10%
Sun Apr 30 2017 00:00:00 GMT+0000,1817.66,1.82%
Mon May 01 2017 00:00:00 GMT+0000,1892.74,4.13%
Tue May 02 2017 00:00:00 GMT+0000,1949.4,2.99%
Wed May 03 2017 00:00:00 GMT+0000,1977.15,1.42%
