,copula,risk_measure,h,file,HE,likelihood,AIC,AIC_selected
0,Clayton,VaR q=0.01,1.1794921875000004,153.csv,0.34754882091914097,119.86046697675141,-237.72093395350282,0
1,Clayton,VaR q=0.01,0.6442382812499997,46.csv,0.1591454858177156,121.0846306905647,-240.1692613811294,0
2,Clayton,VaR q=0.05,0.8148437499999999,46.csv,0.4674757866809762,121.0846306905647,-240.1692613811294,0
3,Clayton,ES q=0.01,0.7210937499999999,94.csv,0.29627975060520406,99.2497068126961,-196.4994136253922,0
4,Clayton,ES q=0.05,0.8101562499999997,160.csv,0.08061178897595878,110.99345705862504,-219.98691411725008,0
5,Clayton,ES q=0.05,0.6181640624999998,185.csv,0.08291841975792424,93.44481989985026,-184.88963979970052,0
6,Clayton,ES q=0.01,0.7462890624999998,160.csv,-0.07905496388035504,110.99345705862504,-219.98691411725008,0
7,Clayton,Variance,1.1379882812500002,138.csv,0.44342621420724315,111.60452495202242,-221.20904990404483,0
8,Clayton,ERM k=10,1.1109375,94.csv,0.40805894844227963,99.2497068126961,-196.4994136253922,0
9,Clayton,ERM k=10,0.7578124999999998,160.csv,0.11890021162497055,110.99345705862504,-219.98691411725008,0
10,Clayton,ERM k=10,0.9904296875,138.csv,0.32717300287663953,111.60452495202242,-221.20904990404483,0
11,Clayton,ES q=0.01,0.7698242187499998,138.csv,0.17794549615696897,111.60452495202242,-221.20904990404483,0
12,Clayton,Variance,0.9596679687499998,160.csv,0.2918035971318176,110.99345705862504,-219.98691411725008,0
13,Clayton,Variance,1.1402343750000004,94.csv,0.655891516372149,99.2497068126961,-196.4994136253922,0
14,Clayton,VaR q=0.01,0.6475585937499996,185.csv,-0.05838692905651821,93.44481989985026,-184.88963979970052,0
15,Clayton,ES q=0.05,0.99140625,138.csv,0.3080412684894763,111.60452495202242,-221.20904990404483,0
16,Clayton,VaR q=0.01,1.504785156250001,138.csv,0.4801552190506332,111.60452495202242,-221.20904990404483,0
17,Clayton,VaR q=0.05,0.9736328125,138.csv,0.33522272647118667,111.60452495202242,-221.20904990404483,0
18,Clayton,VaR q=0.01,0.934375,160.csv,-0.01017352825981166,110.99345705862504,-219.98691411725008,0
19,Clayton,ES q=0.05,1.0501953125,94.csv,0.4061407881743754,99.2497068126961,-196.4994136253922,0
20,Clayton,ES q=0.05,0.7877929687499998,46.csv,0.36219685388199263,121.0846306905647,-240.1692613811294,0
21,Clayton,ES q=0.01,0.4713867187499995,185.csv,-0.00264565962490404,93.44481989985026,-184.88963979970052,0
22,Clayton,ERM k=10,0.6251953124999996,176.csv,0.0983495435589472,87.32791220480814,-172.6558244096163,0
23,Clayton,ES q=0.05,0.99326171875,80.csv,0.41086687621962603,125.74009080762582,-249.48018161525164,0
24,Clayton,Variance,0.97509765625,44.csv,0.6686523754856305,132.33326112602447,-262.66652225204894,0
25,Clayton,ES q=0.01,0.47998046874999944,176.csv,-0.004646716679826524,87.32791220480814,-172.6558244096163,0
26,Clayton,ES q=0.05,0.6702148437499997,176.csv,0.08779735436246394,87.32791220480814,-172.6558244096163,0
27,Clayton,Variance,0.7024414062499998,185.csv,0.2745280824363824,93.44481989985026,-184.88963979970052,0
28,Clayton,ES q=0.01,0.7075195312499998,80.csv,0.3101898714927561,125.74009080762582,-249.48018161525164,0
29,Clayton,VaR q=0.01,0.6703124999999998,176.csv,-0.08492994824627753,87.32791220480814,-172.6558244096163,0
30,Clayton,VaR q=0.05,0.6110351562499996,185.csv,0.04862543370170547,93.44481989985026,-184.88963979970052,0
31,Clayton,ERM k=10,1.00576171875,80.csv,0.3965063872534079,125.74009080762582,-249.48018161525164,0
32,Clayton,VaR q=0.05,1.4712890625000017,94.csv,0.4721257183623333,99.2497068126961,-196.4994136253922,0
33,Clayton,ERM k=10,0.5716796874999996,185.csv,0.0959279190229061,93.44481989985026,-184.88963979970052,0
34,Clayton,Variance,1.0613281250000002,80.csv,0.6469912405443288,125.74009080762582,-249.48018161525164,0
35,Clayton,Variance,0.9211914062500001,46.csv,0.6537305779666294,121.0846306905647,-240.1692613811294,0
36,Clayton,ERM k=10,0.8076171874999998,46.csv,0.3671291083991205,121.0846306905647,-240.1692613811294,0
37,Clayton,VaR q=0.01,1.1255859375,94.csv,0.46109848028474976,99.2497068126961,-196.4994136253922,0
38,Clayton,ES q=0.01,0.7993164062499999,46.csv,0.34303066270930005,121.0846306905647,-240.1692613811294,0
39,Clayton,VaR q=0.05,1.0006835937499998,160.csv,0.14662293686607242,110.99345705862504,-219.98691411725008,0
40,Clayton,VaR q=0.05,0.88193359375,176.csv,0.06346592251574557,87.32791220480814,-172.6558244096163,0
41,Clayton,VaR q=0.05,0.8841796874999999,50.csv,0.4173394618538714,113.65559877411697,-225.31119754823393,0
42,Clayton,VaR q=0.01,0.6484374999999997,50.csv,0.14501596183193066,113.65559877411697,-225.31119754823393,0
43,Clayton,Variance,1.2143554687500009,120.csv,0.631072895768184,116.35004075118071,-230.70008150236143,0
44,Clayton,VaR q=0.01,0.9109374999999998,10.csv,0.32096669824687885,138.2462059751498,-274.4924119502996,0
45,Clayton,Variance,1.055078125,22.csv,0.6526437628506665,123.52070746407006,-245.0414149281401,0
46,Clayton,VaR q=0.05,1.0638671875000003,10.csv,0.5252577142657374,138.2462059751498,-274.4924119502996,0
47,Clayton,ES q=0.01,0.8090820312499998,102.csv,0.32100052243249233,-278.16460226867883,558.3292045373577,0
48,Clayton,ES q=0.05,1.0177734374999998,78.csv,0.41515282469960235,122.96789881962638,-243.93579763925277,0
