"Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
0.6885196584833927,0.46936103483995695,0.16426771150687258,0.4635412465107386,0.4215647195757666,0.4323079074654208
0.8182925943072314,0.5832983214535844,0.008886068335055453,0.633633818411669,0.5377436312247788,0.6167251082869859
0.6885196584833927,0.46936103483995695,0.16426771150687258,0.4635412465107386,0.4215647195757666,0.4323079074654208
0.8182925943072314,0.5832983214535844,0.008886068335055453,0.633633818411669,0.5377436312247788,0.6167251082869859
0.747378630962362,0.2174181206416269,0.3303112175509433,0.23945968666257778,0.25254189403818916,0.5873613586381495
0.5829506345960394,0.10945647412757165,0.1844220470934833,0.09909160218026414,0.17527244439158507,0.438324796037049
0.6245965994920755,0.27076332229044375,-0.08178954420237528,0.27519136296551394,0.17658542860619242,0.47842908169843323
0.3704162182638513,0.2377779627667609,0.3755182459838313,0.2446406461278291,0.241754865436689,0.09655003310389854
0.7345531350139624,0.6372916749682893,0.6277334426865402,0.6251761277579039,0.6132785418478557,0.38806764290882545
0.7541667951724977,0.43818940684917007,0.5284305517243529,0.35475013665182675,0.5198987378301242,0.418536178445864
0.6849356584580328,0.324010559928276,0.39302757740830385,0.2791214640731682,0.37336807701860864,0.42930721655183945
0.27700658097517283,0.37234743714749785,0.3629698927770112,0.3010718471963859,0.44861321040970503,0.08149239033203592
0.48842708331105866,0.4167302594637602,0.37849472446784505,0.31785414741229345,0.3691689043892763,0.2887723652895253
0.25984502230002793,0.010965093392154679,0.12104740962842941,0.008777703076027432,0.035558283832466286,0.17275405686634326
0.5000493988050787,0.08041161424580323,0.261540169884263,0.0674921245318828,0.1846588295894226,0.3272266085181261
0.5433886820091622,0.2018904828947552,0.36534908948816247,0.21927690713010506,0.2864055481973947,0.3369191521895645
0.7152988130144547,0.4844301135555681,0.13805238786474228,0.43893980474277783,0.3987931213751663,0.5238699333421926
