,Date,rs,rf,rh,h
0,2021-05-27 20:00:00+00:00,0.006052853952764,0.006582792406038,-0.00021259847217068063,0.9517924975406725
1,2021-05-26 20:00:00+00:00,0.0667908992442754,0.0326430667787524,0.0357214731875397,0.9517924975406725
2,2021-05-25 20:00:00+00:00,-0.0582898594538263,-0.0622446157222066,0.0009540988028721303,0.9517924975406725
3,2021-05-24 20:00:00+00:00,0.0825320691462774,0.0943300216439482,-0.007250537747281752,0.9517924975406725
4,2021-05-21 20:00:00+00:00,-0.1473956275001888,-0.1088085571403067,-0.04383245914581932,0.9517924975406725
0,2021-05-20 20:00:00+00:00,0.0387286746623478,0.0212907228088815,0.01862886720751223,0.9440641182201133
1,2021-05-19 20:00:00+00:00,-0.1976101721473888,-0.0904653208639313,-0.11220510877648188,0.9440641182201133
2,2021-05-18 20:00:00+00:00,-0.0014614662778079,-0.0196937896817927,0.01713073391254609,0.9440641182201133
3,2021-05-17 20:00:00+00:00,-0.1193843603924124,-0.1316446932912137,0.004896670897914512,0.9440641182201133
4,2021-05-14 20:00:00+00:00,0.0753034649567335,0.0368500039875044,0.0405146984358625,0.9440641182201133
0,2021-05-13 20:00:00+00:00,-0.1136181308521963,-0.1196032473721272,-0.00047977664336357195,0.9459471769760569
1,2021-05-12 20:00:00+00:00,-0.0270598938295139,-0.0423689719148536,0.013018915544719702,0.9459471769760569
2,2021-05-11 20:00:00+00:00,0.0312521765807985,0.0189470032696767,0.013329312325691702,0.9459471769760569
3,2021-05-10 20:00:00+00:00,-0.0180946108447551,-0.0359908941145356,0.015950873839734033,0.9459471769760569
4,2021-05-07 20:00:00+00:00,0.0194562772805041,0.0263839887033625,-0.005501582350809834,0.9459471769760569
0,2021-05-06 20:00:00+00:00,-0.0039942045609648,-0.0192018525217622,0.014297085917406027,0.9525794689674135
1,2021-05-05 20:00:00+00:00,0.0505723083235433,0.0504024053813606,0.0025600117706865155,0.9525794689674135
2,2021-05-04 20:00:00+00:00,-0.0259645935282926,-0.0593935613094369,0.030612493563934317,0.9525794689674135
3,2021-05-03 20:00:00+00:00,0.0523584489827092,0.0095123512143707,0.04329717851429243,0.9525794689674135
4,2021-04-30 20:00:00+00:00,0.0671242069348886,0.0820866754207396,-0.01106987474669996,0.9525794689674135
0,2021-04-29 20:00:00+00:00,-0.0318943327432566,-0.0494098012974383,0.01519299359383347,0.9529956628166274
1,2021-04-28 20:00:00+00:00,0.0197882830138463,0.0130118398563282,0.007388056065500996,0.9529956628166274
2,2021-04-27 20:00:00+00:00,0.0267467818309529,0.0118940102983315,0.015411841603146681,0.9529956628166274
3,2021-04-26 20:00:00+00:00,0.0664395730364184,0.0622769295215145,0.0070899293088783,0.9529956628166274
4,2021-04-23 20:00:00+00:00,-0.0567799972207189,-0.038809980592807,-0.01979425404177635,0.9529956628166274
0,2021-04-22 20:00:00+00:00,-0.0370962972867044,-0.0532982556894824,0.013794823381713936,0.9548365140673999
1,2021-04-21 20:00:00+00:00,-0.0063272780141828,-0.0196379597053674,0.012423762974286271,0.9548365140673999
2,2021-04-20 20:00:00+00:00,0.0202470681144586,0.0095938772214273,0.011086483831960323,0.9548365140673999
3,2021-04-19 20:00:00+00:00,-0.0971744530287832,-0.0983847957924487,-0.0032330575770884995,0.9548365140673999
4,2021-04-16 20:00:00+00:00,-0.0100021928601812,-0.0303926775383929,0.01901784541375244,0.9548365140673999
0,2021-04-15 20:00:00+00:00,0.0403712582075227,0.0223297272189313,0.019080968380308504,0.9534505109925454
1,2021-04-14 20:00:00+00:00,-0.0116274479623438,-0.0196825752526951,0.007138913469987575,0.9534505109925454
2,2021-04-13 20:00:00+00:00,0.0565705813157095,0.0501163725785027,0.008787100271643311,0.9534505109925454
3,2021-04-12 20:00:00+00:00,0.0479347796459251,0.030881808175611,0.018490503860515026,0.9534505109925454
4,2021-04-09 20:00:00+00:00,0.0128827957469162,0.0101963666970122,0.0031610647093825456,0.9534505109925454
0,2021-04-08 20:00:00+00:00,0.0402263442421,0.0325507191191601,0.009195588848684193,0.9533047574101179
1,2021-04-07 20:00:00+00:00,-0.0529620200971802,-0.0448583056182188,-0.010198383941975205,0.9533047574101179
2,2021-04-06 20:00:00+00:00,0.0015917736435035,-0.0193823945737203,0.02006910260063112,0.9533047574101179
3,2021-04-05 20:00:00+00:00,0.0284290219589141,0.0049767853219897,0.023684628834852475,0.9533047574101179
4,2021-04-02 20:00:00+00:00,0.0110551486555228,0.0,0.0110551486555228,0.9533047574101179
0,2021-04-01 20:00:00+00:00,0.0168709459748249,0.0038323799300737,0.013215720396243228,0.9537743243821284
1,2021-03-31 20:00:00+00:00,-0.0034321734490592,-0.0052449855910395,0.0015703591394284973,0.9537743243821284
2,2021-03-30 20:00:00+00:00,0.0269751742567495,0.0255669463819577,0.002590077244783693,0.9537743243821284
3,2021-03-29 20:00:00+00:00,0.0682567574128691,0.0714968252018487,6.492126050872127e-05,0.9537743243821284
4,2021-03-26 20:00:00+00:00,0.038956678384922,0.0418557125064962,-0.0009642255324940202,0.9537743243821284
0,2021-03-25 20:00:00+00:00,-0.0433284134945816,-0.0479674761149589,0.002556701900963722,0.956588069915895
1,2021-03-24 20:00:00+00:00,-0.0144498599440015,-0.0048083558280386,-0.00985024412298921,0.956588069915895
2,2021-03-23 20:00:00+00:00,-0.0120034343003685,-0.0142878829036679,0.0016641840296354894,0.956588069915895
3,2021-03-22 20:00:00+00:00,-0.0476732613979378,-0.0636012512021833,0.01316693673379471,0.956588069915895
