,Date,log return crix,log return future
528,2018-12-31,0.08024201199331929,-0.02015318752197109
529,2018-12-28,-0.07329434867127148,0.03959824464119441
530,2018-12-27,0.010538115602954088,-0.05325490353554393
531,2018-12-26,-0.04195332527593499,-0.07922404205270049
532,2018-12-24,0.002313867635504982,0.07524261675351551
533,2018-12-21,0.09971631094124245,-0.026145280104322245
534,2018-12-20,0.008179031915793052,0.04756510840514516
535,2018-12-19,0.05054516595845172,0.05564717871439149
536,2018-12-18,0.0983131762336523,-0.009964495259431829
537,2018-12-17,-0.021899258824933977,0.11548398079280149
538,2018-12-14,-0.04111813016445374,-0.022013467537178835
539,2018-12-13,0.017906192594621104,-0.06181319338493112
540,2018-12-12,-0.016583897541459898,0.02967576814611654
541,2018-12-11,-0.03636994070891879,-0.016430541396095927
542,2018-12-10,0.025039592043422557,0.022472855852058576
543,2018-12-07,-0.09465458318711478,-0.08701137698962981
544,2018-12-06,-0.052499562860450655,-0.028749413285985938
545,2018-12-05,0.010148841297584036,-0.03578910785158528
546,2018-12-04,-0.060355212750132135,0.010471299867295437
547,2018-12-03,-0.03410275672347088,-0.0336383591488298
548,2018-11-30,-0.010849143791053843,-0.06047493242164893
549,2018-11-29,0.09944593690723424,-0.026006193746924266
550,2018-11-28,0.0013611187502054916,0.14678773239956439
551,2018-11-27,-0.05176675436415959,0.02601104891326635
552,2018-11-26,-0.08457514504528042,-0.14679258756590646
553,2018-11-23,-0.017066376060086777,-0.04679216150675894
554,2018-11-21,-0.1952846877884673,0.03488725900044054
555,2018-11-20,-0.052978834509008484,-0.1307167844409517
556,2018-11-19,-0.013776685081812257,-0.11928185417643437
557,2018-11-16,-0.01190646625376815,0.00369344833535173
558,2018-11-15,-0.10281037709518136,0.009293747191459477
559,2018-11-14,-0.008585187582773058,-0.1593392765803952
560,2018-11-13,-0.0014857896933550517,-0.00634922767865878
561,2018-11-12,-0.010310417770980495,-0.001581027997318818
562,2018-11-09,-0.023083297639247605,-0.012559034776493797
563,2018-11-08,0.002251824825083649,-0.01394290596901275
564,2018-11-07,0.033626349957936855,0.013942905969012667
565,2018-11-06,0.016302751786552137,0.003907781448076
566,2018-11-05,0.018598789313747303,0.006284388318151639
567,2018-11-02,0.004309258115590376,0.006324131749468081
568,2018-11-01,0.0072609631749800015,0.002381898704533674
569,2018-10-31,0.00816141124732841,0.007179927134808231
570,2018-10-30,-0.0367439518512676,0.0016025644455411972
571,2018-10-29,0.003099694239098815,-0.02455568925744368
572,2018-10-26,-0.002249678520061996,-0.0015637219761827587
573,2018-10-25,0.0008766190950106233,-0.00234100770197359
574,2018-10-24,-0.007038091689435562,0.0031225630367936745
575,2018-10-23,-0.0036354863941624503,0.0015649455463035084
576,2018-10-22,0.0039984057001504906,0.0007833921278040774
577,2018-10-19,-0.02180724300904357,-0.000783392127804156
578,2018-10-18,0.000768294245253366,-0.005466628217367221
579,2018-10-17,0.003243210261560591,0.0
580,2018-10-16,0.05906705902093813,0.006250020345171326
581,2018-10-15,0.019235591424015545,0.032659214842657686
582,2018-10-12,-0.0935403450795844,0.0016207458977333445
583,2018-10-11,-0.010795319162482078,-0.05828421045987767
584,2018-10-10,-0.007284762976868582,-0.006862398261040529
585,2018-10-09,0.013670378607465122,-0.007570058860545279
586,2018-10-08,-0.004057625620811397,0.013667638728663835
587,2018-10-05,0.008982949369770264,-0.0022909517465558244
588,2018-10-04,-0.005109949476732097,0.022368846283084436
589,2018-10-03,-0.024978350748067295,-0.01471184103188987
590,2018-10-02,-0.003287657248636346,-0.004601235111716705
591,2018-10-01,-0.0021006928728628314,-0.01714371047696178
592,2018-09-28,0.04648366384420295,-0.0010523942939278657
593,2018-09-27,0.0025853012514758756,0.025876634078667676
594,2018-09-26,-0.015913300352853026,0.02024991312698988
595,2018-09-25,-0.046223526017745216,-0.03934174922217759
596,2018-09-24,0.07135301984877322,-0.019476271060620803
597,2018-09-21,0.05896867975436218,0.05176193455858958
598,2018-09-20,0.004038287638081702,0.003913899321136315
599,2018-09-19,0.0369154097644998,0.015810606026642245
600,2018-09-18,-0.054276802191016,0.007197152218485809
601,2018-09-17,0.005202871850986831,-0.046264620409395336
602,2018-09-14,0.046995544063913056,0.013889112160667093
603,2018-09-13,0.0033932062800647532,0.02279077033574093
604,2018-09-12,-0.015067741503453719,0.00958473791298731
605,2018-09-11,-0.00012036343176626011,-0.005602255548669898
606,2018-09-10,-0.058344190118963545,-0.01975568004141176
607,2018-09-07,-0.023126357212265008,-0.006240269860084623
608,2018-09-06,-0.11935391285584433,-0.07054687335368569
609,2018-09-05,0.007845599759479302,-0.06317890162153156
610,2018-09-04,0.037537154541348386,0.042382167874101685
611,2018-08-31,-0.00895102160755186,0.034660509247214207
612,2018-08-30,-0.011768788924378833,-0.027537972014015078
613,2018-08-29,0.03491090165459727,-0.012078299588183938
614,2018-08-28,0.0397274551603376,0.05293007773042741
615,2018-08-27,0.015218696173007838,0.018032043805922965
616,2018-08-24,0.028565030649634914,0.03079535113847194
617,2018-08-23,-0.028944976714636254,-0.001562500317891557
618,2018-08-22,0.03557889934117634,-0.002339182353172266
619,2018-08-21,-0.05611633475572661,-0.0015564205476581953
620,2018-08-20,0.049297428245249214,-0.007745972114655341
621,2018-08-17,0.011037821502601268,0.010861239431604634
622,2018-08-16,0.010490918651154613,0.0062598013485067345
623,2018-08-15,-0.0187146866214174,0.04741748035745976
624,2018-08-14,-0.0375118988798573,-0.025194343572749602
625,2018-08-13,-0.06772006971582058,-0.026140102231444213
