Date,Gumbel
2019-05-01,-0.008613144529003209
2019-05-02,-0.0017049135750363924
2019-05-03,0.015554583922232294
2019-05-06,-0.031309769776072825
2019-05-07,0.016691283686435344
2019-05-08,-0.009066790445369826
2019-05-09,-0.00279398817314545
2019-05-10,-0.010041872800098217
2019-05-13,-0.055581520837524684
2019-05-14,0.10389092480911039
2019-05-15,-0.06496787601626314
2019-05-16,0.03586213787921029
2019-05-17,-0.014278953728480676
2019-05-20,-0.005742988046535211
2019-05-21,-0.0017760020697264178
2019-05-22,0.004864117120429417
2019-05-23,-0.0034567146081836628
2019-05-24,0.006589527332368818
2019-05-28,0.01231704864959024
2019-05-29,0.00544630602128764
2019-05-30,0.008468754685926753
2019-05-31,-0.012489508642816474
2019-06-03,-0.021099743048441706
2019-06-04,0.06312567447047743
2019-06-05,-0.056743747043972115
2019-06-06,0.022677534476594978
2019-06-07,-0.014861476492787552
2019-06-10,-0.0013174611957866
2019-06-11,-0.009281744649066196
2019-06-12,-0.007561599871832938
2019-06-13,0.00854541270821939
2019-06-14,0.011229241669586665
2019-06-17,-0.000430609254103001
2019-06-18,0.00846822438087787
2019-06-19,-0.014755397873683783
2019-06-20,-0.017879978628937643
2019-06-21,0.011144535734777528
2019-06-24,0.01561088170846922
2019-06-25,-0.0005856505087541153
2019-06-26,-0.06911663563766468
2019-06-27,0.11691742571530965
2019-06-28,-0.060564327668765024
2019-07-01,-0.004578382433638811
2019-07-02,-0.07884684161357994
2019-07-03,0.07822882902709702
2019-07-05,0.002614043669423907
2019-07-08,-0.039994888346503485
2019-07-09,0.01677670518333082
2019-07-10,0.07422481304920019
2019-07-11,-0.05038902922862156
2019-07-12,-0.0026465792636922
2019-07-15,-0.040569246927334685
2019-07-16,0.09577682070768773
2019-07-17,-0.08909100000872694
2019-07-18,-0.05497006785025019
2019-07-19,0.0692112413545032
2019-07-22,0.034521008516228045
2019-07-23,-0.0454909336458799
2019-07-24,0.0313360756223723
2019-07-25,-0.0013805120034222663
2019-07-26,-0.013123948775932235
2019-07-29,-0.0024324788190832544
2019-07-30,-0.015650133067124674
2019-07-31,0.007185604345426207
2019-08-01,-0.026315809479410007
2019-08-02,0.03873829036036602
2019-08-05,0.004935167797152126
2019-08-06,0.0021938849995016396
2019-08-07,0.022914583573991735
2019-08-08,-0.01629320371172123
2019-08-09,-0.014855307264376491
2019-08-12,-0.0024701557404792004
2019-08-13,0.014958104434466796
2019-08-14,0.023268388103356144
2019-08-15,-0.04243202551909388
2019-08-16,-0.0242679608930934
2019-08-19,0.03864708455927076
2019-08-20,-0.011588863882747656
2019-08-21,-0.0030947956041876765
2019-08-22,0.002573468908293748
2019-08-23,0.006235418379379135
2019-08-26,0.0042857084776556165
2019-08-27,-0.0018402383474458005
2019-08-28,0.05050193974157893
2019-08-29,-0.06341581616953011
2019-08-30,0.008219222788240839
2019-09-03,0.001329724567788626
2019-09-04,-0.029798240675283378
2019-09-05,0.031445730614389225
2019-09-06,0.043204428024780944
2019-09-09,-0.04303147030460361
2019-09-10,0.015218121621606734
2019-09-11,-0.025551075871119794
2019-09-12,0.0037086911975355435
2019-09-13,0.012576488288084007
2019-09-16,-0.004649468194757211
2019-09-17,-0.009635715953235893
2019-09-18,0.007330540130335447
2019-09-19,-0.027265416784382664
2019-09-20,0.028538692984394588
2019-09-23,0.0023138687820534465
2019-09-24,0.1067197807189933
2019-09-25,-0.12253332489440112
2019-09-26,0.0036161527190467953
2019-09-27,-0.015837748311927177
2019-09-30,-0.018799658876589593
2019-10-01,0.026555931678050922
2019-10-02,-0.009331783754097945
2019-10-03,0.0015806227963625612
2019-10-04,-0.004903371548129555
2019-10-07,-0.0046113366434837166
2019-10-08,0.014367818106518965
2019-10-09,-0.028963660860507424
2019-10-10,0.020050622854609894
2019-10-11,0.004259594301841949
2019-10-14,-0.0055704344498536
2019-10-15,0.0226161110075856
2019-10-16,-0.015104706031777382
2019-10-17,-0.002261371383984672
2019-10-18,-0.005032972071960977
2019-10-21,0.012690693867777658
2019-10-22,0.0018290352971091941
2019-10-23,-0.014116029305446282
2019-10-24,-0.0007152498442226931
2019-10-25,0.002604033277910981
2019-10-28,-0.00237074599120779
2019-10-29,0.01848472458681372
2019-10-30,-0.026372686281119623
2019-10-31,0.015631148698419493
2019-11-01,-0.0040241258175887935
2019-11-04,-0.014222668819833036
2019-11-05,0.020174462857241487
2019-11-06,0.0037183555343332985
2019-11-07,-0.0015550839319606134
2019-11-08,-0.01349871348887191
2019-11-11,0.005926668270116865
2019-11-12,-0.016028596716891802
2019-11-13,0.014380159387656055
2019-11-14,-0.0023440479996891667
2019-11-15,-0.00011073972188199027
2019-11-18,0.027982103963114926
2019-11-19,-0.02923826391881847
2019-11-20,0.0028609037218794
2019-11-21,-0.005676340891700146
2019-11-22,-0.034524930818981656
2019-11-25,0.03813869183284754
2019-11-26,-0.014834537555153135
2019-11-27,-0.028269571900836586
2019-11-29,0.04277792441097453
2019-12-02,-0.009362889215911337
2019-12-03,0.0035740263254256327
2019-12-04,0.03162174910995623
2019-12-05,-0.03942813759860314
2019-12-06,0.0007118824016354806
2019-12-09,0.03087960506986613
2019-12-10,-0.019234377738404605
2019-12-11,-0.006308870182470972
2019-12-12,-0.014231436455549447
2019-12-13,0.0110363627766432
2019-12-16,0.028985131778804792
2019-12-17,-0.015612123191247308
2019-12-18,-0.061174898644664764
2019-12-19,0.04578003632958991
2019-12-20,-0.0037613332517161873
2019-12-23,0.033742909538021656
2019-12-24,-0.019530620864678775
2019-12-26,-0.010331137429519818
