Date,Gauss Mix Indep
2019-05-01,-0.0039960596595397125
2019-05-02,0.0041425410025243935
2019-05-03,0.03314141145187024
2019-05-06,-0.026746423887095937
2019-05-07,0.022683936710312297
2019-05-08,-0.005771397982139928
2019-05-09,0.006910956740729165
2019-05-10,0.006945600019913789
2019-05-13,0.022656250749848922
2019-05-14,0.09628536108989041
2019-05-15,-0.0520129569801491
2019-05-16,0.025734013662776993
2019-05-17,-0.035798408507677945
2019-05-20,0.015035893274854363
2019-05-21,0.004083681986155368
2019-05-22,0.0018721348025455145
2019-05-23,-0.007709334799657989
2019-05-24,0.014872549989985273
2019-05-28,0.030002325363295557
2019-05-29,0.0050335054554742345
2019-05-30,0.0059586763730167126
2019-05-31,-0.019996323118804008
2019-06-03,-0.012873689403501854
2019-06-04,0.02434095891336121
2019-06-05,-0.048311944071949754
2019-06-06,0.013111034415323687
2019-06-07,0.001957581604169076
2019-06-10,-0.0013174611957866
2019-06-11,-0.012991618161148601
2019-06-12,0.003644959445952216
2019-06-13,0.012310667449435039
2019-06-14,0.017618975242298433
2019-06-17,0.03597163821349901
2019-06-18,-0.0014110717863974678
2019-06-19,-0.011181120457457297
2019-06-20,-0.0031771577147719707
2019-06-21,0.023227037870595546
2019-06-24,0.04640146495704011
2019-06-25,0.012416065059897521
2019-06-26,-0.0027475946143311614
2019-06-27,0.06046836035181978
2019-06-28,-0.0421246817347038
2019-07-01,-0.03338837787720021
2019-07-02,-0.06564239073491712
2019-07-03,0.08602321207265909
2019-07-05,0.00032989830951064836
2019-07-08,-0.010211549856315422
2019-07-09,0.024385455018938722
2019-07-10,0.062305326152017705
2019-07-11,-0.06408909533321412
2019-07-12,-0.0026465792636922
2019-07-15,-0.06191388621115697
2019-07-16,0.06206303502413785
2019-07-17,-0.08712996523539213
2019-07-18,-0.03310000080795299
2019-07-19,0.06644273248213473
2019-07-22,0.02464006134309066
2019-07-23,-0.04533170992684176
2019-07-24,0.014677135873601126
2019-07-25,0.006075088591272985
2019-07-26,-0.016559660714124094
2019-07-29,-0.010417314519725728
2019-07-30,-0.008614714305405266
2019-07-31,0.01984359757080927
2019-08-01,-0.01554512697228975
2019-08-02,0.04332287657106148
2019-08-05,0.04241869466520122
2019-08-06,2.5858680014131073e-05
2019-08-07,0.02440666997782114
2019-08-08,-0.021614855433501036
2019-08-09,-0.007844237868628572
2019-08-12,-0.01311457953287103
2019-08-13,-0.0028036998682979403
2019-08-14,-0.0009122377676477333
2019-08-15,-0.04339280200163076
2019-08-16,-0.013296077048079506
2019-08-19,0.04501161732008224
2019-08-20,-0.01076876867212681
2019-08-21,-0.021687179011878055
2019-08-22,0.004602032983087688
2019-08-23,0.013783233651564693
2019-08-26,0.0007426991865744541
2019-08-27,-0.006401901080320719
2019-08-28,0.03562558887279829
2019-08-29,-0.06755814682193119
2019-08-30,0.010509157004143345
2019-09-03,0.034377082554195776
2019-09-04,-0.02890310650232109
2019-09-05,0.026030960119874984
2019-09-06,0.0388743490462553
2019-09-09,-0.04547284486434201
2019-09-10,0.006643694087470479
2019-09-11,-0.023731523430428284
2019-09-12,0.011551227042453194
2019-09-13,0.008613634242453965
2019-09-16,-0.008348583831957053
2019-09-17,-0.004807831270511292
2019-09-18,0.004500343398344682
2019-09-19,-0.02869093229746422
2019-09-20,0.02925232593552401
2019-09-23,-0.00828614477878661
2019-09-24,0.062366965817988625
2019-09-25,-0.1235461958246267
2019-09-26,-0.003404091653113483
2019-09-27,-0.020769632185135403
2019-09-30,-0.006631157323376116
2019-10-01,0.026195435873952504
2019-10-02,-0.01132228375459019
2019-10-03,-0.0024404021727020657
2019-10-04,-0.0025208087940361444
2019-10-07,-0.0035194579722792278
2019-10-08,0.01126377831510762
2019-10-09,-0.012015516552038225
2019-10-10,0.018311045217631872
2019-10-11,-0.004233783062833403
2019-10-14,-0.0055704344498536
2019-10-15,0.015553245015721435
2019-10-16,-0.023714983967745847
2019-10-17,0.0020731459952064504
2019-10-18,-0.008970971878509027
2019-10-21,0.022246937157391053
2019-10-22,0.0002884854992428092
2019-10-23,-0.04194889413613475
2019-10-24,-8.330634825825254e-05
2019-10-25,0.010418787704836252
2019-10-28,0.0664854436190001
2019-10-29,0.01121348801281179
2019-10-30,-0.027915799920230588
2019-10-31,0.016831993406932873
2019-11-01,-0.006430357754458319
2019-11-04,-0.0038748223814173317
2019-11-05,0.015672363036020334
2019-11-06,0.0018351123056134827
2019-11-07,-0.0059966877713719755
2019-11-08,-0.025736559060110537
2019-11-11,0.002855808648109015
2019-11-12,-0.013279428305659174
2019-11-13,0.012766222024948155
2019-11-14,-0.00592728555705955
2019-11-15,-0.005738833780144182
2019-11-18,0.016945937204398045
2019-11-19,-0.032817317643150844
2019-11-20,0.0028609037218794
2019-11-21,-0.026446746329655338
2019-11-22,-0.04483187327789291
2019-11-25,0.031530793871328094
2019-11-26,-0.016866999467485683
2019-11-27,-0.010278571088608648
2019-11-29,0.05057042706082762
2019-12-02,-0.026308123232884888
2019-12-03,0.0037580925591239912
2019-12-04,0.027169167179273354
2019-12-05,-0.032047427401003845
2019-12-06,0.002164128843298391
2019-12-09,0.025762211657110776
2019-12-10,-0.02361114698531783
2019-12-11,-0.007992986750793574
2019-12-12,-0.010455255719407506
2019-12-13,0.0110363627766432
2019-12-16,0.01160882581275292
2019-12-17,-0.027820920964851226
2019-12-18,-0.03745102005338329
2019-12-19,0.04700927764345773
2019-12-20,-0.0011155398267538785
2019-12-23,0.04094742217590899
2019-12-24,-0.026679638703037287
2019-12-26,-0.009711625105032855
