Date,Frank
2019-05-01,-0.005145137305623852
2019-05-02,0.002687254922338426
2019-05-03,0.028764487277593072
2019-05-06,-0.027882127236855375
2019-05-07,0.021192514346383414
2019-05-08,-0.006652181479805869
2019-05-09,0.004317045568910896
2019-05-10,0.0024052346783452333
2019-05-13,0.001745072831824901
2019-05-14,0.09831815538953205
2019-05-15,-0.05696678765559396
2019-05-16,0.029606906444909976
2019-05-17,-0.02756958554808553
2019-05-20,0.007090258153216095
2019-05-21,0.001842997768560322
2019-05-22,0.0029146288455780935
2019-05-23,-0.006227597694999044
2019-05-24,0.011986502927723155
2019-05-28,0.0238402583239221
2019-05-29,0.005177337231567522
2019-05-30,0.006622923025363265
2019-05-31,-0.018009780962005544
2019-06-03,-0.01505056514780469
2019-06-04,0.034604629707425
2019-06-05,-0.05054326764006517
2019-06-06,0.01648861786943702
2019-06-07,-0.003980616480627926
2019-06-10,-0.0013174611957866
2019-06-11,-0.01168179666833426
2019-06-12,-0.00031166931972624254
2019-06-13,0.011056293631964897
2019-06-14,0.015490270799944599
2019-06-17,0.023844430558569857
2019-06-18,0.0018801611577146556
2019-06-19,-0.012371871234081191
2019-06-20,-0.007421004735078576
2019-06-21,0.019739524080807324
2019-06-24,0.037514019089624734
2019-06-25,0.008663227954894444
2019-06-26,-0.021904466525632937
2019-06-27,0.08196131794762894
2019-06-28,-0.04914556907075607
2019-07-01,-0.022418984382079316
2019-07-02,-0.07066997978326658
2019-07-03,0.08305550404764525
2019-07-05,0.0012759463235138624
2019-07-08,-0.022547221974003204
2019-07-09,0.021234060717440547
2019-07-10,0.06724214282967654
2019-07-11,-0.0584147978224573
2019-07-12,-0.0026465792636922
2019-07-15,-0.05147511202560064
2019-07-16,0.07855104360611267
2019-07-17,-0.08808902567659532
2019-07-18,-0.04379573982897035
2019-07-19,0.06784079181296813
2019-07-22,0.029629805291810085
2019-07-23,-0.04541211573962893
2019-07-24,0.02308967389723263
2019-07-25,0.002310111681712461
2019-07-26,-0.014590596855898922
2019-07-29,-0.005841071902518518
2019-07-30,-0.012646830227926877
2019-07-31,0.012589090375168751
2019-08-01,-0.021717984893652616
2019-08-02,0.04097351970292125
2019-08-05,0.023210378528811748
2019-08-06,0.0011368569882396675
2019-08-07,0.02364205496577984
2019-08-08,-0.018887791648933845
2019-08-09,-0.01137822145043478
2019-08-12,-0.007749175655551797
2019-08-13,0.006149274527775535
2019-08-14,0.011276193126753674
2019-08-15,-0.04290851520835924
2019-08-16,-0.018676379982702853
2019-08-19,0.04189062964155682
2019-08-20,-0.011170920274413326
2019-08-21,-0.01256999763964741
2019-08-22,0.003607282273104072
2019-08-23,0.010294222869075609
2019-08-26,0.0023804708030307946
2019-08-27,-0.004293252433376471
2019-08-28,0.042502247443992655
2019-08-29,-0.06564333627216565
2019-08-30,0.009426025394786
2019-09-03,0.01874578721293721
2019-09-04,-0.029326502122430327
2019-09-05,0.02859212936189725
2019-09-06,0.04092246264711105
2019-09-09,-0.04427874012807176
2019-09-10,0.010837546476271992
2019-09-11,-0.024621487724786555
2019-09-12,0.0077153514045138726
2019-09-13,0.01055191231869541
2019-09-16,-0.00652765308591958
2019-09-17,-0.0071844111126465856
2019-09-18,0.00589353916513556
2019-09-19,-0.027989206457747422
2019-09-20,0.028901032191411512
2019-09-23,-0.0024290141874234
2019-09-24,0.08687450323562534
2019-09-25,-0.12298652509623788
2019-09-26,0.0004750060324716192
2019-09-27,-0.018044476435001677
2019-09-30,-0.012784659734838541
2019-10-01,0.02637773537813886
2019-10-02,-0.010315705705560778
2019-10-03,-0.0004070058062319859
2019-10-04,-0.003725649471309398
2019-10-07,-0.0040890410498662
2019-10-08,0.012883013660545905
2019-10-09,-0.020856586946752534
2019-10-10,0.019218503170884492
2019-10-11,0.00019682277832905326
2019-10-14,-0.0055704344498536
2019-10-15,0.019309902530898718
2019-10-16,-0.019135275765270982
2019-10-17,-0.00023233414641904253
2019-10-18,-0.006876394891620622
2019-10-21,0.018561211353311537
2019-10-22,0.0008826566573418328
2019-10-23,-0.031214099615004903
2019-10-24,-0.0003270392021850581
2019-10-25,0.007404732791105782
2019-10-28,0.03253214632116849
2019-10-29,0.014798967524785161
2019-10-30,-0.02715488363297054
2019-10-31,0.01623985147129143
2019-11-01,-0.005243833946176656
2019-11-04,-0.00461199500708313
2019-11-05,0.015993089166425424
2019-11-06,0.0019692731055388508
2019-11-07,-0.005680271328206487
2019-11-08,-0.02486474434910447
2019-11-11,0.002927518282139419
2019-11-12,-0.013343625919657738
2019-11-13,0.012803910122703698
2019-11-14,-0.0058436110536594175
2019-11-15,-0.005607408506805642
2019-11-18,0.01824699149975361
2019-11-19,-0.03239538280624989
2019-11-20,0.0028609037218794
2019-11-21,-0.0239981221105637
2019-11-22,-0.04361678727463391
2019-11-25,0.0320555125519871
2019-11-26,-0.01670560612586035
2019-11-27,-0.011707196994290278
2019-11-29,0.04995164152066432
2019-12-02,-0.024962539374201925
2019-12-03,0.0037483768432454807
2019-12-04,0.02740419138819588
2019-12-05,-0.03243700935648089
2019-12-06,0.002087473752740624
2019-12-09,0.026032327144551948
2019-12-10,-0.023124368974297503
2019-12-11,-0.0078056817165990874
2019-12-12,-0.010875237135902983
2019-12-13,0.0110363627766432
2019-12-16,0.013541393690988859
2019-12-17,-0.026473883610496927
2019-12-18,-0.04006855465795468
2019-12-19,0.046873651351827646
2019-12-20,-0.0014074590346413868
2019-12-23,0.04015252428152876
2019-12-24,-0.025923425258823074
2019-12-26,-0.009777156281374278
2019-12-27,0.0028101030185075735
