,Date,rs,rf,rh,h
2,2021-05-04 20:00:00+00:00,-0.0379611366837664,-0.0593935613094369,0.019190540601221655,0.9622537531843096
3,2021-05-03 20:00:00+00:00,0.0351895867189485,0.0095123512143707,0.026036291061312968,0.9622537531843096
4,2021-04-30 20:00:00+00:00,0.0634944241877102,0.0820866754207396,-0.015493787322318694,0.9622537531843096
0,2021-04-29 20:00:00+00:00,-0.0327748717605493,-0.0494098012974383,0.014807919700931226,0.963023331647106
1,2021-04-28 20:00:00+00:00,0.0175844551527227,0.0130118398563282,0.005053749783422918,0.963023331647106
2,2021-04-27 20:00:00+00:00,0.0239483040260528,0.0118940102983315,0.012494094601908609,0.963023331647106
3,2021-04-26 20:00:00+00:00,0.0573745152861067,0.0622769295215145,-0.002599620866454204,0.963023331647106
4,2021-04-23 20:00:00+00:00,-0.0451840218977691,-0.038809980592807,-0.007809105086124576,0.963023331647106
0,2021-04-22 20:00:00+00:00,-0.032980359917207,-0.0532982556894824,0.018404956933784057,0.9641087909211102
1,2021-04-21 20:00:00+00:00,-0.0065570708621643,-0.0196379597053674,0.012376058725534947,0.9641087909211102
2,2021-04-20 20:00:00+00:00,0.0278162920594261,0.0095938772214273,0.018566750691230243,0.9641087909211102
3,2021-04-19 20:00:00+00:00,-0.0989360845207131,-0.0983847957924487,-0.0040824380042350505,0.9641087909211102
4,2021-04-16 20:00:00+00:00,-0.0281014378275794,-0.0303926775383929,0.0012004097668157632,0.9641087909211102
0,2021-04-15 20:00:00+00:00,0.0289433869857805,0.0223297272189313,0.007417679291395807,0.9639933118455225
1,2021-04-14 20:00:00+00:00,-0.0105858249896476,-0.0196825752526951,0.008388045913846672,0.9639933118455225
2,2021-04-13 20:00:00+00:00,0.0474378074345631,0.0501163725785027,-0.0008740405450718483,0.9639933118455225
3,2021-04-12 20:00:00+00:00,0.0422397528371779,0.030881808175611,0.01246989629819252,0.9639933118455225
4,2021-04-09 20:00:00+00:00,0.0110595770682762,0.0101963666970122,0.001230347767232019,0.9639933118455225
0,2021-04-08 20:00:00+00:00,0.0330759552926323,0.0325507191191601,0.001687079187374381,0.9643066867540173
1,2021-04-07 20:00:00+00:00,-0.0442136659474267,-0.0448583056182188,-0.0009565018833230104,0.9643066867540173
2,2021-04-06 20:00:00+00:00,-0.0056311615626738,-0.0193823945737203,0.013059411130069469,0.9643066867540173
3,2021-04-05 20:00:00+00:00,0.0118885134134479,0.0049767853219897,0.007089366048913988,0.9643066867540173
4,2021-04-02 20:00:00+00:00,0.0080674509450727,0.0,0.0080674509450727,0.9643066867540173
0,2021-04-01 20:00:00+00:00,-0.0101702926054979,0.0038323799300737,-0.01387163835712132,0.9658086669794876
1,2021-03-31 20:00:00+00:00,-0.0027676264860859,-0.0052449855910395,0.0022980260559225803,0.9658086669794876
2,2021-03-30 20:00:00+00:00,0.0257233530873528,0.0255669463819577,0.0010305746834581957,0.9658086669794876
3,2021-03-29 20:00:00+00:00,0.0712012331124402,0.0714968252018487,0.002148979670977269,0.9658086669794876
4,2021-03-26 20:00:00+00:00,0.0336132526958043,0.0418557125064962,-0.006811357205571467,0.9658086669794876
0,2021-03-25 20:00:00+00:00,-0.0434308101483539,-0.0479674761149589,0.002789110414562909,0.963567906974011
1,2021-03-24 20:00:00+00:00,-0.0122820620576211,-0.0048083558280386,-0.007648884696411659,0.963567906974011
2,2021-03-23 20:00:00+00:00,-0.0124822224564021,-0.0142878829036679,0.0012851229681749322,0.963567906974011
3,2021-03-22 20:00:00+00:00,-0.0566505480831415,-0.0636012512021833,0.004633576418674554,0.963567906974011
4,2021-03-19 20:00:00+00:00,0.0291155874487288,0.0283622645270892,0.0017866195813182224,0.963567906974011
0,2021-03-18 20:00:00+00:00,-0.0135188214106275,-0.011305361932194,-0.0026261451503090654,0.963496465274555
1,2021-03-17 20:00:00+00:00,0.0344191568147982,0.0363361023100918,-0.000590549322829842,0.963496465274555
2,2021-03-16 20:00:00+00:00,-0.009323667718586,-0.0182897244442532,0.008298417134297582,0.963496465274555
3,2021-03-15 20:00:00+00:00,0.0027094561167466,-0.0032897614294294,0.005879129625598395,0.963496465274555
4,2021-03-12 21:00:00+00:00,-0.0218602261070897,-0.013137182884106,-0.009202596834588187,0.963496465274555
0,2021-03-11 21:00:00+00:00,0.0166450995450082,0.023301019674112,-0.0058323971781526485,0.9646572140417482
1,2021-03-10 21:00:00+00:00,0.0226232390204347,0.0346454973628053,-0.01079778994465979,0.9646572140417482
2,2021-03-09 21:00:00+00:00,0.0501840430487948,0.0483337917797217,0.0035585021264945144,0.9646572140417482
3,2021-03-08 21:00:00+00:00,0.0645261633231527,0.0515879268357054,0.01476149754363159,0.9646572140417482
4,2021-03-05 21:00:00+00:00,0.0156874659176989,0.0242656734751404,-0.007720591053676784,0.9646572140417482
0,2021-03-04 21:00:00+00:00,-0.0449182122536322,-0.0531133543997916,0.006189138002445499,0.9622316427500619
1,2021-03-03 21:00:00+00:00,0.061010631614061,0.0615409479591307,0.001793984162950596,0.9622316427500619
2,2021-03-02 21:00:00+00:00,-0.023858062897603,-0.0186099440328838,-0.005950985879354512,0.9622316427500619
3,2021-03-01 21:00:00+00:00,0.0703462691653522,0.050914798291937,0.02135443916461361,0.9622316427500619
4,2021-02-26 21:00:00+00:00,-0.0600669714892439,-0.0521297422502328,-0.009906083967665083,0.9622316427500619
0,2021-02-25 21:00:00+00:00,-0.0001211277173874,-0.0080621216686723,0.007635154542151697,0.962064649765628
1,2021-02-24 21:00:00+00:00,0.0315401290818644,0.0332683741935688,-0.00046619768494322866,0.962064649765628
2,2021-02-23 21:00:00+00:00,-0.1243208243320721,-0.1259014453192968,-0.0031954944359764564,0.962064649765628
3,2021-02-22 21:00:00+00:00,-0.0315455268484266,-0.0349714274618358,0.002099247264448524,0.962064649765628
4,2021-02-19 21:00:00+00:00,0.0515711630685854,0.0624263145681362,-0.00848698739256748,0.962064649765628
0,2021-02-18 21:00:00+00:00,0.0070860458296443,-0.0066545069594993,0.01349494476982199,0.9630914775780638
1,2021-02-17 21:00:00+00:00,0.0640022129104629,0.0758556271095416,-0.009053695085076155,0.9630914775780638
2,2021-02-16 21:00:00+00:00,0.0088434677647837,0.0186141772776606,-0.009083687733458466,0.9630914775780638
3,2021-02-12 21:00:00+00:00,0.0206779031572914,0.0104237488526126,0.010638879472926082,0.9630914775780638
4,2021-02-11 21:00:00+00:00,0.0517031141649239,0.0560056759601402,-0.002235475048285772,0.9630914775780638
0,2021-02-10 21:00:00+00:00,0.1386143246706113,0.1696308651151574,-0.02548743338084805,0.9674050647566732
1,2021-02-05 21:00:00+00:00,0.0297738549664722,0.017574222799236,0.012772462821329093,0.9674050647566732
2,2021-02-03 21:00:00+00:00,0.0409946614959645,0.0337738121182165,0.008321704596661553,0.9674050647566732
3,2021-02-02 21:00:00+00:00,0.0707674007158798,0.0641462802053941,0.008711964359880808,0.9674050647566732
4,2021-02-01 21:00:00+00:00,0.0617809689392834,0.04400083418123,0.01921433909884295,0.9674050647566732
0,2021-01-28 21:00:00+00:00,0.0297392583642785,0.0358594882577093,-0.004983688308833202,0.96830569425783
1,2021-01-27 21:00:00+00:00,-0.0191226269728139,-0.0208031276297632,0.0010211599694582019,0.96830569425783
2,2021-01-26 21:00:00+00:00,-0.0397512806903203,-0.0461329438282408,0.004919511511441876,0.96830569425783
3,2021-01-25 21:00:00+00:00,0.0166451683867321,-0.0035413936967586,0.02007432006891224,0.96830569425783
4,2021-01-22 21:00:00+00:00,0.0446044907779851,0.0499839829834265,-0.0037952845665532656,0.96830569425783
