,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,0.00011557984794549153,1.8183710477399835e-05,4.250212174117156e-05,1.6017390606279806e-05,2.3589720249124845e-05,1.6341272306203954e-05
Frank,0.00024548150780130245,0.0004548611856282966,0.0002561182877480798,0.00014647508737571815,0.0003783335656605376,0.00038075589264029
Gauss Mix Indep,1.5824529809768814e-05,1.5911394882643485e-05,1.696648783759552e-05,1.602911017151429e-05,1.5993691822771743e-05,1.5906772293433506e-05
Gaussian,1.547884634506486e-05,1.5644868740445746e-05,1.6418719556302835e-05,1.5772726429083808e-05,1.5553411660603082e-05,1.5613679387178535e-05
Gumbel,1.5404679725530263e-05,1.91439676416819e-05,2.5267278879069323e-05,1.6556171434151518e-05,2.052233549097981e-05,1.7615828295941363e-05
NIG,1.5000675906394594e-05,1.532514240327442e-05,2.901359875768188e-05,1.577633278315328e-05,1.8146341623854977e-05,1.4895969636413312e-05
Plackett,1.5358475303389025e-05,1.563243957093915e-05,1.8929837820452966e-05,1.552834665505038e-05,1.58962638814051e-05,1.5575761276719956e-05
rotGumbel,1.5525103750549562e-05,1.6238165841929063e-05,1.8512434243012166e-05,1.5756157394554742e-05,1.5691073580610378e-05,1.5800847773332077e-05
t_Copula,1.5327302097219213e-05,1.559032774197934e-05,1.6245849815294982e-05,1.587223118991015e-05,1.572557626361869e-05,1.557161847038049e-05
