,Variance,ES q=0.05,ES q=0.01,VaR q=0.05,VaR q=0.01,ERM k=10
Clayton,8.409846492207822e-05,8.437540270348352e-05,0.00011313277165612905,8.112355513012873e-05,8.895346934658115e-05,8.10146375248975e-05
Frank,0.0002384701438480588,0.0004119084025967997,0.0002320346249628188,0.0001863682651937973,0.00035478519680206064,0.0003151972377629705
Gauss Mix Indep,8.099702560140794e-05,7.946615723347425e-05,8.857274584533912e-05,8.235211088651876e-05,8.36397647631237e-05,8.021881907539683e-05
Gaussian,8.002266175166106e-05,7.974659264148548e-05,7.962179829462562e-05,8.231557586485588e-05,8.016550038221673e-05,8.016889223762631e-05
Gumbel,8.006165716326634e-05,8.246332832651321e-05,9.038078509352217e-05,8.405107436564846e-05,8.312602372169218e-05,8.112269498246379e-05
NIG,8.045199343366733e-05,8.012730841096284e-05,9.120179556912862e-05,7.913167247779986e-05,9.09196997275931e-05,7.876154884606902e-05
Plackett,8.157358656754326e-05,8.048886861897841e-05,8.28352176940794e-05,8.157822413024195e-05,8.34929121319211e-05,8.067072158380018e-05
rotGumbel,8.002042921367527e-05,8.413389314352431e-05,8.971987361191827e-05,8.102838886761455e-05,8.533790616566391e-05,8.266447417258923e-05
t_Copula,8.009208432752321e-05,7.948163352320626e-05,7.947124735214189e-05,8.072008685012238e-05,8.056865595449055e-05,8.007235920632106e-05
