,83.csv,68.csv,6.csv,54.csv,40.csv,41.csv,7.csv,55.csv,69.csv,82.csv,80.csv,43.csv,57.csv,5.csv,56.csv,4.csv,42.csv,81.csv,85.csv,46.csv,0.csv,52.csv,1.csv,53.csv,47.csv,84.csv,86.csv,51.csv,3.csv,45.csv,79.csv,78.csv,44.csv,50.csv,2.csv,87.csv,37.csv,23.csv,22.csv,36.csv,20.csv,34.csv,35.csv,21.csv,25.csv,31.csv,19.csv,18.csv,30.csv,24.csv,32.csv,26.csv,27.csv,33.csv,16.csv,17.csv,29.csv,15.csv,14.csv,28.csv,10.csv,38.csv,39.csv,11.csv,13.csv,12.csv,49.csv,75.csv,61.csv,60.csv,74.csv,48.csv,62.csv,76.csv,77.csv,63.csv,67.csv,73.csv,9.csv,8.csv,72.csv,66.csv,70.csv,64.csv,58.csv,59.csv,65.csv,71.csv
Gaussian,352.9849435213,368.0261525071,383.7635375387,470.2710872236,446.8459200725,414.9118305021,359.6976814628,462.2261289664,358.8699874082,307.547198242,302.9207817342,412.6862796085,456.1840690126,381.993588527,457.2760713252,418.3487432309,389.3457176772,289.1091683948,368.4530691728,476.7745586906,321.1809802423,479.6382693616,365.9263651857,481.6538548769,491.2307848883,360.0113921886,354.032400342,472.80616618,433.4460644528,455.6829651616,342.7095250121,294.7086886722,465.2228888956,480.826775589,423.5098171811,357.9585759573,481.1772542054,431.9633135087,351.4533243168,505.7290372902,366.1270301587,505.7185449455,502.5573263439,424.4167833675,463.0538461646,479.8919601222,355.7396511152,21.4333233174,473.7635842849,446.5853823315,489.8613278348,448.7577730699,474.9247273799,496.0869272434,319.5291694744,317.1970760957,470.6035717348,304.6681415372,342.0864918604,499.8703687038,316.7439646038,477.5884962094,396.2318134646,379.0011551185,330.3357984592,335.5150481595,481.5019406478,353.84845726,444.5335134721,437.3178029999,360.4454822383,490.0532029577,431.3466689083,359.1820982991,357.8044508664,435.9570095146,386.6241311777,357.096275086,320.4681905284,371.528429728,344.2383438386,397.1679896462,350.3402633632,417.7340455368,430.7235241386,389.6687895007,407.9399431521,344.1357265294
t_Copula,359.1696765627,443.0304472346,503.8831793735,476.4794125284,560.6444348256,551.2639054477,504.5714906064,468.8421215898,403.2173712351,394.848371928,396.0593614782,543.9533980445,463.075570774,501.1065972384,465.4148728753,502.5723919712,545.7267428236,394.5825730443,373.5594069352,520.8949807829,472.6304815848,484.5368922888,484.892868797,486.5252685235,497.3931460087,365.9875349776,395.9315286482,478.9348174131,501.3924636332,538.2550924742,401.9358102857,402.7656979139,544.3494061866,486.6118405454,493.3808022527,395.9066682697,566.5761552436,517.5474572764,535.3335270653,564.4282238222,540.8508262406,534.5589821735,562.1986904691,474.7308111407,527.4928479323,523.1736935943,532.2823836295,484.6295444031,516.2123474265,525.4374568998,525.8581446951,531.6137331171,537.5881890598,529.0492587477,528.6243540755,525.1796378013,535.8640686864,525.1744202631,512.9983472418,509.0152917305,498.7547740524,567.5654101148,556.5489478978,514.4178499501,507.4299505115,509.9668114383,488.2439610303,363.8927033184,447.7082901475,442.3397559964,370.305465112,496.1073529299,435.9308624752,368.5412840647,398.6938113901,439.8255562504,447.1073314406,423.9489396076,498.6713530358,508.37140553,433.1019431645,451.1751593276,437.8606304987,423.6797473742,498.4850239031,474.9205950017,451.9252159825,433.9332179407
t_Copula_Capped,359.1696746154,442.0740739044,500.9945366533,476.47941162,550.2466701386,540.4099336171,500.9756702249,468.8421164859,426.6139343777,390.3268899597,390.5405864777,531.5432313669,463.0755753767,498.504312637,465.4148943317,500.7385214284,531.9484912877,388.6953278332,373.5594060185,520.8949650125,468.2636258946,484.5368927268,481.3337288013,486.5252728618,497.39316309,365.9994270186,395.9315168288,478.9298569236,500.2343566618,528.8165626654,397.9380582219,396.315410297,535.3348400837,486.6098246454,492.2987827745,395.9066687511,559.1160061293,517.5474676089,531.0785816636,558.5560384734,536.7993801862,534.5589876188,556.8373768495,474.7308135275,525.6468938467,523.1736834399,528.4727494921,467.7635372414,516.2124008199,523.0299386341,525.8581408348,528.1952127349,535.5157561127,529.0492621029,523.827147471,520.7855831041,533.6250184901,519.3355227936,509.6000025562,509.0138798361,493.8072554054,559.2379620565,543.412904096,511.7425259254,503.6575427193,505.5409080968,488.2600175102,390.9407819168,447.7082910758,442.3397588169,336.0184493948,496.0709508498,435.9308359221,401.3088912554,398.693819024,439.8255528714,447.1073260847,419.3176999401,494.3569686501,505.8184045255,427.2566699362,451.1751660415,432.4113586737,423.6797472406,493.0292844396,467.7229686507,451.9252096269,428.0496790552
Clayton,-756.9176467125,-952.2212648672,-14640.7852726797,-685.8433776348,-4366.4452819676,-7112.2104051822,-14962.9636565817,-725.3318616992,-954.9970283731,-1701.1575752456,-1673.4598713608,-4842.9353641235,-746.5486464796,-14670.7800777005,-1456.7532075923,-11636.1118380533,-7055.0067256787,-2774.7568507767,-579.1712126093,-4646.2034514274,-14108.5026604073,-649.234772968,-11760.130028552,-625.2945968729,-1200.3167555093,-706.2150374282,-715.7512972891,-1361.1892971829,-11270.6401073771,-4689.3467875221,-1582.0818541236,-2645.1533742355,-4650.6639171253,-1289.875148649,-11403.237214845,-616.4401396419,-4485.4841316144,-3700.8490801198,-6419.9219445016,-3031.8364487534,-6283.1921645827,-1907.8513480603,-3009.5721917577,-1318.1547613584,-2280.9814744585,-1182.8427130277,-6491.9521527237,-97772.000531108,-1198.5369865066,-3574.2459152043,-1156.6799483704,-3499.8901109211,-2227.8499387723,-1052.1474663025,-57187.150994342,-9597.4139931545,-7062.7173856088,-56474.7467841715,-23748.1345690562,-1192.5595127103,-9982.9845711622,-4571.0647498421,-4649.0717860108,-14600.5720908703,-24177.5524845359,-24083.5435871954,-1250.9468410969,-533.4345474149,-577.5436832897,-870.6424356735,-488.6604582803,-1208.2987073676,-761.7655260937,-533.7550474811,-617.4034315166,-718.3704016261,-780.3716112536,-837.3335584166,-10005.6689975036,-14642.6470109128,-926.3835169734,-742.4855514081,-874.3286431353,-672.8535589719,-1507.9865569115,-781.4811279672,-838.2719345958,-911.7449402617
Frank,218.8206935663,317.7637368766,422.4998471086,410.3404625862,470.0667945342,461.3412529095,428.3041353925,399.3769087045,308.4579600181,238.870183275,236.022556105,437.3789174194,394.3029625307,420.7054147931,404.4418353522,420.205070981,446.9234483256,239.1831200451,257.8608312113,433.1914531242,404.9632485137,415.161743595,406.3547436752,422.8370975844,436.1394906822,246.7496960741,248.4674975484,409.6507667359,424.7471817833,431.4238365067,248.3023376112,249.0520906541,439.9297221697,417.280929292,418.3316376745,245.8423173053,471.7285896035,449.7940581946,454.8629718569,473.89177656,460.8655922092,465.8503070554,472.707740219,458.9609719526,453.8448110659,445.3427688763,451.8758285867,456.9351410111,448.4964819438,457.5847473263,450.5917677768,457.2873285423,461.2330801635,454.0023963111,460.7062817662,455.7739046931,461.3908368951,453.6837576115,450.1319844425,460.9762086394,436.1604346227,468.7398735522,456.5438448449,443.0955079302,437.6922742737,437.9588673908,424.0314052947,247.9020718202,374.6217286947,370.5219446653,262.3945215378,433.1135267035,358.4632922981,254.9942256846,262.6752994689,362.3727787656,331.3516239772,276.364167452,438.8824525945,438.6023977041,286.1808627289,345.6248247261,294.9952394447,350.4242938217,392.6115354484,362.9721176593,362.4040801615,287.1503560632
Gumbel,344.6544995547,350.622005516,382.1032016176,457.4879250261,403.2460521472,382.1618046773,355.8706561644,448.1422289133,347.2143461956,294.431631741,293.3582869611,381.3241360409,438.7516353106,379.9877751123,443.5076843359,419.2950599886,368.3515060229,285.8185399439,365.1446694947,481.0160394046,306.9413410948,478.8242844582,367.0102556218,477.181087221,485.7839024727,352.6815210886,338.6436742677,470.0298810181,433.499088703,453.6693703135,343.3862643377,289.9904573596,464.2908064572,479.8774837355,422.6582945387,343.2222685846,482.9105315093,455.1187855134,379.0755291934,506.6921780397,393.6819097868,511.1470772007,501.1216930107,420.0957298261,397.3174612411,464.2042521981,381.0092556286,257.5809582902,451.5872456335,382.4051696392,482.7517964025,394.9305774085,415.2382616886,494.9645999963,410.0235717216,349.6362167196,442.9265459978,402.01555096,365.6415578831,464.725148656,248.6944220067,486.9373839569,383.5175154776,373.7412455986,360.0466069582,360.7194095377,473.9999281987,331.9521927491,422.9137801429,420.7393771622,340.6897516171,482.760665871,411.4771500818,337.0393081555,335.2431478818,420.7855416543,366.5802197291,347.5584827503,250.5772801036,360.1758042393,336.5050370252,378.7469211682,342.4140063475,425.7998717866,396.4809460375,319.0737750858,397.4842446551,336.0468316051
Plackett,350.1871113221,385.6310652356,415.5130139145,458.1802931554,440.564471389,433.0742272331,407.4846065851,447.2107869927,383.7422148511,307.6063878154,311.6506293136,433.9046722962,440.9685674075,411.0712632791,444.7463955258,434.3890657694,424.4908299088,300.7179000841,372.9942673602,476.8709359032,355.7490338447,468.7639816628,394.4746819959,473.9690496716,485.2082416781,363.6187939003,355.089690392,457.2270725948,443.3080077344,461.7284426369,345.9022128428,313.6262510782,470.6369890362,467.6437682429,434.5866733285,358.2243758005,486.1918587426,471.9307741268,431.7024849786,504.0913445848,437.9597522706,508.4799772469,499.6105668649,472.2547341753,432.4411284024,471.3390053731,427.7461092285,297.0611230944,466.9566510485,419.0455273281,483.3481351673,426.7652380759,443.7697818093,497.2385219483,416.3585890893,410.2837531647,442.6143002811,411.3091091776,413.7887678229,472.6625283913,375.718569043,489.4740944802,436.2202921543,424.634876472,404.1977024357,406.8541345788,470.1398844461,361.6661047604,435.2485932705,426.7999685331,374.313175798,479.6190615359,421.5486242915,364.7977637054,365.8613852064,429.5292662914,400.1827997986,371.9894089251,373.6072280605,412.8675821917,373.147606226,410.3127685099,381.4398655891,433.7151977083,417.2406578214,387.0919030384,420.5359108169,373.9820001753
Gauss Mix Indep,373.0912636096,417.4732291841,430.4726987034,487.3174588659,425.1365151907,407.620568752,410.3006522693,480.7424873391,415.4142023286,320.4935878947,321.7534191698,415.9474039035,474.5833729729,425.1940250129,478.4688470141,462.8231000409,392.0165251277,302.9746641458,386.6613742299,501.4879823621,262.8770635395,493.8976641062,374.3893952611,495.3583196599,504.5903292785,380.0613451549,379.9609925185,491.0348240761,475.3818304446,474.2940206065,373.4904128932,315.0768498982,486.0608849425,497.2046633345,463.5988964034,381.8299276183,511.2986218256,516.0364714287,439.6074968762,536.7770109598,454.4992120423,533.8218812429,535.6592177861,517.2916854223,458.3103236168,512.3413975498,436.9320094509,101.4097456437,509.6290045862,435.7404414737,519.3730126921,445.6910663792,476.4728496581,525.4775376695,414.4586026532,398.4087350955,475.1767428631,404.606294424,413.2460678093,516.7152417437,313.7088680609,510.3266443383,411.0322798972,434.5248904969,393.9073183645,395.1835060081,498.8082921944,388.6924769364,449.4829101753,447.6105257292,396.5859379194,503.2279878402,443.2312833573,391.7584129699,392.0969572734,445.8356035954,429.6837865098,400.297659215,315.5451991598,421.6868980796,401.7783842294,441.0817250702,411.804529473,440.1182757383,449.2630164723,407.764438882,449.1524248226,404.4138908045
NIG,369.748658134122,425.1784639198971,493.3931407174308,479.839392399273,538.9653170515076,542.149204745197,498.7619564688314,478.3062635748735,414.5161367203463,385.830602921011,385.5141422297482,524.470298417112,474.6879374829693,491.8487067522869,479.8287450025869,495.6233235734176,532.2673297047997,387.3300093935809,371.8921753672582,502.4024051736568,472.732948279197,482.50190991810354,477.4431090387436,483.9504049537673,500.3085089546749,333.3549073894511,381.1886817341201,482.6791280662292,480.9300779009272,503.037049106632,388.4319000174564,391.5610908113519,512.0960114844243,487.8463257000777,474.0609291637159,380.2341528521901,528.8667919050299,500.8316453910072,521.8415598591392,535.5169149345178,526.9291167804912,524.3176668307694,534.9794877560633,511.586175677097,519.1495493326488,503.6526126721312,520.7792190662044,528.494406096426,506.0042534531943,522.9138146876078,509.117287677444,526.3551236269878,526.2869474131458,517.0152170116102,521.6735743737574,514.4467876206921,524.8371064310552,516.4612857060878,508.5223954456493,516.1518737704225,496.5370911722177,531.654731289495,537.3451769426633,505.2218505844869,502.2091598525572,503.4045268446762,494.3248726647849,383.1183707982715,447.1030602220293,446.2153907874832,392.8039326843837,499.4058405518688,437.9669166214464,390.424563873442,391.1416217524688,436.1445782844327,428.3355998457869,407.52277916854655,500.0901792436442,501.3064024302988,409.23237183661297,434.3338352241002,412.40823791256776,400.0516831352544,476.6784536975538,457.5424548835464,440.519744740628,409.6580175824776
