"","LL","mean LL"
0,472.732948279197,1.5705413564092923
1,477.44310903874356,1.5861897310257262
2,474.06092916371585,1.574953253035601
3,480.93007790092724,1.5977743451858049
4,495.62332357341757,1.6465891148618523
5,491.84870675228694,1.6340488596421494
6,493.3931407174308,1.6391798694931257
7,498.7619564688314,1.6570164666738585
8,501.30640243029876,1.6654697755159427
9,500.09017924364423,1.6614291669224062
10,496.5370911722177,1.6496248876153412
11,505.2218505844869,1.678477908918561
12,503.4045268446762,1.672440288520519
13,502.20915985255715,1.6684689696098245
14,508.5223954456493,1.6894431742380376
15,516.4612857060878,1.7158182249371687
16,521.6735743737574,1.7331347985839118
17,514.4467876206921,1.7091255402680803
18,528.494406096426,1.7557953690911163
19,520.7792190662044,1.7301635184923734
20,526.9291167804912,1.750595072360436
21,511.586175677097,1.6996218461033124
22,521.8415598591392,1.7336928898974726
23,500.83164539100716,1.663892509604675
24,522.9138146876078,1.7372551982977003
25,519.1495493326488,1.7247493333310593
26,526.3551236269878,1.748688118362086
27,526.2869474131458,1.7484616193127767
28,516.1518737704225,1.7147902783070517
29,524.8371064310552,1.7436448718639708
30,506.0042534531943,1.6810772539973233
31,503.65261267213117,1.6732644939273462
32,509.117287677444,1.6914195603901794
33,517.0152170116102,1.7176585282777748
34,524.3176668307694,1.7419191589062109
35,534.9794877560633,1.7773404908839314
36,535.5169149345178,1.7791259632376006
37,528.8667919050299,1.7570325312459465
38,531.654731289495,1.7662947883371927
39,537.3451769426633,1.7851999233975526
40,538.9653170515076,1.7905824486761048
41,542.149204745197,1.8011601486551396
42,532.2673297047997,1.7683299990192682
43,524.470298417112,1.742426240588412
44,512.0960114844243,1.7013156527721736
45,503.03704910663197,1.6712194322479468
46,502.4024051736568,1.6691109806433782
47,500.3085089546749,1.6621545147995844
48,499.40584055186883,1.6591556164513914
49,494.3248726647849,1.642275324467724
50,487.8463257000777,1.620751912624843
51,482.67912806622917,1.6035851430771733
52,482.50190991810354,1.6029963784654604
53,483.95040495376725,1.6078086543314527
54,479.83939239927304,1.5941508053131994
55,478.30626357487347,1.5890573540693471
56,479.8287450025869,1.594115431902282
57,474.6879374829693,1.5770363371527218
58,476.6784536975538,1.5836493478324045
59,457.5424548835464,1.5200746009420145
60,446.2153907874832,1.4824431587624027
61,447.1030602220293,1.48539222665126
62,437.96691662144644,1.4550395901044733
63,436.14457828443267,1.4489853099150587
64,400.05168313525434,1.3290753592533366
65,440.51974474062797,1.4635207466466047
66,434.3338352241002,1.4429695522395356
67,428.3355998457869,1.4230418599527803
68,425.1784639198971,1.412553036278728
69,414.51613672034625,1.3771300223267318
70,412.40823791256776,1.370127036254378
71,409.65801758247756,1.3609900916361382
72,409.23237183661297,1.3595759861681493
73,407.52277916854655,1.3538962763074636
74,392.8039326843837,1.3049964541009427
75,383.1183707982715,1.2728185076354535
76,390.424563873442,1.2970915743303721
77,391.14162175246884,1.2994738264201622
78,391.56109081135185,1.300867411333395
79,388.4319000174564,1.2904714286294234
80,385.51414222974824,1.2807778811619543
81,387.3300093935809,1.2868106624371458
82,385.830602921011,1.2818292455847542
83,369.748658134122,1.2284008575884453
84,333.3549073894511,1.1074913866759173
85,371.8921753672582,1.235522177299861
86,381.1886817341201,1.266407580512027
87,380.23415285219005,1.263236388213256
